t,tau,pval
2,0.6526315789473685,1.7153751868888245e-05
3,0.3684210526315789,0.02373449564495179
4,0.8105263157894737,9.06108549128192e-09
5,0.4736842105263158,0.0029943591168169765
6,0.4736842105263158,0.0029943591168169765
7,0.5894736842105264,0.00014216492337970727
8,0.4736842105263158,0.0029943591168169765
9,0.5894736842105264,0.00014216492337970727
10,0.7263157894736842,8.334889271753901e-07
11,0.3684210526315789,0.02373449564495179
12,0.7263157894736842,8.334889271753901e-07
13,0.3684210526315789,0.02373449564495179
14,0.5789473684210527,0.00019531614824281216
15,0.4210526315789474,0.009056382412965046
16,0.45263157894736844,0.004748309856126978
17,0.6000000000000001,0.00010251957630002948
18,0.6105263157894737,7.321900416351607e-05
19,0.6947368421052632,3.318592792384182e-06
20,0.5578947368421052,0.00035899561704050146
21,0.7052631578947369,2.1264996492297583e-06
22,0.5578947368421052,0.00035899561704050146
23,0.5789473684210527,0.00019531614824281216
24,0.5789473684210527,0.00019531614824281216
25,0.6947368421052632,3.318592792384182e-06
26,0.6947368421052632,3.318592792384182e-06
27,0.7894736842105264,3.2194648229462574e-08
28,0.7894736842105264,3.2194648229462574e-08
29,0.8421052631578948,1.0817964912497665e-09
30,0.8105263157894737,9.06108549128192e-09
31,0.8105263157894737,9.06108549128192e-09
32,0.9263157894736842,4.97267870195355e-13
33,0.768421052631579,1.0352946382857873e-07
34,0.8736842105263158,9.208481773908509e-11
35,0.8736842105263158,9.208481773908509e-11
36,0.9157894736842106,1.637252132068114e-12
37,0.9473684210526316,3.348593561359954e-14
38,0.9789473684210527,1.7181127665444849e-16
