t,tau,pval
2,0.1473684210526316,0.3858571513151256
3,0.2736842105263158,0.0983302187347563
4,0.10526315789473685,0.5424221448910934
5,0.6000000000000001,0.00010251957630002948
6,0.2947368421052632,0.07402572925713644
7,0.4210526315789474,0.009056382412965046
8,0.5157894736842106,0.0010995222054334826
9,0.6210526315789474,5.1769624060939744e-05
10,0.49473684210526314,0.0018397012253973293
11,0.631578947368421,3.6222609144151624e-05
12,0.5894736842105264,0.00014216492337970727
13,0.6105263157894737,7.321900416351607e-05
14,0.6947368421052632,3.318592792384182e-06
15,0.631578947368421,3.6222609144151624e-05
16,0.7052631578947369,2.1264996492297583e-06
17,0.7894736842105264,3.2194648229462574e-08
18,0.6842105263157895,5.104709679217094e-06
19,0.7578947368421053,1.7957522777065333e-07
20,0.7578947368421053,1.7957522777065333e-07
21,0.7473684210526316,3.0521052671846353e-07
22,0.6842105263157895,5.104709679217094e-06
23,0.8631578947368421,2.1870145045372028e-10
24,0.7789473684210527,5.840658297557008e-08
25,0.768421052631579,1.0352946382857873e-07
26,0.7999999999999999,1.730999838319109e-08
27,0.7789473684210527,5.840658297557008e-08
28,0.8526315789473685,4.964599165690299e-10
29,0.7157894736842105,1.3420520081287795e-06
30,0.8421052631578948,1.0817964912497665e-09
31,0.7578947368421053,1.7957522777065333e-07
32,0.8210526315789474,4.60794385894808e-09
33,1.0,8.22063524662433e-19
34,0.8315789473684211,2.2710573411630974e-09
35,0.9368421052631579,1.3686946653867177e-13
36,0.968421052631579,1.2487144939622356e-15
37,0.9473684210526316,3.348593561359954e-14
38,0.968421052631579,1.2487144939622356e-15
