t,tau,pval
1,0.4842105263157895,0.0023549443013355514
2,0.2947368421052632,0.07402572925713644
3,0.2736842105263158,0.0983302187347563
4,0.39999999999999997,0.013532373706902114
5,0.43157894736842106,0.007345988192888901
6,0.49473684210526314,0.0018397012253973293
7,0.5052631578947369,0.0014273106487188694
8,0.49473684210526314,0.0018397012253973293
9,0.5263157894736842,0.0008408300763063621
10,0.5578947368421052,0.00035899561704050146
11,0.631578947368421,3.6222609144151624e-05
12,0.6105263157894737,7.321900416351607e-05
13,0.5578947368421052,0.00035899561704050146
14,0.6526315789473685,1.7153751868888245e-05
15,0.6631578947368422,1.1598461044767754e-05
16,0.6421052631578947,2.506940245978939e-05
17,0.6947368421052632,3.318592792384182e-06
18,0.6842105263157895,5.104709679217094e-06
19,0.7263157894736842,8.334889271753901e-07
20,0.7263157894736842,8.334889271753901e-07
21,0.7157894736842105,1.3420520081287795e-06
22,0.7999999999999999,1.730999838319109e-08
23,0.8631578947368421,2.1870145045372028e-10
24,0.8526315789473685,4.964599165690299e-10
25,0.8736842105263158,9.208481773908509e-11
26,0.8526315789473685,4.964599165690299e-10
27,0.8842105263157894,3.687213940327633e-11
28,0.8526315789473685,4.964599165690299e-10
29,0.768421052631579,1.0352946382857873e-07
30,0.7789473684210527,5.840658297557008e-08
31,0.8526315789473685,4.964599165690299e-10
32,0.8736842105263158,9.208481773908509e-11
33,0.8842105263157894,3.687213940327633e-11
34,0.8842105263157894,3.687213940327633e-11
35,0.9473684210526316,3.348593561359954e-14
36,0.9368421052631579,1.3686946653867177e-13
37,0.9473684210526316,3.348593561359954e-14
38,1.0,8.22063524662433e-19
