t,tau,pval
1,0.5947712418300655,0.000324628494137499
2,0.4379084967320262,0.010871540899275188
3,0.411764705882353,0.017207715883354357
4,0.47712418300653603,0.005139059506065925
5,0.4248366013071896,0.013730471770781806
6,0.5163398692810458,0.002244139045296836
7,0.5816993464052289,0.0004609942250814608
8,0.607843137254902,0.00022573646929059787
9,0.673202614379085,2.9671236868607523e-05
10,0.6339869281045752,0.00010483725733996005
11,0.673202614379085,2.9671236868607523e-05
12,0.6862745098039217,1.8844032923611033e-05
13,0.6862745098039217,1.8844032923611033e-05
14,0.6601307189542485,4.592069228932486e-05
15,0.6209150326797386,0.0001549082772801415
16,0.7124183006535948,7.1861599239103575e-06
17,0.7647058823529412,8.041769435285658e-07
18,0.7254901960784316,4.304368320665909e-06
19,0.7124183006535948,7.1861599239103575e-06
20,0.673202614379085,2.9671236868607523e-05
21,0.6862745098039217,1.8844032923611033e-05
22,0.6862745098039217,1.8844032923611033e-05
23,0.673202614379085,2.9671236868607523e-05
24,0.7385620915032681,2.5215800485929758e-06
25,0.803921568627451,1.1687968125486227e-07
26,0.8431372549019609,1.2272689725953054e-08
27,0.8692810457516341,2.158258582693712e-09
28,0.9084967320261439,9.766565163801219e-11
29,0.8954248366013072,2.9624262612210877e-10
30,0.934640522875817,7.811165404989973e-12
31,0.934640522875817,7.811165404989973e-12
32,0.9607843137254903,3.501826202357032e-13
33,0.9477124183006538,1.8102660876591437e-12
34,1.0,3.123841393717245e-16
