t,tau,pval
1,0.6736842105263158,7.745065863454172e-06
2,0.5157894736842106,0.0010995222054334826
3,0.5157894736842106,0.0010995222054334826
4,0.45263157894736844,0.004748309856126978
5,0.5157894736842106,0.0010995222054334826
6,0.6210526315789474,5.1769624060939744e-05
7,0.5684210526315789,0.0002659445477346318
8,0.6105263157894737,7.321900416351607e-05
9,0.5789473684210527,0.00019531614824281216
10,0.5368421052631579,0.000638160515782914
11,0.6210526315789474,5.1769624060939744e-05
12,0.6000000000000001,0.00010251957630002948
13,0.6000000000000001,0.00010251957630002948
14,0.5578947368421052,0.00035899561704050146
15,0.6105263157894737,7.321900416351607e-05
16,0.6736842105263158,7.745065863454172e-06
17,0.6736842105263158,7.745065863454172e-06
18,0.5789473684210527,0.00019531614824281216
19,0.6105263157894737,7.321900416351607e-05
20,0.6526315789473685,1.7153751868888245e-05
21,0.6526315789473685,1.7153751868888245e-05
22,0.6736842105263158,7.745065863454172e-06
23,0.7368421052631579,5.089279304093134e-07
24,0.7157894736842105,1.3420520081287795e-06
25,0.7052631578947369,2.1264996492297583e-06
26,0.6947368421052632,3.318592792384182e-06
27,0.7789473684210527,5.840658297557008e-08
28,0.7789473684210527,5.840658297557008e-08
29,0.7894736842105264,3.2194648229462574e-08
30,0.7894736842105264,3.2194648229462574e-08
31,0.8105263157894737,9.06108549128192e-09
32,0.8421052631578948,1.0817964912497665e-09
33,0.9052631578947369,4.956818630372238e-12
34,0.8421052631578948,1.0817964912497665e-09
35,0.9052631578947369,4.956818630372238e-12
36,0.9473684210526316,3.348593561359954e-14
37,0.9789473684210527,1.7181127665444849e-16
38,1.0,8.22063524662433e-19
