n1,n2,fij
1,8,-3.7489e+00
1,12,-3.2119e+00
1,15,-1.2976e+00
2,9,-2.7979e+00
2,13,2.6686e-01
2,19,3.3475e-02
3,5,-1.2316e+00
3,7,-2.7840e+00
3,10,-8.0951e-01
4,6,9.4016e-01
4,11,-3.8566e+00
4,14,-1.4326e+00
5,7,-1.7211e+00
5,8,5.1018e-02
6,9,-1.5258e+00
6,18,-3.5615e+00
7,20,-1.7063e+00
8,18,1.4354e+00
9,15,1.7295e-01
10,13,-2.1245e+00
10,16,-7.4024e-01
11,16,1.1048e-01
11,19,-2.5969e+00
12,14,1.7153e+00
12,20,-1.1092e+00
13,17,3.0989e+00
14,15,3.5125e-01
16,17,-4.3645e-01
17,19,-1.2518e+00
18,20,7.3758e-02
