n1,n2,fij
1,8,-2.5202e+00
1,12,-2.8209e+00
1,15,-3.6326e+00
2,9,-2.3839e+00
2,13,-3.3585e-01
2,19,-1.3939e+00
3,5,-2.4217e+00
3,7,-2.2363e+00
3,10,-3.1006e+00
4,6,1.5072e+00
4,11,-3.4768e+00
4,14,-5.2106e-01
5,7,-1.9397e+00
5,8,-8.6303e-01
6,9,-2.6617e+00
6,18,-4.5524e+00
7,20,-1.5689e+00
8,18,-2.1253e-01
9,15,6.2579e-01
10,13,1.2699e+00
10,16,-4.2903e-01
11,16,-6.1871e-01
11,19,-3.6672e-01
12,14,5.5848e-01
12,20,-2.2172e+00
13,17,1.6242e+00
14,15,1.3969e+00
16,17,2.0575e+00
17,19,-1.2780e+00
18,20,-4.2187e-01
