n1,n2,fij
1,8,-9.3362e-01
1,12,-4.4642e+00
1,15,-3.5667e+00
2,9,-2.6041e+00
2,13,-9.5466e-01
2,19,-1.6428e+00
3,5,-2.4562e+00
3,7,-1.4669e+00
3,10,-3.0661e+00
4,6,7.7974e-01
4,11,-3.2893e+00
4,14,-8.9667e-01
5,7,-7.4056e-01
5,8,-1.0031e+00
6,9,-1.8285e+00
6,18,-4.5002e+00
7,20,-1.5387e+00
8,18,-7.7414e-01
9,15,1.4719e+00
10,13,1.6893e+00
10,16,-2.3268e-01
11,16,1.8643e-01
11,19,-4.3899e-01
12,14,1.4969e+00
12,20,-2.8407e+00
13,17,1.1324e+00
14,15,8.7528e-01
16,17,8.9844e-01
17,19,-2.1823e+00
18,20,-6.3363e-01
