n1,n2,fij
1,8,-1.3932e+00
1,12,-3.1660e+00
1,15,-1.6191e+00
2,9,-9.8884e-01
2,13,-1.7331e+00
2,19,0.0000e+00
3,5,0.0000e+00
3,7,-2.7238e-01
3,10,-2.2136e+00
4,6,-1.2248e+00
4,11,-2.8439e+00
4,14,-1.9413e+00
5,7,-5.0833e-01
5,8,-1.9413e+00
6,9,-4.0687e+00
6,18,-1.6191e+00
7,20,0.0000e+00
8,18,7.1646e-01
9,15,0.0000e+00
10,13,-1.9413e+00
10,16,0.0000e+00
11,16,2.4496e+00
11,19,-9.0263e-01
12,14,3.4384e+00
12,20,-3.9430e-01
13,17,1.4972e+00
14,15,5.0833e-01
16,17,-2.7238e-01
17,19,-2.8439e+00
18,20,-3.2216e-01
