n1,n2,fij
1,12,4.7272e-01
1,13,-1.3956e+00
1,18,-1.8396e+00
2,11,1.1307e+00
2,18,-3.2039e-01
2,20,1.8859e+00
3,5,-9.7715e-01
3,6,-6.7344e-01
3,16,-9.5428e-01
4,9,-6.6769e-01
4,11,-2.3381e+00
4,14,-8.5530e-02
5,11,2.1041e+00
5,19,-4.5514e-01
6,14,-1.9691e-01
6,20,-6.1818e-01
7,8,-1.0951e-01
7,13,-1.0083e+00
7,17,7.7820e-01
8,12,-1.7911e+00
8,19,1.0007e+00
9,15,2.7119e+00
9,19,1.5001e+00
10,16,6.9547e-01
10,17,1.0288e+00
10,18,6.9765e-01
12,20,2.0628e+00
13,14,-1.2801e+00
15,16,3.9789e-01
15,17,-1.9722e+00
