n1,n2,fij
1,12,-3.2960e+00
1,13,-1.5468e+00
1,18,-2.8944e+00
2,11,4.7916e-01
2,18,-3.0334e+00
2,20,-1.2835e+00
3,5,1.3730e+00
3,6,1.3567e+00
3,16,-1.4343e-01
4,9,8.6709e-01
4,11,-1.6850e+00
4,14,-8.9398e-01
5,11,1.2841e-02
5,19,-7.8902e-01
6,14,1.8964e+00
6,20,-1.9712e+00
7,8,3.1846e-01
7,13,-1.5437e+00
7,17,-3.0220e-01
8,12,-1.0692e+00
8,19,-2.0204e+00
9,15,7.3409e-01
9,19,8.3242e-01
10,16,-3.1880e+00
10,17,-4.1440e-01
10,18,-2.9078e-01
12,20,-4.7523e-01
13,14,-1.0941e+00
15,16,-1.1745e+00
15,17,-1.1563e+00
