n1,n2,fij
1,12,-3.3886e+00
1,13,-2.2970e+00
1,18,-3.0641e+00
2,11,4.9832e-01
2,18,-2.3406e+00
2,20,-1.4073e+00
3,5,1.1527e+00
3,6,2.0043e+00
3,16,-1.7073e+00
4,9,-7.5200e-01
4,11,-1.1492e+00
4,14,-8.8975e-01
5,11,1.8281e+00
5,19,-2.4021e+00
6,14,-1.8852e-01
6,20,-3.9239e-01
7,8,1.1963e+00
7,13,-2.7646e-01
7,17,2.6913e-01
8,12,-6.4879e-01
8,19,-2.4947e+00
9,15,1.1166e+00
9,19,2.3198e+00
10,16,4.1245e-02
10,17,-8.9354e-01
10,18,4.1341e-01
12,20,1.6861e+00
13,14,-1.5294e+00
15,16,-5.5267e-01
15,17,-1.7323e+00
