n1,n2,fij
1,12,-1.9568e+00
1,14,-1.5640e+00
1,16,-1.5345e+00
2,7,-4.2321e-01
2,15,2.1089e+00
2,19,3.4359e+00
3,4,-2.1759e+00
3,7,7.4768e-01
4,8,1.4742e-01
4,17,1.9363e+00
4,18,-1.2375e+00
5,6,-2.6743e+00
5,14,3.2519e-01
5,17,1.8233e+00
6,16,1.2335e+00
6,18,2.2795e-01
7,11,4.4770e-01
8,9,-1.1911e+00
8,19,-2.9552e-01
9,20,-7.2830e-01
10,11,-5.1760e-01
10,15,9.1427e-01
10,20,8.1031e-01
11,12,3.4826e-01
12,13,-1.6897e+00
13,14,-9.5745e-02
13,17,2.7720e+00
15,20,-1.5540e+00
16,18,-5.6306e-01
18,19,1.8540e+00
