n1,n2,fij
1,12,-5.8608e-01
1,14,-5.0585e-01
1,16,9.7622e-02
2,7,1.4603e-01
2,15,-2.8040e+00
2,19,-1.5048e+00
3,4,-6.2026e-01
3,7,5.0800e-01
4,8,-4.5966e-02
4,17,-1.0618e+00
4,18,-1.6103e+00
5,6,2.4344e+00
5,14,-7.7376e-01
5,17,-2.2636e+00
6,16,-6.8800e-01
6,18,-4.2279e+00
7,11,1.1441e-02
8,9,-1.1043e+00
8,19,-1.8180e+00
9,20,-1.7526e+00
10,11,-6.8829e-02
10,15,-1.1360e+00
10,20,-2.9743e+00
11,12,3.2678e-01
12,13,-1.4246e+00
13,14,3.9925e-01
13,17,-7.1747e-01
15,20,4.5834e-01
16,18,-1.1509e+00
18,19,1.5686e+00
