n1,n2,fij
1,12,-4.2640e-01
1,14,-3.1291e-01
1,16,-9.4265e-01
2,7,-2.7909e+00
2,15,-2.4250e+00
2,19,-3.0010e+00
3,4,-2.0434e-01
3,7,1.4411e-01
4,8,1.2277e+00
4,17,-2.7886e+00
4,18,-5.0207e-01
5,6,2.6947e+00
5,14,-6.4544e-01
5,17,-2.3995e+00
6,16,9.0836e-02
6,18,-3.0825e+00
7,11,-7.2401e-02
8,9,2.8189e-01
8,19,-9.7357e-01
9,20,-7.2905e-01
10,11,-1.8003e+00
10,15,-5.1592e-01
10,20,-2.1149e+00
11,12,2.9621e-01
12,13,-1.4747e+00
13,14,-2.9288e-02
13,17,-6.8870e-01
15,20,1.7595e-01
16,18,-8.2819e-01
18,19,5.6876e-01
