n1,n2,fij
1,6,-3.7205e+00
1,12,-1.6055e+00
1,14,-4.5279e+00
2,4,1.0914e-02
2,10,-5.7386e-01
2,19,1.4561e+00
3,4,-2.3164e+00
3,15,-2.0985e+00
3,18,-1.5467e+00
4,19,-1.0480e-01
5,6,-6.2950e-01
5,11,3.6022e-01
5,15,1.1983e+00
6,13,9.7652e-02
7,8,3.9096e-01
7,9,-3.1858e-01
7,12,5.5231e-01
8,16,1.0617e+00
8,17,1.8536e+00
9,16,-1.8087e+00
9,20,-1.9505e-01
10,16,-8.3555e-01
10,20,-2.7822e-01
11,13,1.0565e+00
11,18,-1.4790e-01
12,17,1.4122e-02
13,14,-1.3535e+00
14,17,-3.2475e-01
15,18,-2.0425e+00
19,20,-2.7174e-01
