i,j,fij
1,2,-13
1,3,-20
1,4,-15
1,5,-25
1,6,-33
1,7,-38
1,8,-42
1,9,-38
1,10,-46
1,11,-51
1,12,-44
1,13,-48
1,14,-46
1,15,-46
1,16,-50
1,17,-53
1,18,-54
1,19,-50
1,20,-61
2,3,-7
2,4,-2
2,5,-12
2,6,-20
2,7,-25
2,8,-29
2,9,-25
2,10,-33
2,11,-38
2,12,-31
2,13,-35
2,14,-33
2,15,-33
2,16,-37
2,17,-40
2,18,-41
2,19,-37
2,20,-48
3,4,5
3,5,-5
3,6,-13
3,7,-18
3,8,-22
3,9,-18
3,10,-26
3,11,-31
3,12,-24
3,13,-28
3,14,-26
3,15,-26
3,16,-30
3,17,-33
3,18,-34
3,19,-30
3,20,-41
4,5,-10
4,6,-18
4,7,-23
4,8,-27
4,9,-23
4,10,-31
4,11,-36
4,12,-29
4,13,-33
4,14,-31
4,15,-31
4,16,-35
4,17,-38
4,18,-39
4,19,-35
4,20,-46
5,6,-8
5,7,-13
5,8,-17
5,9,-13
5,10,-21
5,11,-26
5,12,-19
5,13,-23
5,14,-21
5,15,-21
5,16,-25
5,17,-28
5,18,-29
5,19,-25
5,20,-36
6,7,-5
6,8,-9
6,9,-5
6,10,-13
6,11,-18
6,12,-11
6,13,-15
6,14,-13
6,15,-13
6,16,-17
6,17,-20
6,18,-21
6,19,-17
6,20,-28
7,8,-4
7,9,0
7,10,-8
7,11,-13
7,12,-6
7,13,-10
7,14,-8
7,15,-8
7,16,-12
7,17,-15
7,18,-16
7,19,-12
7,20,-23
8,9,4
8,10,-4
8,11,-9
8,12,-2
8,13,-6
8,14,-4
8,15,-4
8,16,-8
8,17,-11
8,18,-12
8,19,-8
8,20,-19
9,10,-8
9,11,-13
9,12,-6
9,13,-10
9,14,-8
9,15,-8
9,16,-12
9,17,-15
9,18,-16
9,19,-12
9,20,-23
10,11,-5
10,12,2
10,13,-2
10,14,0
10,15,0
10,16,-4
10,17,-7
10,18,-8
10,19,-4
10,20,-15
11,12,7
11,13,3
11,14,5
11,15,5
11,16,1
11,17,-2
11,18,-3
11,19,1
11,20,-10
12,13,-4
12,14,-2
12,15,-2
12,16,-6
12,17,-9
12,18,-10
12,19,-6
12,20,-17
13,14,2
13,15,2
13,16,-2
13,17,-5
13,18,-6
13,19,-2
13,20,-13
14,15,0
14,16,-4
14,17,-7
14,18,-8
14,19,-4
14,20,-15
15,16,-4
15,17,-7
15,18,-8
15,19,-4
15,20,-15
16,17,-3
16,18,-4
16,19,0
16,20,-11
17,18,-1
17,19,3
17,20,-8
18,19,4
18,20,-7
19,20,-11
