i,j,fij
1,2,-3
1,3,-6
1,4,-6
1,5,-16
1,6,-7
1,7,-8
1,8,-12
1,9,-6
1,10,-13
1,11,-16
1,12,-12
1,13,-16
1,14,-13
1,15,-17
1,16,-17
1,17,-7
1,18,-14
1,19,-11
1,20,-19
2,3,-3
2,4,-3
2,5,-13
2,6,-4
2,7,-5
2,8,-9
2,9,-3
2,10,-10
2,11,-13
2,12,-9
2,13,-13
2,14,-10
2,15,-14
2,16,-14
2,17,-4
2,18,-11
2,19,-8
2,20,-16
3,4,0
3,5,-10
3,6,-1
3,7,-2
3,8,-6
3,9,0
3,10,-7
3,11,-10
3,12,-6
3,13,-10
3,14,-7
3,15,-11
3,16,-11
3,17,-1
3,18,-8
3,19,-5
3,20,-13
4,5,-10
4,6,-1
4,7,-2
4,8,-6
4,9,0
4,10,-7
4,11,-10
4,12,-6
4,13,-10
4,14,-7
4,15,-11
4,16,-11
4,17,-1
4,18,-8
4,19,-5
4,20,-13
5,6,9
5,7,8
5,8,4
5,9,10
5,10,3
5,11,0
5,12,4
5,13,0
5,14,3
5,15,-1
5,16,-1
5,17,9
5,18,2
5,19,5
5,20,-3
6,7,-1
6,8,-5
6,9,1
6,10,-6
6,11,-9
6,12,-5
6,13,-9
6,14,-6
6,15,-10
6,16,-10
6,17,0
6,18,-7
6,19,-4
6,20,-12
7,8,-4
7,9,2
7,10,-5
7,11,-8
7,12,-4
7,13,-8
7,14,-5
7,15,-9
7,16,-9
7,17,1
7,18,-6
7,19,-3
7,20,-11
8,9,6
8,10,-1
8,11,-4
8,12,0
8,13,-4
8,14,-1
8,15,-5
8,16,-5
8,17,5
8,18,-2
8,19,1
8,20,-7
9,10,-7
9,11,-10
9,12,-6
9,13,-10
9,14,-7
9,15,-11
9,16,-11
9,17,-1
9,18,-8
9,19,-5
9,20,-13
10,11,-3
10,12,1
10,13,-3
10,14,0
10,15,-4
10,16,-4
10,17,6
10,18,-1
10,19,2
10,20,-6
11,12,4
11,13,0
11,14,3
11,15,-1
11,16,-1
11,17,9
11,18,2
11,19,5
11,20,-3
12,13,-4
12,14,-1
12,15,-5
12,16,-5
12,17,5
12,18,-2
12,19,1
12,20,-7
13,14,3
13,15,-1
13,16,-1
13,17,9
13,18,2
13,19,5
13,20,-3
14,15,-4
14,16,-4
14,17,6
14,18,-1
14,19,2
14,20,-6
15,16,0
15,17,10
15,18,3
15,19,6
15,20,-2
16,17,10
16,18,3
16,19,6
16,20,-2
17,18,-7
17,19,-4
17,20,-12
18,19,3
18,20,-5
19,20,-8
