i,j,fij
1,2,-3
1,3,-1
1,4,1
1,5,-8
1,6,-5
1,7,-6
1,8,-5
1,9,-4
1,10,-4
1,11,-10
1,12,-2
1,13,-1
1,14,-9
1,15,-9
1,16,-7
1,17,-6
1,18,-12
2,3,2
2,4,4
2,5,-5
2,6,-2
2,7,-3
2,8,-2
2,9,-1
2,10,-1
2,11,-7
2,12,1
2,13,2
2,14,-6
2,15,-6
2,16,-4
2,17,-3
2,18,-9
3,4,2
3,5,-7
3,6,-4
3,7,-5
3,8,-4
3,9,-3
3,10,-3
3,11,-9
3,12,-1
3,13,0
3,14,-8
3,15,-8
3,16,-6
3,17,-5
3,18,-11
4,5,-9
4,6,-6
4,7,-7
4,8,-6
4,9,-5
4,10,-5
4,11,-11
4,12,-3
4,13,-2
4,14,-10
4,15,-10
4,16,-8
4,17,-7
4,18,-13
5,6,3
5,7,2
5,8,3
5,9,4
5,10,4
5,11,-2
5,12,6
5,13,7
5,14,-1
5,15,-1
5,16,1
5,17,2
5,18,-4
6,7,-1
6,8,0
6,9,1
6,10,1
6,11,-5
6,12,3
6,13,4
6,14,-4
6,15,-4
6,16,-2
6,17,-1
6,18,-7
7,8,1
7,9,2
7,10,2
7,11,-4
7,12,4
7,13,5
7,14,-3
7,15,-3
7,16,-1
7,17,0
7,18,-6
8,9,1
8,10,1
8,11,-5
8,12,3
8,13,4
8,14,-4
8,15,-4
8,16,-2
8,17,-1
8,18,-7
9,10,0
9,11,-6
9,12,2
9,13,3
9,14,-5
9,15,-5
9,16,-3
9,17,-2
9,18,-8
10,11,-6
10,12,2
10,13,3
10,14,-5
10,15,-5
10,16,-3
10,17,-2
10,18,-8
11,12,8
11,13,9
11,14,1
11,15,1
11,16,3
11,17,4
11,18,-2
12,13,1
12,14,-7
12,15,-7
12,16,-5
12,17,-4
12,18,-10
13,14,-8
13,15,-8
13,16,-6
13,17,-5
13,18,-11
14,15,0
14,16,2
14,17,3
14,18,-3
15,16,2
15,17,3
15,18,-3
16,17,1
16,18,-5
17,18,-6
