i,j,fij
1,2,1
1,3,-15
1,4,-12
1,5,-10
1,6,-22
1,7,-23
1,8,-28
1,9,-19
1,10,-24
1,11,-34
1,12,-35
1,13,-24
1,14,-34
1,15,-29
1,16,-35
1,17,-39
1,18,-37
1,19,-40
1,20,-49
2,3,-16
2,4,-13
2,5,-11
2,6,-23
2,7,-24
2,8,-29
2,9,-20
2,10,-25
2,11,-35
2,12,-36
2,13,-25
2,14,-35
2,15,-30
2,16,-36
2,17,-40
2,18,-38
2,19,-41
2,20,-50
3,4,3
3,5,5
3,6,-7
3,7,-8
3,8,-13
3,9,-4
3,10,-9
3,11,-19
3,12,-20
3,13,-9
3,14,-19
3,15,-14
3,16,-20
3,17,-24
3,18,-22
3,19,-25
3,20,-34
4,5,2
4,6,-10
4,7,-11
4,8,-16
4,9,-7
4,10,-12
4,11,-22
4,12,-23
4,13,-12
4,14,-22
4,15,-17
4,16,-23
4,17,-27
4,18,-25
4,19,-28
4,20,-37
5,6,-12
5,7,-13
5,8,-18
5,9,-9
5,10,-14
5,11,-24
5,12,-25
5,13,-14
5,14,-24
5,15,-19
5,16,-25
5,17,-29
5,18,-27
5,19,-30
5,20,-39
6,7,-1
6,8,-6
6,9,3
6,10,-2
6,11,-12
6,12,-13
6,13,-2
6,14,-12
6,15,-7
6,16,-13
6,17,-17
6,18,-15
6,19,-18
6,20,-27
7,8,-5
7,9,4
7,10,-1
7,11,-11
7,12,-12
7,13,-1
7,14,-11
7,15,-6
7,16,-12
7,17,-16
7,18,-14
7,19,-17
7,20,-26
8,9,9
8,10,4
8,11,-6
8,12,-7
8,13,4
8,14,-6
8,15,-1
8,16,-7
8,17,-11
8,18,-9
8,19,-12
8,20,-21
9,10,-5
9,11,-15
9,12,-16
9,13,-5
9,14,-15
9,15,-10
9,16,-16
9,17,-20
9,18,-18
9,19,-21
9,20,-30
10,11,-10
10,12,-11
10,13,0
10,14,-10
10,15,-5
10,16,-11
10,17,-15
10,18,-13
10,19,-16
10,20,-25
11,12,-1
11,13,10
11,14,0
11,15,5
11,16,-1
11,17,-5
11,18,-3
11,19,-6
11,20,-15
12,13,11
12,14,1
12,15,6
12,16,0
12,17,-4
12,18,-2
12,19,-5
12,20,-14
13,14,-10
13,15,-5
13,16,-11
13,17,-15
13,18,-13
13,19,-16
13,20,-25
14,15,5
14,16,-1
14,17,-5
14,18,-3
14,19,-6
14,20,-15
15,16,-6
15,17,-10
15,18,-8
15,19,-11
15,20,-20
16,17,-4
16,18,-2
16,19,-5
16,20,-14
17,18,2
17,19,-1
17,20,-10
18,19,-3
18,20,-12
19,20,-9
