i,j,fij
1,2,-8
1,3,-15
1,4,-16
1,5,-28
1,6,-32
1,7,-24
1,8,-33
1,9,-30
1,10,-29
1,11,-36
1,12,-37
1,13,-31
1,14,-38
1,15,-48
1,16,-37
1,17,-36
1,18,-50
1,19,-49
1,20,-56
2,3,-7
2,4,-8
2,5,-20
2,6,-24
2,7,-16
2,8,-25
2,9,-22
2,10,-21
2,11,-28
2,12,-29
2,13,-23
2,14,-30
2,15,-40
2,16,-29
2,17,-28
2,18,-42
2,19,-41
2,20,-48
3,4,-1
3,5,-13
3,6,-17
3,7,-9
3,8,-18
3,9,-15
3,10,-14
3,11,-21
3,12,-22
3,13,-16
3,14,-23
3,15,-33
3,16,-22
3,17,-21
3,18,-35
3,19,-34
3,20,-41
4,5,-12
4,6,-16
4,7,-8
4,8,-17
4,9,-14
4,10,-13
4,11,-20
4,12,-21
4,13,-15
4,14,-22
4,15,-32
4,16,-21
4,17,-20
4,18,-34
4,19,-33
4,20,-40
5,6,-4
5,7,4
5,8,-5
5,9,-2
5,10,-1
5,11,-8
5,12,-9
5,13,-3
5,14,-10
5,15,-20
5,16,-9
5,17,-8
5,18,-22
5,19,-21
5,20,-28
6,7,8
6,8,-1
6,9,2
6,10,3
6,11,-4
6,12,-5
6,13,1
6,14,-6
6,15,-16
6,16,-5
6,17,-4
6,18,-18
6,19,-17
6,20,-24
7,8,-9
7,9,-6
7,10,-5
7,11,-12
7,12,-13
7,13,-7
7,14,-14
7,15,-24
7,16,-13
7,17,-12
7,18,-26
7,19,-25
7,20,-32
8,9,3
8,10,4
8,11,-3
8,12,-4
8,13,2
8,14,-5
8,15,-15
8,16,-4
8,17,-3
8,18,-17
8,19,-16
8,20,-23
9,10,1
9,11,-6
9,12,-7
9,13,-1
9,14,-8
9,15,-18
9,16,-7
9,17,-6
9,18,-20
9,19,-19
9,20,-26
10,11,-7
10,12,-8
10,13,-2
10,14,-9
10,15,-19
10,16,-8
10,17,-7
10,18,-21
10,19,-20
10,20,-27
11,12,-1
11,13,5
11,14,-2
11,15,-12
11,16,-1
11,17,0
11,18,-14
11,19,-13
11,20,-20
12,13,6
12,14,-1
12,15,-11
12,16,0
12,17,1
12,18,-13
12,19,-12
12,20,-19
13,14,-7
13,15,-17
13,16,-6
13,17,-5
13,18,-19
13,19,-18
13,20,-25
14,15,-10
14,16,1
14,17,2
14,18,-12
14,19,-11
14,20,-18
15,16,11
15,17,12
15,18,-2
15,19,-1
15,20,-8
16,17,1
16,18,-13
16,19,-12
16,20,-19
17,18,-14
17,19,-13
17,20,-20
18,19,1
18,20,-6
19,20,-7
