l i j f[l] s[l] h[l]
1 1 2 -1.1363 -0.7615615000000002 2.7755575615628914e-16
2 1 3 -0.22133 -0.7615615000000002 2.7755575615628914e-16
3 2 3 -1.2776 0.07428395 5.551115123125783e-17
4 1 4 -2.9155 -0.7615615000000002 2.7755575615628914e-16
5 2 4 -0.37104 0.07428395 5.551115123125783e-17
6 3 4 -1.2859 -1.3567245500000003 1.1102230246251565e-16
7 1 5 4.6032 -0.7615615000000002 2.7755575615628914e-16
8 2 5 1.173 0.07428395 5.551115123125783e-17
9 3 5 1.4795 -1.3567245500000003 1.1102230246251565e-16
10 4 5 1.7989 -2.3385095000000002 2.220446049250313e-16
11 1 6 0.29798 -0.7615615000000002 2.7755575615628914e-16
12 2 6 -0.80618 0.07428395 5.551115123125783e-17
13 3 6 0.18171 -1.3567245500000003 1.1102230246251565e-16
14 4 6 2.2868 -2.3385095000000002 2.220446049250313e-16
15 5 6 -2.6364 -0.16878799999999994 2.7755575615628914e-17
16 1 7 -2.7428 -0.7615615000000002 2.7755575615628914e-16
17 2 7 -1.0705 0.07428395 5.551115123125783e-17
18 3 7 -2.0953 -1.3567245500000003 1.1102230246251565e-16
19 4 7 -3.9243 -2.3385095000000002 2.220446049250313e-16
20 5 7 -3.7474 -0.16878799999999994 2.7755575615628914e-17
21 6 7 -0.88452 -1.00452345 1.1102230246251565e-16
22 1 8 -1.6524 -0.7615615000000002 2.7755575615628914e-16
23 2 8 4.1443 0.07428395 5.551115123125783e-17
24 3 8 0.78201 -1.3567245500000003 1.1102230246251565e-16
25 4 8 -5.4128 -2.3385095000000002 2.220446049250313e-16
26 5 8 -2.1663 -0.16878799999999994 2.7755575615628914e-17
27 6 8 -0.82955 -1.00452345 1.1102230246251565e-16
28 7 8 1.5866 3.702341950000001 -1.1102230246251565e-15
29 1 9 0.12318 -0.7615615000000002 2.7755575615628914e-16
30 2 9 1.0526 0.07428395 5.551115123125783e-17
31 3 9 -1.5098 -1.3567245500000003 1.1102230246251565e-16
32 4 9 -4.1975 -2.3385095000000002 2.220446049250313e-16
33 5 9 -0.19894 -0.16878799999999994 2.7755575615628914e-17
34 6 9 -1.3856 -1.00452345 1.1102230246251565e-16
35 7 9 1.2567 3.702341950000001 -1.1102230246251565e-15
36 8 9 -0.23762 -0.10259655000000019 -2.220446049250313e-16
37 1 10 -2.1217 -0.7615615000000002 2.7755575615628914e-16
38 2 10 -2.6973 0.07428395 5.551115123125783e-17
39 3 10 -2.7344 -1.3567245500000003 1.1102230246251565e-16
40 4 10 1.5174 -2.3385095000000002 2.220446049250313e-16
41 5 10 -1.9059 -0.16878799999999994 2.7755575615628914e-17
42 6 10 -3.6962 -1.00452345 1.1102230246251565e-16
43 7 10 3.4679 3.702341950000001 -1.1102230246251565e-15
44 8 10 -0.19666 -0.10259655000000019 -2.220446049250313e-16
45 9 10 -2.0296 0.283028 -4.440892098500626e-16
46 1 11 -3.9322 -0.7615615000000002 2.7755575615628914e-16
