t i j k u[t]
1 1 2 3 -0.1096285
2 1 2 4 0.07040800000000001
3 1 2 5 -0.22832500000000006
4 1 2 6 -0.11202300000000001
5 1 2 7 0.02679999999999999
6 1 2 8 0.23302
7 1 2 9 -0.01034400000000001
8 1 2 10 -0.08559499999999999
9 1 2 11 -0.040590000000000015
10 1 2 12 -0.09082250000000001
11 1 2 13 -0.200747
12 1 2 14 0.138695
13 1 2 15 -0.06445650000000001
14 1 2 16 -0.160385
15 1 2 17 0.002624499999999996
16 1 2 18 -0.12212
17 1 2 19 0.05933299999999999
18 1 2 20 -0.06740550000000001
19 1 3 4 0.07041350000000002
20 1 3 5 -0.16725150000000003
21 1 3 6 -0.016880000000000003
22 1 3 7 0.021308499999999998
23 1 3 8 0.11065400000000002
24 1 3 9 -0.0927155
25 1 3 10 -0.041701499999999996
26 1 3 11 -0.005731500000000001
27 1 3 12 -0.082194
28 1 3 13 -0.08753150000000001
29 1 3 14 0.11798900000000001
30 1 3 15 -0.018831
31 1 3 16 0.11971895
32 1 3 17 -0.12416200000000002
33 1 3 18 -0.1304615
34 1 3 19 0.1818535
35 1 3 20 0.11017800000000001
36 1 4 5 -0.2859900000000001
37 1 4 6 -0.04633400000000001
38 1 4 7 -0.20485000000000006
39 1 4 8 -0.33379500000000006
40 1 4 9 -0.361809
41 1 4 10 0.036180000000000004
42 1 4 11 -0.09836500000000002
43 1 4 12 -0.08526999999999998
44 1 4 13 -0.30877
45 1 4 14 0.050785
46 1 4 15 -0.071869
47 1 4 16 -0.09580000000000002
48 1 4 17 -0.17855550000000003
49 1 4 18 -0.11430000000000001
50 1 4 19 0.09289999999999998
51 1 4 20 -0.19184550000000003
52 1 5 6 0.08344100000000002
53 1 5 7 0.17993000000000003
54 1 5 8 0.204465
55 1 5 9 0.214054
56 1 5 10 0.24095000000000003
57 1 5 11 0.267435
58 1 5 12 0.12398600000000003
59 1 5 13 -0.11186499999999999
60 1 5 14 0.2762800000000001
61 1 5 15 0.21513250000000003
62 1 5 16 0.302495
63 1 5 17 0.19882700000000003
64 1 5 18 0.302951
65 1 5 19 0.24369000000000007
66 1 5 20 0.27900395
67 1 6 7 0.10781299999999999
68 1 6 8 0.0560415
69 1 6 9 -0.06054
70 1 6 10 -0.06382600000000001
71 1 6 11 0.057544000000000005
72 1 6 12 -0.071231
73 1 6 13 -0.20566100000000004
74 1 6 14 0.21281400000000003
75 1 6 15 -0.002710999999999997
76 1 6 16 0.068044
77 1 6 17 -0.03812750000000001
78 1 6 18 -0.062030999999999996
79 1 6 19 0.173534
80 1 6 20 -0.1531015
81 1 7 8 0.02481000000000001
