l i j f[l] s[l] h[l]
1 1 2 -4.0975 -0.22266439999999998 -1.3322676295501878e-15
2 1 3 0.80897 -0.22266439999999998 -1.3322676295501878e-15
3 2 3 1.9155 2.608962 -1.3322676295501878e-15
4 1 4 -1.9722 -0.22266439999999998 -1.3322676295501878e-15
5 2 4 4.7171 2.608962 -1.3322676295501878e-15
6 3 4 -0.1334 -0.15934360000000006 0.0
7 1 5 -2.5956 -0.22266439999999998 -1.3322676295501878e-15
8 2 5 0.81623 2.608962 -1.3322676295501878e-15
9 3 5 -2.2979 -0.15934360000000006 0.0
10 4 5 0.13509 -0.1808414999999998 -6.661338147750939e-16
11 1 6 -0.19457 -0.22266439999999998 -1.3322676295501878e-15
12 2 6 2.4797 2.608962 -1.3322676295501878e-15
13 3 6 0.67711 -0.15934360000000006 0.0
14 4 6 1.0596 -0.1808414999999998 -6.661338147750939e-16
15 5 6 3.1288 2.6336228999999998 1.3322676295501878e-15
16 1 7 -4.3092 -0.22266439999999998 -1.3322676295501878e-15
17 2 7 -2.9014 2.608962 -1.3322676295501878e-15
18 3 7 -2.5048 -0.15934360000000006 0.0
19 4 7 -3.2268 -0.1808414999999998 -6.661338147750939e-16
20 5 7 -3.3547 2.6336228999999998 1.3322676295501878e-15
21 6 7 -1.9303 -0.14203349999999998 6.938893903907228e-16
22 1 8 -4.8417 -0.22266439999999998 -1.3322676295501878e-15
23 2 8 -0.17798 2.608962 -1.3322676295501878e-15
24 3 8 -1.306 -0.15934360000000006 0.0
25 4 8 -8.9353 -0.1808414999999998 -6.661338147750939e-16
26 5 8 -0.19021 2.6336228999999998 1.3322676295501878e-15
27 6 8 -1.6936 -0.14203349999999998 6.938893903907228e-16
28 7 8 0.65946 0.7821014999999998 -8.881784197001252e-16
29 1 9 -5.6441 -0.22266439999999998 -1.3322676295501878e-15
30 2 9 -2.3116 2.608962 -1.3322676295501878e-15
31 3 9 -4.1128 -0.15934360000000006 0.0
32 4 9 -2.3819 -0.1808414999999998 -6.661338147750939e-16
33 5 9 -2.7165 2.6336228999999998 1.3322676295501878e-15
34 6 9 -2.1695 -0.14203349999999998 6.938893903907228e-16
35 7 9 4.1033 0.7821014999999998 -8.881784197001252e-16
36 8 9 -1.0389 0.3190958999999999 4.440892098500626e-16
37 1 10 -9.8732 -0.22266439999999998 -1.3322676295501878e-15
38 2 10 -3.4147 2.608962 -1.3322676295501878e-15
39 3 10 -4.7082 -0.15934360000000006 0.0
40 4 10 -4.9532 -0.1808414999999998 -6.661338147750939e-16
41 5 10 -3.4691 2.6336228999999998 1.3322676295501878e-15
42 6 10 -9.0623 -0.14203349999999998 6.938893903907228e-16
43 7 10 -0.06573 0.7821014999999998 -8.881784197001252e-16
44 8 10 0.94771 0.3190958999999999 4.440892098500626e-16
45 9 10 -3.7911 -0.7201904999999996 2.220446049250313e-16
46 1 11 -6.1538 -0.22266439999999998 -1.3322676295501878e-15
47 2 11 -4.5439 2.608962 -1.3322676295501878e-15
48 3 11 -6.4819 -0.15934360000000006 0.0
49 4 11 -5.1176 -0.1808414999999998 -6.661338147750939e-16
50 5 11 -2.4422 2.6336228999999998 1.3322676295501878e-15
51 6 11 -2.5109 -0.14203349999999998 6.938893903907228e-16
52 7 11 -1.3552 0.7821014999999998 -8.881784197001252e-16
53 8 11 0.85516 0.3190958999999999 4.440892098500626e-16
54 9 11 -2.2654 -0.7201904999999996 2.220446049250313e-16
55 10 11 -3.0883 1.7214329999999998 -2.220446049250313e-16
56 1 12 -5.195 -0.22266439999999998 -1.3322676295501878e-15
57 2 12 -0.57399 2.608962 -1.3322676295501878e-15
58 3 12 -4.0728 -0.15934360000000006 0.0
59 4 12 -1.0806 -0.1808414999999998 -6.661338147750939e-16
60 5 12 -2.0758 2.6336228999999998 1.3322676295501878e-15
61 6 12 -3.4919 -0.14203349999999998 6.938893903907228e-16
62 7 12 0.61849 0.7821014999999998 -8.881784197001252e-16
63 8 12 -4.2092 0.3190958999999999 4.440892098500626e-16
64 9 12 0.75287 -0.7201904999999996 2.220446049250313e-16
65 10 12 0.93302 1.7214329999999998 -2.220446049250313e-16
66 11 12 -0.58087 1.4376779999999998 0.0
67 1 13 -5.2897 -0.22266439999999998 -1.3322676295501878e-15
68 2 13 -0.096708 2.608962 -1.3322676295501878e-15
69 3 13 -2.752 -0.15934360000000006 0.0
70 4 13 -3.8358 -0.1808414999999998 -6.661338147750939e-16
71 5 13 -3.419 2.6336228999999998 1.3322676295501878e-15
72 6 13 -5.0398 -0.14203349999999998 6.938893903907228e-16
73 7 13 -2.1119 0.7821014999999998 -8.881784197001252e-16
74 8 13 -1.1744 0.3190958999999999 4.440892098500626e-16
75 9 13 -0.88048 -0.7201904999999996 2.220446049250313e-16
76 10 13 5.8143 1.7214329999999998 -2.220446049250313e-16
77 11 13 -1.9886 1.4376779999999998 0.0
78 12 13 -1.4636 0.23711239999999975 1.3322676295501878e-15
79 1 14 -6.1049 -0.22266439999999998 -1.3322676295501878e-15
80 2 14 2.2379 2.608962 -1.3322676295501878e-15
81 3 14 -1.7334 -0.15934360000000006 0.0
82 4 14 -2.179 -0.1808414999999998 -6.661338147750939e-16
83 5 14 0.15254 2.6336228999999998 1.3322676295501878e-15
84 6 14 -2.7033 -0.14203349999999998 6.938893903907228e-16
85 7 14 0.35267 0.7821014999999998 -8.881784197001252e-16
86 8 14 0.92681 0.3190958999999999 4.440892098500626e-16
87 9 14 0.05561 -0.7201904999999996 2.220446049250313e-16
88 10 14 -2.9342 1.7214329999999998 -2.220446049250313e-16
89 11 14 -1.9296 1.4376779999999998 0.0
90 12 14 1.3557 0.23711239999999975 1.3322676295501878e-15
91 13 14 2.6766 0.5093659999999998 1.2212453270876722e-15
92 1 15 -4.5335 -0.22266439999999998 -1.3322676295501878e-15
93 2 15 -2.6331 2.608962 -1.3322676295501878e-15
94 3 15 -3.2318 -0.15934360000000006 0.0
95 4 15 -2.1975 -0.1808414999999998 -6.661338147750939e-16
96 5 15 -1.9133 2.6336228999999998 1.3322676295501878e-15
97 6 15 -1.7971 -0.14203349999999998 6.938893903907228e-16
98 7 15 0.2277 0.7821014999999998 -8.881784197001252e-16
99 8 15 -2.7593 0.3190958999999999 4.440892098500626e-16
100 9 15 2.0438 -0.7201904999999996 2.220446049250313e-16
101 10 15 1.9925 1.7214329999999998 -2.220446049250313e-16
102 11 15 0.81098 1.4376779999999998 0.0
103 12 15 -1.5099 0.23711239999999975 1.3322676295501878e-15
104 13 15 0.90544 0.5093659999999998 1.2212453270876722e-15
105 14 15 2.4818 0.9004894999999999 4.440892098500626e-16
106 1 16 -9.6155 -0.22266439999999998 -1.3322676295501878e-15
107 2 16 -6.4163 2.608962 -1.3322676295501878e-15
108 3 16 -3.7202 -0.15934360000000006 0.0
109 4 16 -6.876 -0.1808414999999998 -6.661338147750939e-16
110 5 16 -4.9012 2.6336228999999998 1.3322676295501878e-15
111 6 16 -2.679 -0.14203349999999998 6.938893903907228e-16
112 7 16 0.70895 0.7821014999999998 -8.881784197001252e-16
113 8 16 -2.0369 0.3190958999999999 4.440892098500626e-16
114 9 16 -0.38346 -0.7201904999999996 2.220446049250313e-16
115 10 16 -2.5117 1.7214329999999998 -2.220446049250313e-16
116 11 16 1.0233 1.4376779999999998 0.0
117 12 16 3.416 0.23711239999999975 1.3322676295501878e-15
118 13 16 4.1088 0.5093659999999998 1.2212453270876722e-15
119 14 16 -1.8741 0.9004894999999999 4.440892098500626e-16
120 15 16 1.5846 1.3833464999999998 8.881784197001252e-16
121 1 17 -4.0652 -0.22266439999999998 -1.3322676295501878e-15
122 2 17 0.65436 2.608962 -1.3322676295501878e-15
123 3 17 -1.5326 -0.15934360000000006 0.0
124 4 17 0.21378 -0.1808414999999998 -6.661338147750939e-16
125 5 17 -1.7406 2.6336228999999998 1.3322676295501878e-15
126 6 17 -2.4535 -0.14203349999999998 6.938893903907228e-16
127 7 17 0.83691 0.7821014999999998 -8.881784197001252e-16
128 8 17 -0.35064 0.3190958999999999 4.440892098500626e-16
129 9 17 1.4422 -0.7201904999999996 2.220446049250313e-16
130 10 17 5.131 1.7214329999999998 -2.220446049250313e-16
131 11 17 6.9241 1.4376779999999998 0.0
132 12 17 -1.6617 0.23711239999999975 1.3322676295501878e-15
133 13 17 2.9975 0.5093659999999998 1.2212453270876722e-15
134 14 17 2.4937 0.9004894999999999 4.440892098500626e-16
135 15 17 5.1161 1.3833464999999998 8.881784197001252e-16
136 16 17 3.2535 1.3170979500000004 -8.881784197001252e-16
137 1 18 -5.9867 -0.22266439999999998 -1.3322676295501878e-15
138 2 18 -2.7488 2.608962 -1.3322676295501878e-15
139 3 18 -4.5959 -0.15934360000000006 0.0
