t i j k u[t]
1 1 2 3 -0.14954850000000003
2 1 2 4 0.12958999999999998
3 1 2 5 -0.034283499999999995
4 1 2 6 -0.0711615
5 1 2 7 -0.134485
6 1 2 8 0.028311000000000003
7 1 2 9 -0.03825
8 1 2 10 0.11805000000000002
9 1 2 11 -0.12437999999999995
10 1 2 12 0.0261755
11 1 2 13 0.05477459999999997
12 1 2 14 0.21226499999999995
13 1 2 15 -0.109855
14 1 2 16 -0.04491499999999994
15 1 2 17 0.031102999999999985
16 1 2 18 -0.04298000000000001
17 1 2 19 0.042585
18 1 2 20 -0.11565999999999996
19 1 3 4 0.13238849999999996
20 1 3 5 0.05533350000000001
21 1 3 6 0.08403249999999998
22 1 3 7 0.13066849999999994
23 1 3 8 0.21723349999999994
24 1 3 9 0.11701349999999999
25 1 3 10 0.2986985
26 1 3 11 0.024043500000000013
27 1 3 12 0.09655850000000002
28 1 3 13 0.1673335
29 1 3 14 0.2590234999999999
30 1 3 15 0.10553350000000002
31 1 3 16 0.3352135
32 1 3 17 0.16707849999999994
33 1 3 18 0.10998849999999993
34 1 3 19 0.19800349999999997
35 1 3 20 -0.03873149999999996
36 1 4 5 0.0379245
37 1 4 6 -0.03590149999999999
38 1 4 7 -0.04449
39 1 4 8 -0.3032899999999999
40 1 4 9 0.06449999999999999
41 1 4 10 0.14739000000000002
42 1 4 11 -0.04679999999999999
43 1 4 12 0.10711
44 1 4 13 -0.025914999999999997
45 1 4 14 0.09768499999999998
46 1 4 15 0.018190000000000015
47 1 4 16 0.038365000000000024
48 1 4 17 0.11533899999999996
49 1 4 18 -0.05297999999999997
50 1 4 19 0.07839499999999999
51 1 4 20 -0.11438499999999999
52 1 5 6 0.03638849999999999
53 1 5 7 -0.082055
54 1 5 8 0.1027945
55 1 5 9 0.01659999999999999
56 1 5 10 0.19042499999999998
57 1 5 11 0.055799999999999995
58 1 5 12 0.02618
59 1 5 13 -0.036245000000000006
60 1 5 14 0.18309199999999995
61 1 5 15 0.0012299999999999976
62 1 5 16 0.105935
63 1 5 17 -0.013550000000000003
64 1 5 18 0.07239999999999996
65 1 5 19 0.20709099999999997
66 1 5 20 -0.025009999999999994
67 1 6 7 0.10921649999999998
68 1 6 8 0.1476765
69 1 6 9 0.16400149999999997
70 1 6 10 0.030816499999999972
71 1 6 11 0.17241650000000003
72 1 6 12 0.07542650000000004
73 1 6 13 0.0027665000000000263
74 1 6 14 0.16035149999999995
75 1 6 15 0.1270915
76 1 6 16 0.3370964999999999
77 1 6 17 0.07085649999999998
78 1 6 18 -0.10582349999999997
79 1 6 19 0.1239365
80 1 6 20 0.03520650000000002
81 1 7 8 0.05959800000000003
82 1 7 9 0.27191
83 1 7 10 0.2749135
84 1 7 11 0.024470000000000033
85 1 7 12 0.07521450000000002
86 1 7 13 -0.056569999999999974
87 1 7 14 0.10741849999999997
88 1 7 15 0.022600000000000016
89 1 7 16 0.3007625
90 1 7 17 0.029645500000000005
91 1 7 18 0.030640000000000008
92 1 7 19 0.146243
93 1 7 20 0.009107450000000026
94 1 8 9 -0.011825000000000016
95 1 8 10 0.29896049999999996
96 1 8 11 0.10836299999999999
97 1 8 12 -0.19279499999999997
98 1 8 13 -0.036320000000000026
99 1 8 14 0.10950049999999996
100 1 8 15 -0.15337499999999998
101 1 8 16 0.136845
102 1 8 17 -0.05635700000000002
103 1 8 18 0.046403499999999966
104 1 8 19 0.03130499999999999
105 1 8 20 -0.0462125
106 1 9 10 0.021900000000000027
107 1 9 11 -0.08778499999999996
108 1 9 12 0.015188500000000018
109 1 9 13 -0.061743999999999986
110 1 9 14 0.02582049999999999
111 1 9 15 0.04666
112 1 9 16 0.17939700000000003
113 1 9 17 -0.006835000000000001
114 1 9 18 -0.10491499999999998
115 1 9 19 0.04600400000000001
116 1 9 20 -0.19108999999999993
117 1 10 11 -0.34038499999999994
118 1 10 12 -0.18725899999999998
119 1 10 13 0.06153999999999996
120 1 10 14 -0.33512499999999995
121 1 10 15 -0.16736
