l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 2.2167 -0.1739027000000002 2.3906027000000005 -4.440892098500626e-16
2 1 3 -2.4676 -0.40304870000000037 -2.0645513000000006 9.992007221626409e-16
3 2 3 -0.66399 -0.22914600000000018 -0.4348439999999999 1.1102230246251565e-16
4 1 4 1.4842 -0.21241420000000044 1.6966142 4.440892098500626e-16
5 2 4 0.80785 -0.038511500000000254 0.8463615000000001 1.1102230246251565e-16
6 3 4 -1.0112 0.19063449999999993 -1.2018345000000004 3.3306690738754696e-16
7 1 5 -2.7818 -0.47051770000000015 -2.3112823000000007 7.771561172376096e-16
8 2 5 -1.5634 -0.29661499999999996 -1.2667850000000005 5.551115123125783e-16
9 3 5 -1.0905 -0.06746899999999978 -1.0230310000000002 0.0
10 4 5 -1.514 -0.2581034999999997 -1.2558965000000004 1.1102230246251565e-16
11 1 6 -1.0823 -0.6572197000000002 -0.4250803000000002 3.3306690738754696e-16
12 2 6 0.64036 -0.483317 1.1236770000000003 -2.220446049250313e-16
13 3 6 0.17583 -0.2541709999999998 0.430001 -2.220446049250313e-16
14 4 6 -0.82646 -0.44480549999999974 -0.38165450000000006 -1.6653345369377348e-16
15 5 6 -1.1741 -0.18670200000000003 -0.9873980000000002 3.3306690738754696e-16
16 1 7 -1.1572 -1.3470427 0.1898427000000001 0.0
17 2 7 -0.63315 -1.1731399999999998 0.5399900000000002 -2.220446049250313e-16
18 3 7 -0.56153 -0.9439939999999998 0.38246400000000014 -3.3306690738754696e-16
19 4 7 0.70864 -1.1346284999999996 1.8432685000000006 -1.1102230246251565e-15
20 5 7 0.27461 -0.876525 1.1511350000000002 -2.220446049250313e-16
21 6 7 0.7982 -0.689823 1.4880230000000005 -5.551115123125783e-16
22 1 8 -0.35811 -2.4274364999999998 2.0693265000000003 -4.440892098500626e-16
23 2 8 -3.4559 -2.2535337999999996 -1.2023662000000004 0.0
24 3 8 -1.425 -2.0243877999999995 0.5993878000000002 -8.881784197001252e-16
25 4 8 1.2219 -2.2150222999999993 3.4369223000000004 -8.881784197001252e-16
26 5 8 -1.5673 -1.9569187999999995 0.38961880000000015 -4.440892098500626e-16
27 6 8 -2.099 -1.7702167999999996 -0.32878320000000033 -2.220446049250313e-16
28 7 8 1.7517 -1.0803937999999997 2.8320938000000004 -6.661338147750939e-16
29 1 9 -2.2203 -2.2659931999999996 0.04569320000000013 -4.440892098500626e-16
30 2 9 -1.0893 -2.0920904999999994 1.0027905000000001 -8.881784197001252e-16
31 3 9 -2.3547 -1.8629444999999993 -0.49175549999999985 -6.661338147750939e-16
32 4 9 -1.2781 -2.053578999999999 0.7754790000000003 -8.881784197001252e-16
33 5 9 -3.0597 -1.7954754999999996 -1.2642245000000005 2.220446049250313e-16
34 6 9 -1.1159 -1.6087734999999994 0.4928735000000001 -4.440892098500626e-16
35 7 9 -2.158 -0.9189504999999996 -1.2390495000000004 0.0
36 8 9 -1.0278 0.16144330000000007 -1.1892433000000004 3.3306690738754696e-16
37 1 10 -4.471 -1.5556137 -2.9153863 2.220446049250313e-16
38 2 10 2.2823 -1.381711 3.664011000000001 -6.661338147750939e-16
39 3 10 1.613 -1.1525649999999996 2.7655650000000005 -8.881784197001252e-16
40 4 10 -0.82707 -1.3431994999999997 0.5161295000000001 -4.440892098500626e-16
41 5 10 -0.49752 -1.085096 0.5875760000000001 0.0
42 6 10 -2.375 -0.8983939999999999 -1.4766060000000005 4.440892098500626e-16
43 7 10 -0.21082 -0.20857099999999998 -0.0022489999999999177 -1.1102230246251565e-16
44 8 10 -0.95124 0.8718227999999997 -1.8230628000000004 7.771561172376096e-16
45 9 10 -0.70837 0.7103794999999996 -1.4187495 4.440892098500626e-16
46 1 11 0.73448 -1.2139297 1.9484097000000007 -6.661338147750939e-16
47 2 11 -2.0463 -1.0400269999999998 -1.006273 -2.220446049250313e-16
48 3 11 -2.3513 -0.8108809999999997 -1.5404190000000002 -2.220446049250313e-16
49 4 11 -2.586 -1.0015154999999996 -1.5844845000000003 0.0
50 5 11 -4.4256 -0.743412 -3.682188000000001 6.661338147750939e-16
51 6 11 0.68232 -0.5567099999999998 1.23903 -2.220446049250313e-16
52 7 11 -0.77433 0.13311300000000006 -0.9074430000000001 8.326672684688674e-17
53 8 11 2.3295 1.2135067999999998 1.1159932 2.220446049250313e-16
54 9 11 1.0376 1.0520634999999996 -0.01446349999999988 4.440892098500626e-16
55 10 11 1.3722 0.34168400000000004 1.030516 5.551115123125783e-17
56 1 12 -2.3396 -1.9346261999999999 -0.4049738000000001 0.0
57 2 12 -1.9929 -1.7607234999999997 -0.23217649999999998 -2.220446049250313e-16
58 3 12 -5.4473 -1.5315774999999996 -3.915722500000001 4.440892098500626e-16
59 4 12 -3.2846 -1.7222119999999994 -1.5623880000000006 -2.220446049250313e-16
60 5 12 -2.6818 -1.4641084999999996 -1.2176915 -4.440892098500626e-16
61 6 12 -1.1007 -1.2774064999999997 0.17670649999999993 -2.220446049250313e-16
62 7 12 0.75584 -0.5875834999999997 1.3434235000000003 -6.661338147750939e-16
63 8 12 1.6772 0.4928102999999999 1.1843897000000005 -4.440892098500626e-16
64 9 12 -0.9945 0.33136699999999986 -1.3258670000000004 4.440892098500626e-16
65 10 12 -1.3079 -0.37901249999999975 -0.9288875000000003 0.0
66 11 12 1.3716 -0.7206964999999999 2.0922965000000007 -8.881784197001252e-16
67 1 13 -0.30963 -1.7216117 1.4119817000000003 -4.440892098500626e-16
68 2 13 0.15406 -1.5477089999999998 1.7017690000000003 -4.440892098500626e-16
69 3 13 -2.1955 -1.3185629999999997 -0.8769370000000002 0.0
70 4 13 -1.4089 -1.5091974999999995 0.10029749999999998 -4.440892098500626e-16
71 5 13 -0.28313 -1.251094 0.9679640000000002 -2.220446049250313e-16
72 6 13 -2.4385 -1.0643919999999998 -1.3741080000000003 2.220446049250313e-16
73 7 13 2.8171 -0.37456899999999993 3.1916690000000005 -6.661338147750939e-16
74 8 13 4.1565 0.7058247999999998 3.4506752000000014 -8.881784197001252e-16
75 9 13 1.5825 0.5443814999999996 1.0381185000000002 2.220446049250313e-16
76 10 13 -2.5229 -0.16599799999999992 -2.356902000000001 1.1657341758564144e-15
77 11 13 -1.2949 -0.507682 -0.7872180000000002 2.220446049250313e-16
78 12 13 -1.2611 0.21301449999999983 -1.4741144999999998 -1.6653345369377348e-16
79 1 14 -3.0622 -1.3000437 -1.7621563000000002 4.440892098500626e-16
80 2 14 -1.1627 -1.1261409999999998 -0.036559000000000064 -2.220446049250313e-16
81 3 14 -2.1376 -0.8969949999999997 -1.2406050000000002 -1.1102230246251565e-16
82 4 14 2.7191 -1.0876294999999996 3.8067295000000008 -1.1102230246251565e-15
83 5 14 0.26824 -0.8295259999999999 1.0977660000000002 -3.3306690738754696e-16
84 6 14 0.26297 -0.6428239999999998 0.9057940000000001 -2.220446049250313e-16
85 7 14 -3.2459 0.0469990000000001 -3.2928990000000002 3.5388358909926865e-16
86 8 14 5.0537 1.1273927999999998 3.9263072000000006 -2.220446049250313e-16
87 9 14 1.7636 0.9659494999999997 0.7976505000000002 2.220446049250313e-16
88 10 14 -1.3429 0.2555700000000001 -1.5984700000000005 4.440892098500626e-16
89 11 14 -1.1004 -0.08611399999999995 -1.0142860000000005 3.7470027081099033e-16
90 12 14 -0.25542 0.6345824999999998 -0.8900025000000001 3.3306690738754696e-16
91 13 14 4.1314 0.421568 3.7098320000000014 -1.1657341758564144e-15
92 1 15 -5.42 -2.6094859 -2.8105141000000002 4.440892098500626e-16
93 2 15 -2.2859 -2.4355832 0.14968320000000013 0.0
94 3 15 -0.76414 -2.2064371999999994 1.4422972000000005 -1.3322676295501878e-15
