l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -3.0272 -3.6855071899999983 0.6583071899999999 -1.7763568394002505e-15
2 1 3 -0.0084088 -1.5566213799999993 1.5482125800000002 -8.881784197001252e-16
3 2 3 1.1852 2.128885809999999 -0.9436858100000001 8.881784197001252e-16
4 1 4 -2.3465 -2.075712789999999 -0.27078720999999983 -8.881784197001252e-16
5 2 4 3.4982 1.6097943999999993 1.8884056000000002 6.661338147750939e-16
6 3 4 -2.0119 -0.5190914099999997 -1.4928085900000003 2.220446049250313e-16
7 1 5 -2.7956 -3.2215009399999985 0.4259009399999999 -1.3322676295501878e-15
8 2 5 0.8991 0.4640062499999995 0.4350937499999998 7.216449660063518e-16
9 3 5 -1.9237 -1.6648795599999995 -0.2588204400000001 -4.440892098500626e-16
10 4 5 -1.2953 -1.1457881499999998 -0.14951185000000008 0.0
11 1 6 0.97969 -2.5977180899999985 3.5774080899999996 -1.3322676295501878e-15
12 2 6 1.7205 1.0877890999999997 0.6327108999999999 4.440892098500626e-16
13 3 6 -1.2679 -1.0410967099999993 -0.22680329000000007 -6.661338147750939e-16
14 4 6 -0.090663 -0.5220052999999996 0.4313423 -4.440892098500626e-16
15 5 6 1.3817 0.6237828500000002 0.7579171500000003 -5.551115123125783e-16
16 1 7 -4.7411 -6.724560939999997 1.98346094 -2.6645352591003757e-15
17 2 7 -4.8814 -3.039053749999999 -1.8423462500000005 -8.881784197001252e-16
18 3 7 -2.0642 -5.167939559999998 3.10373956 -2.6645352591003757e-15
19 4 7 -4.3295 -4.648848149999998 0.3193481499999997 -1.7763568394002505e-15
20 5 7 -2.2101 -3.5030599999999987 1.2929599999999999 -1.3322676295501878e-15
21 6 7 -2.1511 -4.126842849999999 1.97574285 -8.881784197001252e-16
22 1 8 -4.1196 -6.0502444399999975 1.9306444399999998 -2.6645352591003757e-15
23 2 8 -1.7407 -2.3647372499999997 0.6240372500000001 -4.440892098500626e-16
24 3 8 -2.2629 -4.493623059999998 2.23072306 -1.7763568394002505e-15
25 4 8 -7.2179 -3.974531649999999 -3.2433683500000003 -8.881784197001252e-16
26 5 8 -3.2415 -2.828743499999999 -0.41275649999999975 -8.881784197001252e-16
27 6 8 -0.84882 -3.4525263499999994 2.60370635 -4.440892098500626e-16
28 7 8 2.0522 0.6743164999999994 1.3778834999999998 7.771561172376096e-16
29 1 9 -5.8554 -5.695015624999998 -0.16038437500000036 -1.7763568394002505e-15
30 2 9 -1.78 -2.0095084349999994 0.22950843499999984 -4.440892098500626e-16
31 3 9 -3.7928 -4.138394244999999 0.3455942449999999 -8.881784197001252e-16
32 4 9 -4.4748 -3.6193028349999987 -0.855497165 -1.3322676295501878e-15
33 5 9 -1.9733 -2.4735146849999987 0.5002146850000002 -1.7763568394002505e-15
34 6 9 -2.5812 -3.097297534999999 0.5160975349999999 -8.881784197001252e-16
35 7 9 2.8913 1.0295453149999996 1.8617546850000004 2.220446049250313e-16
36 8 9 -0.39359 0.35522881500000014 -0.7488188149999999 -2.220446049250313e-16
37 1 10 -12.604 -7.554244439999998 -5.0497555599999995 -1.7763568394002505e-15
38 2 10 -2.5164 -3.8687372499999997 1.3523372500000002 -4.440892098500626e-16
39 3 10 -4.6822 -5.997623059999999 1.31542306 -1.7763568394002505e-15
40 4 10 -6.0992 -5.478531649999999 -0.6206683499999995 -8.881784197001252e-16
41 5 10 -3.5545 -4.332743499999999 0.7782434999999999 0.0
42 6 10 -6.5425 -4.956526349999999 -1.5859736500000003 -8.881784197001252e-16
43 7 10 0.59783 -0.8296835000000007 1.4275134999999999 7.771561172376096e-16
44 8 10 -0.3246 -1.504 1.1794 0.0
45 9 10 -5.0155 -1.8592288150000003 -3.156271185 0.0
46 1 11 -4.7182 -6.306661639999998 1.5884616399999996 -1.7763568394002505e-15
47 2 11 -3.2549 -2.6211544499999997 -0.6337455500000002 0.0
48 3 11 -7.1243 -4.750040259999999 -2.3742597400000003 -8.881784197001252e-16
49 4 11 -5.1649 -4.230948849999999 -0.9339511500000002 -8.881784197001252e-16
50 5 11 -3.5274 -3.085160699999999 -0.4422393000000002 -8.881784197001252e-16
51 6 11 -0.76909 -3.708943549999999 2.9398535499999996 -8.881784197001252e-16
52 7 11 0.99977 0.41789929999999953 0.5818707000000001 4.440892098500626e-16
53 8 11 3.5305 -0.2564171999999999 3.7869172 -1.1102230246251565e-16
54 9 11 -1.6969 -0.611646015 -1.085253985 0.0
55 10 11 -0.38586 1.2475828000000002 -1.6334428000000003 2.220446049250313e-16
56 1 12 -7.5476 -5.972361804999998 -1.5752381950000003 -2.6645352591003757e-15
57 2 12 -0.020785 -2.2868546149999993 2.266069615 -8.881784197001252e-16
58 3 12 -6.6047 -4.415740424999998 -2.1889595750000006 -8.881784197001252e-16
59 4 12 -1.4683 -3.8966490149999986 2.428349015 -1.7763568394002505e-15
60 5 12 -3.1333 -2.7508608649999986 -0.3824391350000001 -1.3322676295501878e-15
61 6 12 -2.8784 -3.374643714999999 0.496243715 -8.881784197001252e-16
62 7 12 1.8732 0.7521991349999998 1.121000865 1.1102230246251565e-16
63 8 12 -1.7147 0.07788263500000037 -1.792582635 -2.220446049250313e-16
64 9 12 2.2848 -0.2773461799999998 2.56214618 -1.1102230246251565e-16
65 10 12 1.4794 1.5818826350000004 -0.10248263499999977 -4.440892098500626e-16
66 11 12 0.050934 0.33429983500000027 -0.28336583500000023 -5.551115123125783e-17
67 1 13 -6.6308 -6.349083439999998 -0.28171655999999995 -2.6645352591003757e-15
68 2 13 -1.4318 -2.6635762499999993 1.2317762500000002 -8.881784197001252e-16
69 3 13 -4.2028 -4.792462059999998 0.5896620600000002 -1.7763568394002505e-15
70 4 13 -1.1047 -4.273370649999999 3.16867065 -1.7763568394002505e-15
71 5 13 -5.2156 -3.127582499999999 -2.0880175000000007 -4.440892098500626e-16
72 6 13 -4.3407 -3.7513653499999995 -0.58933465 -4.440892098500626e-16
73 7 13 -0.92227 0.37547749999999946 -1.2977475000000005 9.992007221626409e-16
74 8 13 1.3872 -0.29883899999999997 1.686039 -1.1102230246251565e-16
75 9 13 -2.2302 -0.6540678150000001 -1.576132185 2.220446049250313e-16
76 10 13 5.103 1.2051610000000001 3.8978390000000007 -1.1102230246251565e-15
77 11 13 -2.1875 -0.042421800000000065 -2.1450782 0.0
78 12 13 -1.1578 -0.37672163500000033 -0.7810783649999999 3.3306690738754696e-16
79 1 14 -6.9833 -5.705111439999998 -1.2781885599999998 -1.7763568394002505e-15
80 2 14 0.46087 -2.0196042499999995 2.48047425 -4.440892098500626e-16
