l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -2.1274 -3.4887454999999985 1.3613454999999994 -8.881784197001252e-16
2 1 3 -2.9301 -1.926663999999999 -1.003436 -8.881784197001252e-16
3 2 3 6.6045 1.5620814999999995 5.0424184999999975 2.886579864025407e-15
4 1 4 -1.7331 -0.9247034999999992 -0.8083965 -8.881784197001252e-16
5 2 4 3.3522 2.5640419999999993 0.7881579999999996 8.881784197001252e-16
6 3 4 1.2248 1.0019604999999998 0.22283949999999997 2.220446049250313e-16
7 1 5 -1.7331 -1.941717999999999 0.2086179999999998 -8.881784197001252e-16
8 2 5 2.1274 1.5470274999999996 0.5803725000000001 4.440892098500626e-16
9 3 5 -0.32216 -0.0150539999999999 -0.307106 -1.1102230246251565e-16
10 4 5 -1.4972 -1.0170144999999997 -0.48018550000000004 -4.440892098500626e-16
11 1 6 -0.3943 -1.5440459999999991 1.1497459999999997 -6.661338147750939e-16
12 2 6 0.27238 1.9446994999999994 -1.6723195 6.661338147750939e-16
13 3 6 1.2248 0.3826179999999999 0.842182 2.220446049250313e-16
14 4 6 -1.9413 -0.6193424999999999 -1.3219575 -2.220446049250313e-16
15 5 6 1.411 0.3976719999999998 1.013328 2.220446049250313e-16
16 1 7 -2.4496 -4.982218499999998 2.532618499999999 -8.881784197001252e-16
17 2 7 -2.2136 -1.4934729999999994 -0.7201269999999997 -8.881784197001252e-16
18 3 7 -1.175 -3.0555544999999986 1.8805544999999997 -8.881784197001252e-16
19 4 7 -4.1758 -4.057514999999999 -0.1182849999999997 -1.7763568394002505e-15
20 5 7 -2.4496 -3.040500499999999 0.5909004999999998 -1.3322676295501878e-15
21 6 7 -5.3797 -3.4381724999999985 -1.9415274999999994 -1.7763568394002505e-15
22 1 8 -4.5592 -4.575169999999998 0.015970000000000206 -1.7763568394002505e-15
23 2 8 -1.7331 -1.0864244999999997 -0.6466755000000001 -4.440892098500626e-16
24 3 8 -4.1549 -2.6485059999999994 -1.5063939999999993 -8.881784197001252e-16
25 4 8 -3.8825 -3.650466499999999 -0.23203349999999992 -8.881784197001252e-16
26 5 8 -4.3908 -2.6334519999999992 -1.7573479999999997 -8.881784197001252e-16
27 6 8 -1.4329 -3.0311239999999993 1.5982239999999996 -4.440892098500626e-16
28 7 8 1.6191 0.4070484999999997 1.2120515 2.220446049250313e-16
29 1 9 -3.8825 -3.9267409999999985 0.0442410000000001 -1.3322676295501878e-15
30 2 9 -1.4972 -0.4379955000000001 -1.0592044999999999 -1.1102230246251565e-16
31 3 9 -1.1029 -2.0000769999999997 0.8971769999999999 -4.440892098500626e-16
32 4 9 -3.4384 -3.0020374999999992 -0.4363625000000001 -8.881784197001252e-16
33 5 9 -3.3522 -1.9850229999999995 -1.3671769999999999 -4.440892098500626e-16
34 6 9 -3.5603 -2.3826949999999996 -1.1776049999999998 -4.440892098500626e-16
35 7 9 3.2382 1.0554774999999994 2.1827224999999992 1.3322676295501878e-15
36 8 9 -3.3307e-16 0.6484289999999996 -0.6484290000000003 3.3306690738754696e-16
37 1 10 -5.1716 -3.6321234999999983 -1.5394764999999992 -2.220446049250313e-15
38 2 10 0.90263 -0.1433779999999999 1.0460079999999998 1.1102230246251565e-16
39 3 10 -1.4972 -1.7054594999999995 0.20825949999999946 0.0
40 4 10 -2.0055 -2.707419999999999 0.7019199999999999 -8.881784197001252e-16
41 5 10 -1.2969 -1.6904054999999993 0.3935055000000002 -8.881784197001252e-16
42 6 10 -5.4619 -2.0880774999999994 -3.3738224999999997 -8.881784197001252e-16
43 7 10 1.547 1.3500949999999996 0.19690499999999983 4.440892098500626e-16
44 8 10 2.220446049250313e-16 0.9430464999999998 -0.9430464999999997 1.1102230246251565e-16
45 9 10 -2.722 0.2946175000000002 -3.0166174999999997 -4.440892098500626e-16
46 1 11 -3.1163 -3.8177809999999983 0.7014810000000001 -1.7763568394002505e-15
47 2 11 0.50833 -0.32903550000000004 0.8373655 0.0
48 3 11 -4.0687 -1.8911169999999995 -2.177583 -4.440892098500626e-16
49 4 11 -3.3522 -2.8930774999999995 -0.45912249999999977 -4.440892098500626e-16
50 5 11 -2.722 -1.8760629999999996 -0.8459369999999999 -4.440892098500626e-16
51 6 11 -1.2248 -2.2737349999999994 1.0489349999999997 -4.440892098500626e-16
52 7 11 2.4496 1.1644374999999993 1.2851625000000002 6.661338147750939e-16
53 8 11 1.9413 0.7573889999999996 1.183911 4.440892098500626e-16
54 9 11 3.6744 0.10896000000000006 3.5654399999999993 5.551115123125783e-16
55 10 11 0.71646 -0.18565750000000014 0.9021174999999999 2.220446049250313e-16
56 1 12 -5.3797 -4.261971499999998 -1.1177284999999997 -1.7763568394002505e-15
57 2 12 1.6191 -0.7732259999999996 2.3923259999999997 -1.1102230246251565e-16
58 3 12 -1.6191 -2.335307499999999 0.7162074999999998 -8.881784197001252e-16
59 4 12 -3.166 -3.337267999999999 0.17126800000000006 -8.881784197001252e-16
60 5 12 -2.8439 -2.3202534999999993 -0.5236465000000002 -4.440892098500626e-16
61 6 12 -4.463 -2.717925499999999 -1.7450744999999999 -1.3322676295501878e-15
62 7 12 0.90263 0.7202469999999997 0.18238300000000005 2.220446049250313e-16
63 8 12 -0.3943 0.31319850000000005 -0.7074984999999999 -1.1102230246251565e-16
64 9 12 1.6191 -0.33523049999999954 1.9543304999999995 0.0
65 10 12 2.5358 -0.6298479999999997 3.165647999999999 6.661338147750939e-16
66 11 12 1.2248 -0.4441904999999996 1.6689904999999998 -1.1102230246251565e-16
67 1 13 -6.5183 -4.274086499999998 -2.2442135 -1.7763568394002505e-15
68 2 13 -0.50833 -0.7853410000000002 0.277011 2.220446049250313e-16
69 3 13 -1.311 -2.3474224999999995 1.0364225 -4.440892098500626e-16
70 4 13 -0.50833 -3.3493829999999996 2.8410529999999996 0.0
71 5 13 -6.0961 -2.3323685 -3.7637314999999996 -4.440892098500626e-16
72 6 13 -1.9413 -2.7300404999999994 0.7887404999999998 -4.440892098500626e-16
