t i j k u[t]
1 1 2 3 0.37035999999999997
2 1 2 4 0.14789499999999997
3 1 2 5 0.08665499999999998
4 1 2 6 -0.073036
5 1 2 7 -0.09456999999999999
6 1 2 8 0.034934999999999966
7 1 2 9 0.012894999999999978
8 1 2 10 0.19734149999999992
9 1 2 11 0.07486149999999997
10 1 2 12 0.24356999999999995
11 1 2 13 0.19412849999999998
12 1 2 14 0.010409999999999984
13 1 2 15 0.15260149999999995
14 1 2 16 -0.13179
15 1 2 17 -0.0013920000000000085
16 1 2 18 1.9999999999964487e-6
17 1 2 19 -0.07054500000000002
18 1 2 20 0.2070235
19 1 3 4 0.0013900000000000134
20 1 3 5 -0.07595799999999998
21 1 3 6 -0.06555
22 1 3 7 -0.08277499999999999
23 1 3 8 -0.12628999999999999
24 1 3 9 -0.007525000000000003
25 1 3 10 0.037214999999999984
26 1 3 11 -0.194125
27 1 3 12 0.041524999999999986
28 1 3 13 0.11385999999999999
29 1 3 14 0.09845499999999999
30 1 3 15 0.006094999999999983
31 1 3 16 -0.16621999999999995
32 1 3 17 -0.09136499999999999
33 1 3 18 -0.029726499999999986
34 1 3 19 -0.191635
35 1 3 20 0.09955350000000002
36 1 4 5 -0.07486
37 1 4 6 -0.16400499999999996
38 1 4 7 -0.17296499999999998
39 1 4 8 -0.05282000000000001
40 1 4 9 -0.06445000000000001
41 1 4 10 0.07164999999999996
42 1 4 11 -0.09845
43 1 4 12 0.02402999999999997
44 1 4 13 0.21384349999999996
45 1 4 14 0.10637499999999997
46 1 4 15 0.004704999999999958
47 1 4 16 -0.20913499999999996
48 1 4 17 -0.11817000000000001
49 1 4 18 -0.18941999999999998
50 1 4 19 -0.01749500000000004
51 1 4 20 0.08205499999999998
52 1 5 6 0.0036100000000000017
53 1 5 7 -0.08665499999999998
54 1 5 8 -0.078235
55 1 5 9 -0.060139999999999985
56 1 5 10 0.10707999999999997
57 1 5 11 -0.06694000000000001
58 1 5 12 0.040134999999999955
59 1 5 13 -0.065545
60 1 5 14 0.3975599999999999
61 1 5 15 -0.08055999999999999
62 1 5 16 -0.07055
63 1 5 17 -0.056929999999999994
64 1 5 18 -0.16399999999999995
65 1 5 19 0.12108999999999995
66 1 5 20 0.20453499999999997
67 1 6 7 -0.16621999999999995
68 1 6 8 0.13659999999999997
69 1 6 9 -0.0036049999999999915
70 1 6 10 -0.034230000000000024
71 1 6 11 0.07485999999999998
72 1 6 12 0.026119999999999963
73 1 6 13 0.20913499999999996
74 1 6 14 0.24495999999999996
75 1 6 15 0.03582499999999999
76 1 6 16 0.04152
77 1 6 17 0.029724999999999998
78 1 6 18 0.01611
79 1 6 19 0.029729999999999986
80 1 6 20 0.21023499999999998
81 1 7 8 0.18643499999999993
82 1 7 9 0.23355499999999993
83 1 7 10 0.21344999999999995
84 1 7 11 0.15581499999999998
85 1 7 12 0.19163649999999996
86 1 7 13 0.29008999999999996
87 1 7 14 0.32591499999999995
88 1 7 15 0.22424499999999997
89 1 7 16 -0.08666000000000001
90 1 7 17 -0.17009999999999997
91 1 7 18 -0.005701500000000003
92 1 7 19 0.059848499999999964
93 1 7 20 0.31090499999999993
94 1 8 9 -0.033835000000000004
95 1 8 10 0.030620000000000012
96 1 8 11 0.024920000000000008
97 1 8 12 0.02131
98 1 8 13 0.11766999999999998
99 1 8 14 -0.02452499999999999
100 1 8 15 -0.07536
101 1 8 16 -0.008419999999999981
102 1 8 17 0.060735
103 1 8 18 -0.13659999999999997
104 1 8 19 -0.020214999999999983
105 1 8 20 0.16029500000000002
106 1 9 10 -0.071645
107 1 9 11 0.14540999999999998
108 1 9 12 0.15581499999999998
109 1 9 13 0.034725000000000006
110 1 9 14 -0.016105
111 1 9 15 0.05553799999999999
112 1 9 16 0.045129999999999997
113 1 9 17 -0.18621
114 1 9 18 -0.10137199999999999
115 1 9 19 0.03333499999999998
116 1 9 20 0.026515000000000018
117 1 10 11 -0.06694199999999999
118 1 10 12 0.13719499999999998
119 1 10 13 -0.013619999999999986
120 1 10 14 0.05553700000000001
121 1 10 15 -0.10597999999999999
122 1 10 16 -0.25858
123 1 10 17 -0.20343999999999993
124 1 10 18 -0.3359249999999999
125 1 10 19 -0.11207500000000001
126 1 10 20 -0.08416499999999996
127 1 11 12 0.17440999999999998
128 1 11 13 0.32839999999999997
129 1 11 14 0.07303699999999999
130 1 11 15 0.058025
131 1 11 16 0.08914
132 1 11 17 -0.055540999999999986
133 1 11 18 -0.11068499999999996
134 1 11 19 0.04262149999999998
135 1 11 20 0.15148300000000003
136 1 12 13 0.13179000000000002
