l i j f[l] s[l] h[l]
1 1 2 1.6559 2.617723899999999 6.661338147750939e-16
2 1 3 -1.8071 2.617723899999999 6.661338147750939e-16
3 2 3 3.684 -0.019872499999999904 2.220446049250313e-16
4 1 4 -0.9174 2.617723899999999 6.661338147750939e-16
5 2 4 -0.057392 -0.019872499999999904 2.220446049250313e-16
6 3 4 1.3151 4.5094036 6.661338147750939e-16
7 1 5 -2.8206 2.617723899999999 6.661338147750939e-16
8 2 5 1.1151 -0.019872499999999904 2.220446049250313e-16
9 3 5 0.75128 4.5094036 6.661338147750939e-16
10 4 5 0.95885 0.23815950000000002 0.0
11 1 6 1.0036 2.617723899999999 6.661338147750939e-16
12 2 6 -2.2427 -0.019872499999999904 2.220446049250313e-16
13 3 6 1.1085 4.5094036 6.661338147750939e-16
14 4 6 -1.1418 0.23815950000000002 0.0
15 5 6 -0.3116 0.1363435999999999 2.7755575615628914e-16
16 1 7 -2.5209 2.617723899999999 6.661338147750939e-16
17 2 7 -2.4818 -0.019872499999999904 2.220446049250313e-16
18 3 7 4.6 4.5094036 6.661338147750939e-16
19 4 7 -0.5011 0.23815950000000002 0.0
20 5 7 -4.8308 0.1363435999999999 2.7755575615628914e-16
21 6 7 -0.18895 0.6834319999999999 0.0
22 1 8 -2.1769 2.617723899999999 6.661338147750939e-16
23 2 8 -3.2515 -0.019872499999999904 2.220446049250313e-16
24 3 8 1.6388 4.5094036 6.661338147750939e-16
25 4 8 -3.542 0.23815950000000002 0.0
26 5 8 -4.0739 0.1363435999999999 2.7755575615628914e-16
27 6 8 0.84003 0.6834319999999999 0.0
28 7 8 0.67635 -2.5630529999999996 -6.661338147750939e-16
29 1 9 0.35897 2.617723899999999 6.661338147750939e-16
30 2 9 -0.4004 -0.019872499999999904 2.220446049250313e-16
31 3 9 0.83718 4.5094036 6.661338147750939e-16
32 4 9 -1.1053 0.23815950000000002 0.0
33 5 9 -0.11202 0.1363435999999999 2.7755575615628914e-16
34 6 9 -1.8037 0.6834319999999999 0.0
35 7 9 1.7422 -2.5630529999999996 -6.661338147750939e-16
36 8 9 1.0489 0.4108230999999999 1.1102230246251565e-16
37 1 10 -2.1122 2.617723899999999 6.661338147750939e-16
38 2 10 3.6031 -0.019872499999999904 2.220446049250313e-16
39 3 10 -0.53521 4.5094036 6.661338147750939e-16
40 4 10 0.49965 0.23815950000000002 0.0
41 5 10 -3.1103 0.1363435999999999 2.7755575615628914e-16
42 6 10 2.3023 0.6834319999999999 0.0
43 7 10 2.2346 -2.5630529999999996 -6.661338147750939e-16
44 8 10 -0.69111 0.4108230999999999 1.1102230246251565e-16
45 9 10 0.79767 -0.7784004999999996 -6.661338147750939e-16
46 1 11 -2.0076 2.617723899999999 6.661338147750939e-16
47 2 11 1.3755 -0.019872499999999904 2.220446049250313e-16
48 3 11 0.81597 4.5094036 6.661338147750939e-16
49 4 11 1.1768 0.23815950000000002 0.0
50 5 11 0.18509 0.1363435999999999 2.7755575615628914e-16
51 6 11 -0.084641 0.6834319999999999 0.0
52 7 11 -2.8885 -2.5630529999999996 -6.661338147750939e-16
53 8 11 1.3696 0.4108230999999999 1.1102230246251565e-16
54 9 11 1.0403 -0.7784004999999996 -6.661338147750939e-16
55 10 11 -2.5668 0.06083750000000003 -1.1102230246251565e-16
56 1 12 -0.4188 2.617723899999999 6.661338147750939e-16
57 2 12 2.4475 -0.019872499999999904 2.220446049250313e-16
58 3 12 0.71902 4.5094036 6.661338147750939e-16
59 4 12 -2.2216 0.23815950000000002 0.0
60 5 12 -1.033 0.1363435999999999 2.7755575615628914e-16
61 6 12 0.043221 0.6834319999999999 0.0
62 7 12 4.2418 -2.5630529999999996 -6.661338147750939e-16
63 8 12 4.1005 0.4108230999999999 1.1102230246251565e-16
64 9 12 -1.1031 -0.7784004999999996 -6.661338147750939e-16
65 10 12 -2.7145 0.06083750000000003 -1.1102230246251565e-16
66 11 12 3.3417 2.7157354999999996 4.440892098500626e-16
67 1 13 -2.3891 2.617723899999999 6.661338147750939e-16
68 2 13 -2.9333 -0.019872499999999904 2.220446049250313e-16
69 3 13 -2.0131 4.5094036 6.661338147750939e-16
70 4 13 1.1275 0.23815950000000002 0.0
71 5 13 -2.8974 0.1363435999999999 2.7755575615628914e-16
72 6 13 0.74432 0.6834319999999999 0.0
73 7 13 0.58645 -2.5630529999999996 -6.661338147750939e-16
74 8 13 -3.5758 0.4108230999999999 1.1102230246251565e-16
75 9 13 -1.7603 -0.7784004999999996 -6.661338147750939e-16
76 10 13 -1.3521 0.06083750000000003 -1.1102230246251565e-16
77 11 13 -1.8769 2.7157354999999996 4.440892098500626e-16
78 12 13 -2.6119 -1.4923883999999998 -1.1102230246251565e-16
79 1 14 0.94836 2.617723899999999 6.661338147750939e-16
80 2 14 -3.1729 -0.019872499999999904 2.220446049250313e-16
81 3 14 -2.2522 4.5094036 6.661338147750939e-16
82 4 14 -0.146 0.23815950000000002 0.0
83 5 14 -2.3826 0.1363435999999999 2.7755575615628914e-16
84 6 14 -0.47794 0.6834319999999999 0.0
85 7 14 -1.7893 -2.5630529999999996 -6.661338147750939e-16
86 8 14 -1.472 0.4108230999999999 1.1102230246251565e-16
87 9 14 1.3432 -0.7784004999999996 -6.661338147750939e-16
88 10 14 -0.64256 0.06083750000000003 -1.1102230246251565e-16
89 11 14 3.7368 2.7157354999999996 4.440892098500626e-16
90 12 14 3.4896 -1.4923883999999998 -1.1102230246251565e-16
91 13 14 1.0711 1.0334079999999997 3.608224830031759e-16
92 1 15 -1.1981 2.617723899999999 6.661338147750939e-16
93 2 15 3.858 -0.019872499999999904 2.220446049250313e-16
94 3 15 1.6686 4.5094036 6.661338147750939e-16
95 4 15 3.3627 0.23815950000000002 0.0
96 5 15 -0.53193 0.1363435999999999 2.7755575615628914e-16
97 6 15 -3.6281 0.6834319999999999 0.0
98 7 15 1.1148 -2.5630529999999996 -6.661338147750939e-16
99 8 15 6.1331 0.4108230999999999 1.1102230246251565e-16
100 9 15 -1.8541 -0.7784004999999996 -6.661338147750939e-16
101 10 15 -2.0999 0.06083750000000003 -1.1102230246251565e-16
102 11 15 1.4918 2.7157354999999996 4.440892098500626e-16
103 12 15 -2.7169 -1.4923883999999998 -1.1102230246251565e-16
