l i j f[l] s[l] h[l]
1 1 2 -2.0927 -0.0884054999999997 8.881784197001252e-16
2 1 3 -0.19646 -0.0884054999999997 8.881784197001252e-16
3 2 3 3.4027 -0.27434949999999997 1.3877787807814457e-16
4 1 4 -0.2656 -0.0884054999999997 8.881784197001252e-16
5 2 4 1.018 -0.27434949999999997 1.3877787807814457e-16
6 3 4 1.4028 1.3205159999999996 -4.440892098500626e-16
7 1 5 0.1662 -0.0884054999999997 8.881784197001252e-16
8 2 5 -1.1826 -0.27434949999999997 1.3877787807814457e-16
9 3 5 0.10758 1.3205159999999996 -4.440892098500626e-16
10 4 5 -4.9953 -0.8990065 -5.551115123125783e-16
11 1 6 -0.81822 -0.0884054999999997 8.881784197001252e-16
12 2 6 2.7992 -0.27434949999999997 1.3877787807814457e-16
13 3 6 -0.4097 1.3205159999999996 -4.440892098500626e-16
14 4 6 -0.83384 -0.8990065 -5.551115123125783e-16
15 5 6 2.6941 -1.619701 -1.7763568394002505e-15
16 1 7 1.0085 -0.0884054999999997 8.881784197001252e-16
17 2 7 5.248 -0.27434949999999997 1.3877787807814457e-16
18 3 7 0.20802 1.3205159999999996 -4.440892098500626e-16
19 4 7 -1.3898 -0.8990065 -5.551115123125783e-16
20 5 7 0.35002 -1.619701 -1.7763568394002505e-15
21 6 7 0.43875 0.8472829999999999 -5.551115123125783e-16
22 1 8 1.6984 -0.0884054999999997 8.881784197001252e-16
23 2 8 2.3736 -0.27434949999999997 1.3877787807814457e-16
24 3 8 1.256 1.3205159999999996 -4.440892098500626e-16
25 4 8 4.1274 -0.8990065 -5.551115123125783e-16
26 5 8 2.1265 -1.619701 -1.7763568394002505e-15
27 6 8 2.9373 0.8472829999999999 -5.551115123125783e-16
28 7 8 2.172 2.356201 8.881784197001252e-16
29 1 9 -5.4634 -0.0884054999999997 8.881784197001252e-16
30 2 9 -2.0495 -0.27434949999999997 1.3877787807814457e-16
31 3 9 -3.6245 1.3205159999999996 -4.440892098500626e-16
32 4 9 -4.6383 -0.8990065 -5.551115123125783e-16
33 5 9 1.2279 -1.619701 -1.7763568394002505e-15
34 6 9 -1.6023 0.8472829999999999 -5.551115123125783e-16
35 7 9 -0.17159 2.356201 8.881784197001252e-16
36 8 9 -3.321 -0.9968935000000001 0.0
37 1 10 -2.6137 -0.0884054999999997 8.881784197001252e-16
38 2 10 0.97409 -0.27434949999999997 1.3877787807814457e-16
39 3 10 0.68498 1.3205159999999996 -4.440892098500626e-16
40 4 10 -2.8314 -0.8990065 -5.551115123125783e-16
41 5 10 1.0433 -1.619701 -1.7763568394002505e-15
42 6 10 -2.5278 0.8472829999999999 -5.551115123125783e-16
43 7 10 -2.4661 2.356201 8.881784197001252e-16
44 8 10 -3.2929 -0.9968935000000001 0.0
45 9 10 0.46558 2.3754705 8.881784197001252e-16
46 1 11 0.4979 -0.0884054999999997 8.881784197001252e-16
