t i j k u[t]=u_ijk
1 1 2 3 0.07532300000000001
2 1 2 4 -0.040454999999999984
3 1 2 5 -0.17207499999999995
4 1 2 6 0.076236
5 1 2 7 0.10734000000000003
6 1 2 8 -0.07087499999999998
7 1 2 9 0.06606000000000001
8 1 2 10 0.07475450000000002
9 1 2 11 -0.10451449999999997
10 1 2 12 0.0898285
11 1 2 13 0.0807535
12 1 2 14 -0.02892999999999999
13 1 2 15 0.013865000000000016
14 1 2 16 -0.298726
15 1 2 17 0.13170949999999998
16 1 2 18 0.111975
17 1 2 19 -0.11062999999999995
18 1 2 20 -0.09004499999999999
19 1 3 4 0.07359700000000001
20 1 3 5 -0.012753999999999998
21 1 3 6 0.010603
22 1 3 7 -0.049846999999999995
23 1 3 8 -0.031943
24 1 3 9 0.082122
25 1 3 10 0.155111
26 1 3 11 -0.051561499999999996
27 1 3 12 0.039002
28 1 3 13 0.040927000000000005
29 1 3 14 0.1021055
30 1 3 15 0.005334000000000002
31 1 3 16 -0.1908755
32 1 3 17 0.030921999999999984
33 1 3 18 0.061406999999999996
34 1 3 19 -0.15228799999999998
35 1 3 20 -0.310888
36 1 4 5 -0.271355
37 1 4 6 -0.014061000000000008
38 1 4 7 -0.133195
39 1 4 8 0.10816999999999997
40 1 4 9 0.027974999999999993
41 1 4 10 -0.02416499999999999
42 1 4 11 -0.14089
43 1 4 12 0.24652500000000002
44 1 4 13 0.125987
45 1 4 14 0.05892999999999999
46 1 4 15 -0.06762499999999999
47 1 4 16 -0.07564
48 1 4 17 0.00391999999999999
49 1 4 18 -0.075575
50 1 4 19 -0.24746549999999998
51 1 4 20 -0.38739999999999997
52 1 5 6 0.18392600000000003
53 1 5 7 -0.024613999999999997
54 1 5 8 0.029715000000000002
55 1 5 9 0.342875
56 1 5 10 0.19116
57 1 5 11 0.18314999999999998
58 1 5 12 0.2200265
59 1 5 13 0.32249
60 1 5 14 0.162707
61 1 5 15 0.09707999999999999
62 1 5 16 0.007869999999999999
63 1 5 17 0.34052
64 1 5 18 0.23443499999999998
65 1 5 19 -0.22349349999999998
66 1 5 20 -0.16783
67 1 6 7 -0.06939849999999999
68 1 6 8 0.021034000000000018
69 1 6 9 0.15214399999999997
70 1 6 10 -0.03661599999999999
71 1 6 11 0.06164900000000001
72 1 6 12 0.132833
73 1 6 13 0.09757300000000002
74 1 6 14 0.19256399999999999
75 1 6 15 0.07320900000000001
76 1 6 16 -0.1507395
77 1 6 17 0.138449
78 1 6 18 0.067664
79 1 6 19 -0.19884349999999998
80 1 6 20 -0.20862099999999997
81 1 7 8 0.07410500000000002
82 1 7 9 0.3150155
83 1 7 10 0.057805000000000016
84 1 7 11 0.033939
85 1 7 12 0.474095
86 1 7 13 0.1721605
87 1 7 14 0.18583849999999996
88 1 7 15 0.043776999999999996
89 1 7 16 -0.20863500000000001
90 1 7 17 0.23272449999999995
91 1 7 18 0.099275
92 1 7 19 -0.21707
93 1 7 20 -0.35713
94 1 8 9 0.19204
95 1 8 10 0.05096
96 1 8 11 0.082033
97 1 8 12 0.1291
98 1 8 13 0.023435000000000008
99 1 8 14 0.14492500000000003
100 1 8 15 0.031145
101 1 8 16 -0.09941649999999999
102 1 8 17 0.21664000000000003
103 1 8 18 0.033729999999999996
104 1 8 19 -0.09557799999999998
105 1 8 20 -0.16186
106 1 9 10 -0.11920599999999998
107 1 9 11 -0.228895
108 1 9 12 0.04910999999999999
109 1 9 13 -0.159789
110 1 9 14 -0.092334
111 1 9 15 -0.14398000000000002
112 1 9 16 -0.32602000000000003
113 1 9 17 -0.03259450000000001
114 1 9 18 0.12995499999999996
115 1 9 19 -0.44913999999999993
116 1 9 20 -0.32484
117 1 10 11 -0.15552311000000002
118 1 10 12 0.11815499999999998
119 1 10 13 0.12798
120 1 10 14 0.09482999999999998
121 1 10 15 -0.11593949999999999
122 1 10 16 -0.15662500000000001
123 1 10 17 0.08356514999999998
124 1 10 18 0.1555
125 1 10 19 -0.28026
126 1 10 20 -0.15287
127 1 11 12 0.096885
128 1 11 13 0.12495750000000001
129 1 11 14 0.168585
130 1 11 15 0.0657965
131 1 11 16 -0.21687499999999998
132 1 11 17 0.165615
133 1 11 18 -0.011380000000000012
134 1 11 19 -0.32427999999999996
135 1 11 20 -0.198455
136 1 12 13 -0.04836
137 1 12 14 -0.14695499999999997
138 1 12 15 -0.10431499999999998
139 1 12 16 -0.24363999999999997
140 1 12 17 -0.148085
141 1 12 18 0.17642499999999997
142 1 12 19 -0.36584150000000004
143 1 12 20 -0.3159915
144 1 13 14 -0.20351499999999995
145 1 13 15 -0.07085
146 1 13 16 -0.12609499999999996
147 1 13 17 0.04893599999999998
148 1 13 18 -0.149865
149 1 13 19 -0.5939899999999999
150 1 13 20 -0.39382
151 1 14 15 -0.092511
152 1 14 16 -0.254853
153 1 14 17 -0.012475000000000014
154 1 14 18 0.007942999999999995
155 1 14 19 -0.46944499999999995
156 1 14 20 -0.2680455
157 1 15 16 -0.11491
158 1 15 17 0.06256999999999999
159 1 15 18 0.06832999999999999
160 1 15 19 -0.508365
161 1 15 20 -0.31557
162 1 16 17 0.14956999999999998
163 1 16 18 0.38174
164 1 16 19 -0.12162499999999998
165 1 16 20 0.11276
166 1 17 18 -0.16824
167 1 17 19 -0.434573
168 1 17 20 -0.466925
169 1 18 19 -0.22948499999999997
170 1 18 20 -0.344275
171 1 19 20 0.05268799999999998
172 2 3 4 0.189375
173 2 3 5 0.234644
174 2 3 6 0.009689999999999995
175 2 3 7 -0.081864
176 2 3 8 0.11425499999999998
177 2 3 9 0.09138499999999998
178 2 3 10 0.1556795
179 2 3 11 0.12827599999999997
180 2 3 12 0.02449650000000001
181 2 3 13 0.03549649999999999
182 2 3 14 0.20635849999999997
183 2 3 15 0.06679199999999999
184 2 3 16 0.1831735
185 2 3 17 -0.025464499999999998
186 2 3 18 0.024754999999999996
187 2 3 19 0.03366499999999999
188 2 3 20 -0.14552
189 2 4 5 -0.139735
190 2 4 6 -0.130752
191 2 4 7 -0.28099
192 2 4 8 0.13859
193 2 4 9 -0.07854
194 2 4 10 -0.13937449999999998
195 2 4 11 -0.07683050000000001
196 2 4 12 0.1162415
197 2 4 13 0.004778500000000002
198 2 4 14 0.04740499999999998
199 2 4 15 -0.12194500000000003
200 2 4 16 0.182631
201 2 4 17 -0.1682445
202 2 4 18 -0.228005
203 2 4 19 -0.17729050000000002
204 2 4 20 -0.33781
205 2 5 6 -0.06438499999999998
206 2 5 7 -0.304029
207 2 5 8 -0.07148500000000002
208 2 5 9 0.10474
209 2 5 10 -0.05566950000000001
210 2 5 11 0.11558949999999998
211 2 5 12 -0.04187700000000001
212 2 5 13 0.06966149999999999
213 2 5 14 0.019561999999999993
214 2 5 15 -0.08886000000000002
215 2 5 16 0.134521
216 2 5 17 0.03673549999999998
217 2 5 18 -0.04961499999999999
218 2 5 19 -0.2849385
219 2 5 20 -0.24985999999999994
220 2 6 7 -0.10050250000000004
221 2 6 8 0.168145
222 2 6 9 0.16232
223 2 6 10 -0.0351345
224 2 6 11 0.2423995
225 2 6 12 0.1192405
226 2 6 13 0.0930555
227 2 6 14 0.29773
228 2 6 15 0.13557999999999998
229 2 6 16 0.2242225
230 2 6 17 0.0829755
231 2 6 18 0.031924999999999995
232 2 6 19 -0.011977500000000014
233 2 6 20 -0.04233999999999999
234 2 7 8 0.25232
