l i j f[l] s[l] h[l]
1 1 2 -1.7561 0.6958099999999997 -4.440892098500626e-16
2 1 3 -2.9734 0.6958099999999997 -4.440892098500626e-16
3 2 3 3.2488 -0.37168384999999976 -8.881784197001252e-16
4 1 4 -2.5407 0.6958099999999997 -4.440892098500626e-16
5 2 4 -0.53843 -0.37168384999999976 -8.881784197001252e-16
6 3 4 1.9779 3.3986061500000004 -4.440892098500626e-16
7 1 5 -4.1054 0.6958099999999997 -4.440892098500626e-16
8 2 5 0.52532 -0.37168384999999976 -8.881784197001252e-16
9 3 5 -0.92297 3.3986061500000004 -4.440892098500626e-16
10 4 5 -1.2319 -0.11446250000000027 -4.440892098500626e-16
11 1 6 -2.2796 0.6958099999999997 -4.440892098500626e-16
12 2 6 -1.4046 -0.37168384999999976 -8.881784197001252e-16
13 3 6 -0.099267 3.3986061500000004 -4.440892098500626e-16
14 4 6 -3.0911 -0.11446250000000027 -4.440892098500626e-16
15 5 6 1.958 -0.5641025 1.1102230246251565e-16
16 1 7 -2.6879 0.6958099999999997 -4.440892098500626e-16
17 2 7 -1.4004 -0.37168384999999976 -8.881784197001252e-16
18 3 7 -0.67384 3.3986061500000004 -4.440892098500626e-16
19 4 7 -0.3497 -0.11446250000000027 -4.440892098500626e-16
20 5 7 -0.48976 -0.5641025 1.1102230246251565e-16
21 6 7 0.91654 1.8024213499999997 5.551115123125783e-16
22 1 8 -3.0993 0.6958099999999997 -4.440892098500626e-16
23 2 8 -1.8771 -0.37168384999999976 -8.881784197001252e-16
24 3 8 1.3977 3.3986061500000004 -4.440892098500626e-16
25 4 8 0.81332 -0.11446250000000027 -4.440892098500626e-16
26 5 8 -0.85675 -0.5641025 1.1102230246251565e-16
27 6 8 3.0998 1.8024213499999997 5.551115123125783e-16
28 7 8 2.096 -1.1279438500000003 -8.881784197001252e-16
29 1 9 -3.7949 0.6958099999999997 -4.440892098500626e-16
30 2 9 -2.8275 -0.37168384999999976 -8.881784197001252e-16
31 3 9 -1.5859 3.3986061500000004 -4.440892098500626e-16
32 4 9 -4.4813 -0.11446250000000027 -4.440892098500626e-16
33 5 9 -2.0103 -0.5641025 1.1102230246251565e-16
34 6 9 -0.6902 1.8024213499999997 5.551115123125783e-16
35 7 9 -0.89002 -1.1279438500000003 -8.881784197001252e-16
36 8 9 -4.1927 1.05086615 -2.220446049250313e-16
37 1 10 -5.1338 0.6958099999999997 -4.440892098500626e-16
38 2 10 -1.5977 -0.37168384999999976 -8.881784197001252e-16
39 3 10 -4.2712 3.3986061500000004 -4.440892098500626e-16
40 4 10 -4.6569 -0.11446250000000027 -4.440892098500626e-16
41 5 10 -2.5287 -0.5641025 1.1102230246251565e-16
42 6 10 -1.3446 1.8024213499999997 5.551115123125783e-16
43 7 10 -0.38038 -1.1279438500000003 -8.881784197001252e-16
44 8 10 -2.56 1.05086615 -2.220446049250313e-16
45 9 10 2.1936 -0.5472299999999999 -1.6653345369377348e-16
46 1 11 -2.2997 0.6958099999999997 -4.440892098500626e-16
47 2 11 0.9938 -0.37168384999999976 -8.881784197001252e-16
48 3 11 -1.2017 3.3986061500000004 -4.440892098500626e-16
49 4 11 1.5998 -0.11446250000000027 -4.440892098500626e-16
50 5 11 2.1369 -0.5641025 1.1102230246251565e-16
51 6 11 2.2255 1.8024213499999997 5.551115123125783e-16
52 7 11 -2.294 -1.1279438500000003 -8.881784197001252e-16
53 8 11 -0.81454 1.05086615 -2.220446049250313e-16
54 9 11 1.9337 -0.5472299999999999 -1.6653345369377348e-16
55 10 11 0.15999 -0.6806813500000001 -3.3306690738754696e-16
56 1 12 -4.9966 0.6958099999999997 -4.440892098500626e-16
57 2 12 1.3347 -0.37168384999999976 -8.881784197001252e-16
58 3 12 -1.0596 3.3986061500000004 -4.440892098500626e-16
59 4 12 -0.49263 -0.11446250000000027 -4.440892098500626e-16
60 5 12 -0.68246 -0.5641025 1.1102230246251565e-16
61 6 12 0.6282 1.8024213499999997 5.551115123125783e-16
62 7 12 4.2124 -1.1279438500000003 -8.881784197001252e-16
63 8 12 0.23615 1.05086615 -2.220446049250313e-16
64 9 12 1.5729 -0.5472299999999999 -1.6653345369377348e-16
65 10 12 -2.2112 -0.6806813500000001 -3.3306690738754696e-16
66 11 12 0.75911 1.23123485 -1.3322676295501878e-15
67 1 13 -4.6902 0.6958099999999997 -4.440892098500626e-16
68 2 13 -3.7747 -0.37168384999999976 -8.881784197001252e-16
69 3 13 -1.5691 3.3986061500000004 -4.440892098500626e-16
70 4 13 -2.0469 -0.11446250000000027 -4.440892098500626e-16
71 5 13 -0.70925 -0.5641025 1.1102230246251565e-16
72 6 13 -1.46 1.8024213499999997 5.551115123125783e-16
73 7 13 -0.47703 -1.1279438500000003 -8.881784197001252e-16
74 8 13 -3.1882 1.05086615 -2.220446049250313e-16
75 9 13 -2.0704 -0.5472299999999999 -1.6653345369377348e-16
76 10 13 0.99761 -0.6806813500000001 -3.3306690738754696e-16
77 11 13 -3.395 1.23123485 -1.3322676295501878e-15
78 12 13 -0.48881 -0.34567515000000026 -4.440892098500626e-16
79 1 14 -3.0887 0.6958099999999997 -4.440892098500626e-16
80 2 14 -2.2891 -0.37168384999999976 -8.881784197001252e-16
81 3 14 -2.5194 3.3986061500000004 -4.440892098500626e-16
82 4 14 -2.2779 -0.11446250000000027 -4.440892098500626e-16
83 5 14 -4.1775 -0.5641025 1.1102230246251565e-16
84 6 14 -2.2465 1.8024213499999997 5.551115123125783e-16
85 7 14 -2.6193 -1.1279438500000003 -8.881784197001252e-16
86 8 14 -2.9373 1.05086615 -2.220446049250313e-16
87 9 14 2.3269 -0.5472299999999999 -1.6653345369377348e-16
88 10 14 -0.79353 -0.6806813500000001 -3.3306690738754696e-16
89 11 14 -1.0582 1.23123485 -1.3322676295501878e-15
90 12 14 2.4737 -0.34567515000000026 -4.440892098500626e-16
91 13 14 -2.7949 0.8098516999999998 -1.1102230246251565e-16
