l i j f[l] s[l] h[l]
1 1 2 -2.9466 -2.0257648000000006 5.551115123125783e-16
2 1 3 -0.32036 -2.0257648000000006 5.551115123125783e-16
3 2 3 5.5648 0.7822105 0.0
4 1 4 -1.1686 -2.0257648000000006 5.551115123125783e-16
5 2 4 -1.2681 0.7822105 0.0
6 3 4 0.92235 5.7465353000000015 -1.4432899320127035e-15
7 1 5 -1.569 -2.0257648000000006 5.551115123125783e-16
8 2 5 0.28312 0.7822105 0.0
9 3 5 -1.7726 5.7465353000000015 -1.4432899320127035e-15
10 4 5 -1.3357 -0.5433925000000002 1.1102230246251565e-16
11 1 6 -0.11299 -2.0257648000000006 5.551115123125783e-16
12 2 6 -2.8717 0.7822105 0.0
13 3 6 -0.70373 5.7465353000000015 -1.4432899320127035e-15
14 4 6 -0.44328 -0.5433925000000002 1.1102230246251565e-16
15 5 6 2.9245 -1.5637277000000007 6.661338147750939e-16
16 1 7 -2.8666 -2.0257648000000006 5.551115123125783e-16
17 2 7 -2.6462 0.7822105 0.0
18 3 7 1.7014 5.7465353000000015 -1.4432899320127035e-15
19 4 7 1.0845 -0.5433925000000002 1.1102230246251565e-16
20 5 7 -0.064722 -1.5637277000000007 6.661338147750939e-16
21 6 7 1.9599 0.4449870000000001 -1.6653345369377348e-16
22 1 8 0.77207 -2.0257648000000006 5.551115123125783e-16
23 2 8 -0.39003 0.7822105 0.0
24 3 8 -0.88495 5.7465353000000015 -1.4432899320127035e-15
25 4 8 -0.71815 -0.5433925000000002 1.1102230246251565e-16
26 5 8 1.1539 -1.5637277000000007 6.661338147750939e-16
27 6 8 -1.4503 0.4449870000000001 -1.6653345369377348e-16
28 7 8 -0.12437 -0.1725596499999999 2.220446049250313e-16
29 1 9 -0.96718 -2.0257648000000006 5.551115123125783e-16
30 2 9 -0.99075 0.7822105 0.0
31 3 9 1.4942 5.7465353000000015 -1.4432899320127035e-15
32 4 9 -0.37094 -0.5433925000000002 1.1102230246251565e-16
33 5 9 -1.4582 -1.5637277000000007 6.661338147750939e-16
34 6 9 -1.3435 0.4449870000000001 -1.6653345369377348e-16
35 7 9 -1.3735 -0.1725596499999999 2.220446049250313e-16
36 8 9 -3.1371 0.75872515 1.6653345369377348e-16
37 1 10 0.64354 -2.0257648000000006 5.551115123125783e-16
38 2 10 -0.29098 0.7822105 0.0
39 3 10 -0.67585 5.7465353000000015 -1.4432899320127035e-15
40 4 10 0.15812 -0.5433925000000002 1.1102230246251565e-16
41 5 10 -1.885 -1.5637277000000007 6.661338147750939e-16
42 6 10 1.1324 0.4449870000000001 -1.6653345369377348e-16
43 7 10 -0.63873 -0.1725596499999999 2.220446049250313e-16
44 8 10 -0.98633 0.75872515 1.6653345369377348e-16
45 9 10 1.0376 -1.4787301500000003 4.440892098500626e-16
46 1 11 -1.2621 -2.0257648000000006 5.551115123125783e-16
47 2 11 0.3689 0.7822105 0.0
48 3 11 1.3531 5.7465353000000015 -1.4432899320127035e-15
49 4 11 -1.1075 -0.5433925000000002 1.1102230246251565e-16
50 5 11 0.24874 -1.5637277000000007 6.661338147750939e-16
51 6 11 -0.049409 0.4449870000000001 -1.6653345369377348e-16
52 7 11 -1.3188 -0.1725596499999999 2.220446049250313e-16
53 8 11 0.57019 0.75872515 1.6653345369377348e-16
54 9 11 -2.9024 -1.4787301500000003 4.440892098500626e-16
55 10 11 -2.5371 -0.5644671500000003 3.3306690738754696e-16
56 1 12 -3.5901 -2.0257648000000006 5.551115123125783e-16
57 2 12 -0.048596 0.7822105 0.0
58 3 12 -0.19177 5.7465353000000015 -1.4432899320127035e-15
59 4 12 -1.5515 -0.5433925000000002 1.1102230246251565e-16
60 5 12 -0.041231 -1.5637277000000007 6.661338147750939e-16
61 6 12 -0.33422 0.4449870000000001 -1.6653345369377348e-16
62 7 12 1.6654 -0.1725596499999999 2.220446049250313e-16
63 8 12 -2.8641 0.75872515 1.6653345369377348e-16
64 9 12 1.6472 -1.4787301500000003 4.440892098500626e-16
65 10 12 -2.7754 -0.5644671500000003 3.3306690738754696e-16
66 11 12 0.16505 1.3858551500000003 0.0
67 1 13 -2.1979 -2.0257648000000006 5.551115123125783e-16
68 2 13 -4.3583 0.7822105 0.0
69 3 13 -2.9105 5.7465353000000015 -1.4432899320127035e-15
70 4 13 -3.7688 -0.5433925000000002 1.1102230246251565e-16
71 5 13 -0.33129 -1.5637277000000007 6.661338147750939e-16
72 6 13 -0.35128 0.4449870000000001 -1.6653345369377348e-16
73 7 13 -3.9221 -0.1725596499999999 2.220446049250313e-16
74 8 13 -1.9357 0.75872515 1.6653345369377348e-16
75 9 13 -1.3712 -1.4787301500000003 4.440892098500626e-16
76 10 13 -1.8385 -0.5644671500000003 3.3306690738754696e-16
77 11 13 -0.29627 1.3858551500000003 0.0
78 12 13 -0.35252 -2.293690050000001 6.661338147750939e-16
79 1 14 -0.32425 -2.0257648000000006 5.551115123125783e-16
80 2 14 0.12697 0.7822105 0.0
81 3 14 -0.59142 5.7465353000000015 -1.4432899320127035e-15
82 4 14 -2.1246 -0.5433925000000002 1.1102230246251565e-16
83 5 14 -2.231 -1.5637277000000007 6.661338147750939e-16
84 6 14 -1.0553 0.4449870000000001 -1.6653345369377348e-16
85 7 14 0.15729 -0.1725596499999999 2.220446049250313e-16
86 8 14 -1.2903 0.75872515 1.6653345369377348e-16
87 9 14 1.5556 -1.4787301500000003 4.440892098500626e-16
88 10 14 -2.8533 -0.5644671500000003 3.3306690738754696e-16
89 11 14 -0.56292 1.3858551500000003 0.0
90 12 14 0.15428 -2.293690050000001 6.661338147750939e-16
91 13 14 -1.4133 -0.30745535 0.0
92 1 15 0.65657 -2.0257648000000006 5.551115123125783e-16
93 2 15 1.0016 0.7822105 0.0
94 3 15 -0.50353 5.7465353000000015 -1.4432899320127035e-15
95 4 15 0.59516 -0.5433925000000002 1.1102230246251565e-16
96 5 15 0.1968 -1.5637277000000007 6.661338147750939e-16
97 6 15 0.39234 0.4449870000000001 -1.6653345369377348e-16
98 7 15 0.21572 -0.1725596499999999 2.220446049250313e-16
99 8 15 2.808 0.75872515 1.6653345369377348e-16
100 9 15 -0.30428 -1.4787301500000003 4.440892098500626e-16
101 10 15 -0.9245 -0.5644671500000003 3.3306690738754696e-16
102 11 15 -1.7615 1.3858551500000003 0.0
103 12 15 0.72106 -2.293690050000001 6.661338147750939e-16
104 13 15 1.3099 -0.30745535 0.0
105 14 15 2.2081 0.43035765000000004 0.0
106 1 16 -4.9457 -2.0257648000000006 5.551115123125783e-16
107 2 16 -0.92833 0.7822105 0.0
108 3 16 0.56216 5.7465353000000015 -1.4432899320127035e-15
109 4 16 -2.2391 -0.5433925000000002 1.1102230246251565e-16
110 5 16 1.333 -1.5637277000000007 6.661338147750939e-16
111 6 16 0.019182 0.4449870000000001 -1.6653345369377348e-16
112 7 16 -0.52993 -0.1725596499999999 2.220446049250313e-16
113 8 16 -3.0818 0.75872515 1.6653345369377348e-16
114 9 16 1.3754 -1.4787301500000003 4.440892098500626e-16
115 10 16 -3.7681 -0.5644671500000003 3.3306690738754696e-16
116 11 16 -0.59156 1.3858551500000003 0.0
117 12 16 -0.43108 -2.293690050000001 6.661338147750939e-16
118 13 16 -0.038479 -0.30745535 0.0
119 14 16 -0.15236 0.43035765000000004 0.0
120 15 16 -2.1148 3.0269048000000005 -5.134781488891349e-16
121 1 17 -1.1249 -2.0257648000000006 5.551115123125783e-16
122 2 17 -1.3791 0.7822105 0.0
123 3 17 -0.03622 5.7465353000000015 -1.4432899320127035e-15
124 4 17 -2.8278 -0.5433925000000002 1.1102230246251565e-16
125 5 17 -0.816 -1.5637277000000007 6.661338147750939e-16
126 6 17 -1.621 0.4449870000000001 -1.6653345369377348e-16
127 7 17 -1.2832 -0.1725596499999999 2.220446049250313e-16
128 8 17 1.1506 0.75872515 1.6653345369377348e-16
129 9 17 -0.068295 -1.4787301500000003 4.440892098500626e-16
130 10 17 -0.12079 -0.5644671500000003 3.3306690738754696e-16
131 11 17 1.6946 1.3858551500000003 0.0
132 12 17 0.67077 -2.293690050000001 6.661338147750939e-16
133 13 17 1.53 -0.30745535 0.0
134 14 17 -0.29207 0.43035765000000004 0.0
135 15 17 -0.59083 3.0269048000000005 -5.134781488891349e-16
136 16 17 1.7474 -1.9015574000000002 2.220446049250313e-16
137 1 18 -4.3481 -2.0257648000000006 5.551115123125783e-16
138 2 18 -2.6639 0.7822105 0.0
139 3 18 -0.33576 5.7465353000000015 -1.4432899320127035e-15
140 4 18 -2.2438 -0.5433925000000002 1.1102230246251565e-16
141 5 18 0.70973 -1.5637277000000007 6.661338147750939e-16
142 6 18 0.60289 0.4449870000000001 -1.6653345369377348e-16
143 7 18 0.85515 -0.1725596499999999 2.220446049250313e-16
144 8 18 -0.92323 0.75872515 1.6653345369377348e-16
145 9 18 -0.34128 -1.4787301500000003 4.440892098500626e-16
146 10 18 -3.4563 -0.5644671500000003 3.3306690738754696e-16
147 11 18 2.2659 1.3858551500000003 0.0
148 12 18 2.1793 -2.293690050000001 6.661338147750939e-16
149 13 18 0.018932 -0.30745535 0.0
150 14 18 -1.7417 0.43035765000000004 0.0
151 15 18 0.28093 3.0269048000000005 -5.134781488891349e-16
152 16 18 -0.40291 -1.9015574000000002 2.220446049250313e-16
