t i j k u[t]
1 1 2 3 0.146928
2 1 2 4 -0.15230500000000002
3 1 2 5 -0.054724000000000016
4 1 2 6 -0.28526550000000006
5 1 2 7 -0.13631000000000001
6 1 2 8 -0.20543500000000006
7 1 2 9 -0.14850850000000004
8 1 2 10 -0.19405600000000003
9 1 2 11 -0.06578000000000002
10 1 2 12 0.029745200000000006
11 1 2 13 -0.25535
12 1 2 14 -0.12476900000000002
13 1 2 15 -0.1300785
14 1 2 16 0.05353850000000003
15 1 2 17 -0.16004000000000004
16 1 2 18 -0.06312000000000002
17 1 2 19 -0.19988000000000006
18 1 2 20 -0.08035500000000002
19 1 3 4 0.08852950000000002
20 1 3 5 -0.026198000000000003
21 1 3 6 -0.04555500000000001
22 1 3 7 0.21238200000000004
23 1 3 8 -0.09886900000000003
24 1 3 9 0.10705100000000002
25 1 3 10 -0.0819875
26 1 3 11 0.11474200000000001
27 1 3 12 0.15389850000000002
28 1 3 13 -0.05164799999999999
29 1 3 14 -0.0293765
30 1 3 15 -0.074023
31 1 3 16 0.259375
32 1 3 17 0.038416000000000006
33 1 3 18 0.18459899999999999
34 1 3 19 0.08727750000000001
35 1 3 20 0.09052500000000001
36 1 4 5 -0.04676500000000002
37 1 4 6 -0.07494450000000002
38 1 4 7 0.139125
39 1 4 8 -0.132941
40 1 4 9 -0.028618000000000005
41 1 4 10 -0.08270100000000002
42 1 4 11 -0.05070000000000001
43 1 4 12 0.043500000000000004
44 1 4 13 -0.13697500000000004
45 1 4 14 -0.14844750000000004
46 1 4 15 -0.061500500000000013
47 1 4 16 0.07690000000000002
48 1 4 17 -0.14357500000000004
49 1 4 18 0.04678499999999999
50 1 4 19 -0.030150500000000014
51 1 4 20 0.02384
52 1 5 6 0.07342450000000002
53 1 5 7 0.061643900000000015
54 1 5 8 -0.05935850000000002
55 1 5 9 -0.10300100000000001
56 1 5 10 -0.204877
57 1 5 11 -0.0029079999999999987
58 1 5 12 0.09899345000000002
59 1 5 13 0.014880500000000015
60 1 5 14 -0.1737875
61 1 5 15 -0.1014385
62 1 5 16 0.23548500000000008
63 1 5 17 -0.063005
64 1 5 18 0.1744415
65 1 5 19 -0.09724000000000002
66 1 5 20 -0.15350000000000003
67 1 6 7 0.23567550000000004
68 1 6 8 -0.11676800000000002
69 1 6 9 -0.0244655
70 1 6 10 0.018793500000000005
71 1 6 11 0.05498505000000001
72 1 6 12 0.15714450000000002
73 1 6 13 0.08668150000000004
74 1 6 14 -0.042202
75 1 6 15 -0.018861000000000003
76 1 6 16 0.24259460000000005
77 1 6 17 -0.030454500000000002
78 1 6 18 0.24190000000000003
79 1 6 19 0.21751050000000002
80 1 6 20 0.030980500000000005
81 1 7 8 -0.18815200000000004
82 1 7 9 -0.16364600000000004
83 1 7 10 -0.20744350000000003
84 1 7 11 -0.14616500000000002
85 1 7 12 0.11944500000000002
86 1 7 13 -0.22954000000000002
87 1 7 14 -0.11925300000000001
88 1 7 15 -0.1653725
89 1 7 16 0.07745850000000003
90 1 7 17 -0.15124500000000002
91 1 7 18 0.1168325
92 1 7 19 -0.23982500000000004
93 1 7 20 -0.09213500000000001
94 1 8 9 -0.06989250000000001
95 1 8 10 -0.04289000000000001
96 1 8 11 0.130218
97 1 8 12 0.0749035
98 1 8 13 0.05171350000000001
99 1 8 14 -0.009699000000000003
100 1 8 15 0.14617500000000003
101 1 8 16 0.13179850000000007
102 1 8 17 0.15237850000000003
103 1 8 18 0.20984700000000003
104 1 8 19 0.081656
105 1 8 20 0.14212950000000005
106 1 9 10 -0.02865600000000001
107 1 9 11 -0.13037400000000005
108 1 9 12 0.21350600000000006
109 1 9 13 -0.007023999999999987
110 1 9 14 0.045633500000000014
111 1 9 15 -0.09640150000000001
112 1 9 16 0.2676960000000001
113 1 9 17 0.0044712499999999995
114 1 9 18 0.151982
115 1 9 19 0.046338500000000005
116 1 9 20 0.08528150000000002
117 1 10 11 -0.03157300000000001
118 1 10 12 0.07291200000000005
119 1 10 13 0.050147000000000025
120 1 10 14 -0.09427550000000001
121 1 10 15 -0.0468765
