l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -0.18939 -1.4019278499999996 1.2125378500000001 -4.440892098500626e-16
2 1 3 -3.8164 -2.444804499999999 -1.3715955 -8.881784197001252e-16
3 2 3 3.4102 -1.0428766499999997 4.45307665 0.0
4 1 4 0.12402 -0.26530949999999964 0.38932949999999994 -2.7755575615628914e-16
5 2 4 1.1128 1.13661835 -0.023818349999999933 0.0
6 3 4 3.037 2.1794949999999997 0.8575050000000002 0.0
7 1 5 -0.87273 -1.2678569999999996 0.395127 -4.440892098500626e-16
8 2 5 1.0059 0.13407085000000002 0.8718291500000002 -1.6653345369377348e-16
9 3 5 -2.492 1.1769474999999998 -3.6689474999999994 -4.440892098500626e-16
10 4 5 0.65547 -1.0025475 1.6580175000000001 -2.220446049250313e-16
11 1 6 2.4266 -0.5119659999999997 2.9385660000000002 -4.440892098500626e-16
12 2 6 0.72885 0.8899618499999999 -0.16111184999999992 0.0
13 3 6 5.269 1.9328384999999997 3.3361615000000002 2.220446049250313e-16
14 4 6 -2.6813 -0.24665650000000006 -2.4346435 2.220446049250313e-16
15 5 6 0.87273 0.7558909999999999 0.11683899999999996 2.220446049250313e-16
16 1 7 -1.0896 -2.1646455 1.0750455000000003 -4.440892098500626e-16
17 2 7 -2.5653 -0.7627176500000001 -1.80258235 0.0
18 3 7 2.7691 0.2801589999999996 2.4889409999999996 6.661338147750939e-16
19 4 7 -3.9497 -1.8993360000000001 -2.050364 2.220446049250313e-16
20 5 7 -0.57244 -0.8967885000000002 0.32434850000000004 2.220446049250313e-16
21 6 7 1.3337 -1.6526795 2.9863795000000004 -2.220446049250313e-16
22 1 8 -2.1998 -2.1885679999999996 -0.011232000000000242 -4.440892098500626e-16
23 2 8 -3.2446 -0.7866401499999999 -2.4579598500000004 1.1102230246251565e-16
24 3 8 -0.32773 0.25623649999999987 -0.5839664999999999 5.551115123125783e-17
25 4 8 1.0747 -1.9232584999999998 2.9979584999999997 0.0
26 5 8 -1.3899 -0.920711 -0.46918899999999986 -1.1102230246251565e-16
27 6 8 -2.7691 -1.676602 -1.092498 0.0
28 7 8 1.4354 -0.023922499999999736 1.4593224999999999 -1.1102230246251565e-16
29 1 9 1.0059 -1.4290264999999995 2.4349265 -4.440892098500626e-16
30 2 9 1.0747 -0.027098649999999926 1.1017986499999999 3.469446951953614e-17
31 3 9 -0.11601 1.0157779999999998 -1.131788 2.220446049250313e-16
32 4 9 -1.1868 -1.163717 -0.023083000000000006 -2.220446049250313e-16
33 5 9 0.15641 -0.16116949999999994 0.3175795 -8.326672684688674e-17
34 6 9 0.51713 -0.9170604999999998 1.4341905000000001 -3.3306690738754696e-16
35 7 9 2.492 0.7356190000000002 1.756381 -2.220446049250313e-16
