l i j f[l] s[l] h[l]
1 1 2 -3.4462 -0.8377070000000002 -4.440892098500626e-16
2 1 3 -2.3298 -0.8377070000000002 -4.440892098500626e-16
3 2 3 5.7018 -0.7996845000000001 -6.661338147750939e-16
4 1 4 -2.186 -0.8377070000000002 -4.440892098500626e-16
5 2 4 0.33422 -0.7996845000000001 -6.661338147750939e-16
6 3 4 1.2824 4.6234225 0.0
7 1 5 -2.9239 -0.8377070000000002 -4.440892098500626e-16
8 2 5 0.99645 -0.7996845000000001 -6.661338147750939e-16
9 3 5 -1.81 4.6234225 0.0
10 4 5 -3.5608 -0.7716194999999999 -6.661338147750939e-16
11 1 6 -0.48056 -0.8377070000000002 -4.440892098500626e-16
12 2 6 -1.125 -0.7996845000000001 -6.661338147750939e-16
13 3 6 -1.0412 4.6234225 0.0
14 4 6 -2.159 -0.7716194999999999 -6.661338147750939e-16
15 5 6 2.8144 -0.8598925 -2.220446049250313e-16
16 1 7 -1.1219 -0.8377070000000002 -4.440892098500626e-16
17 2 7 0.37677 -0.7996845000000001 -6.661338147750939e-16
18 3 7 1.5732 4.6234225 0.0
19 4 7 -0.31066 -0.7716194999999999 -6.661338147750939e-16
20 5 7 -0.8988 -0.8598925 -2.220446049250313e-16
21 6 7 3.2197 1.1666649999999998 2.220446049250313e-16
22 1 8 -1.3485 -0.8377070000000002 -4.440892098500626e-16
23 2 8 -0.73339 -0.7996845000000001 -6.661338147750939e-16
24 3 8 -1.2997 4.6234225 0.0
25 4 8 1.1048 -0.7716194999999999 -6.661338147750939e-16
26 5 8 0.81189 -0.8598925 -2.220446049250313e-16
27 6 8 1.7867 1.1666649999999998 2.220446049250313e-16
28 7 8 0.72423 -0.05429200000000009 -4.440892098500626e-16
29 1 9 -2.937 -0.8377070000000002 -4.440892098500626e-16
30 2 9 0.24271 -0.7996845000000001 -6.661338147750939e-16
31 3 9 -1.8718 4.6234225 0.0
32 4 9 -4.307 -0.7716194999999999 -6.661338147750939e-16
33 5 9 -1.2485 -0.8598925 -2.220446049250313e-16
34 6 9 -1.9271 1.1666649999999998 2.220446049250313e-16
35 7 9 0.58199 -0.05429200000000009 -4.440892098500626e-16
36 8 9 -3.5068 1.2575649999999998 5.551115123125783e-17
37 1 10 -3.9457 -0.8377070000000002 -4.440892098500626e-16
38 2 10 -0.22876 -0.7996845000000001 -6.661338147750939e-16
39 3 10 -2.3432 4.6234225 0.0
40 4 10 -1.4444 -0.7716194999999999 -6.661338147750939e-16
41 5 10 -1.1365 -0.8598925 -2.220446049250313e-16
