t i j k u[t]=u_ijk
1 1 2 3 0.3730105000000001
2 1 2 4 0.12753850000000003
3 1 2 5 0.19857955000000005
4 1 2 6 0.07054332750000002
5 1 2 7 0.003415499999999994
6 1 2 8 0.08897550000000001
7 1 2 9 0.1138694
8 1 2 10 0.21054050000000007
9 1 2 11 0.3091045000000001
10 1 2 12 0.2817405
11 1 2 13 0.07446050000000001
12 1 2 14 0.0031304999999999922
13 1 2 15 0.3026205
14 1 2 16 0.238872
15 1 2 17 0.08741050000000003
16 1 2 18 0.3499155
17 1 2 19 0.2031305
18 1 2 20 0.10301550000000004
19 1 3 4 0.07909000000000002
20 1 3 5 -0.07880000000000001
21 1 3 6 -0.100743
22 1 3 7 0.09150000000000003
23 1 3 8 -0.0539077
24 1 3 9 -0.1031985
25 1 3 10 -0.17115999999999998
26 1 3 11 0.05991600000000004
27 1 3 12 -0.04931900000000001
28 1 3 13 -0.09491
29 1 3 14 -0.12382000000000001
30 1 3 15 0.131785
31 1 3 16 -0.16171000000000002
32 1 3 17 -0.006430499999999995
33 1 3 18 0.22364
34 1 3 19 0.0821
35 1 3 20 0.19167500000000004
36 1 4 5 0.057322235000000006
37 1 4 6 -0.18899900000000006
38 1 4 7 -0.10662500000000004
39 1 4 8 0.008241999999999998
40 1 4 9 -0.146425
41 1 4 10 -0.035859999999999996
42 1 4 11 0.14910800000000002
43 1 4 12 -0.16343500000000002
44 1 4 13 0.01809000000000001
45 1 4 14 -0.03843800000000001
46 1 4 15 0.22707
47 1 4 16 -0.03668000000000003
48 1 4 17 -0.14142500000000002
49 1 4 18 0.17921499999999999
50 1 4 19 0.136985
51 1 4 20 0.12254000000000002
52 1 5 6 -0.193704
53 1 5 7 -0.053562000000000005
54 1 5 8 -0.09475200000000003
55 1 5 9 -0.13271000000000002
56 1 5 10 -0.17731
57 1 5 11 0.18981000000000003
58 1 5 12 -0.022211500000000006
59 1 5 13 -0.15777500000000003
60 1 5 14 -0.29077500000000006
61 1 5 15 0.0582515
62 1 5 16 0.05129850000000001
63 1 5 17 -0.02818500000000001
64 1 5 18 0.188815
65 1 5 19 0.09817500000000001
66 1 5 20 0.08807900000000003
67 1 6 7 0.08815000000000002
68 1 6 8 0.008614
69 1 6 9 0.07346200000000001
70 1 6 10 0.19421900000000003
71 1 6 11 0.13440900000000006
72 1 6 12 0.137139
73 1 6 13 0.005374000000000034
74 1 6 14 -0.03207600000000001
75 1 6 15 -0.08583100000000003
76 1 6 16 0.14739200000000002
77 1 6 17 0.05134900000000001
78 1 6 18 0.259969
79 1 6 19 0.331799
80 1 6 20 0.21007750000000008
81 1 7 8 0.07642
82 1 7 9 0.09651000000000001
83 1 7 10 0.11631000000000001
84 1 7 11 -0.021495
85 1 7 12 0.14486500000000002
86 1 7 13 0.11037650000000003
87 1 7 14 -0.084945
88 1 7 15 0.150655
89 1 7 16 0.030614999999999996
90 1 7 17 0.020495
91 1 7 18 0.3473135
92 1 7 19 -0.03110500000000003
93 1 7 20 0.06539000000000003
94 1 8 9 -0.05328750000000001
95 1 8 10 0.0031000000000000116
96 1 8 11 0.17924700000000007
97 1 8 12 0.0561065
98 1 8 13 -0.051294999999999986
99 1 8 14 -0.20817499999999997
100 1 8 15 0.09248100000000001
101 1 8 16 0.042030000000000005
