t i j k u[t]
1 1 2 3 0.007889000000000012
2 1 2 4 0.128069
3 1 2 5 0.11394699999999999
4 1 2 6 -0.01936549999999999
5 1 2 7 0.09437
6 1 2 8 0.14245399999999997
7 1 2 9 -0.1943195
8 1 2 10 -0.11825499999999999
9 1 2 11 -0.024314149999999993
10 1 2 12 0.024386200000000007
11 1 2 13 -0.17820260000000002
12 1 2 14 -0.32704049999999996
13 1 2 15 -0.04543499999999998
14 1 2 16 -0.028149999999999998
15 1 2 17 0.1048245
16 1 2 18 0.20679150000000002
17 1 2 19 -0.035404999999999985
18 1 2 20 -0.04014999999999999
19 1 3 4 0.23731599999999997
20 1 3 5 0.163706
21 1 3 6 0.13066450000000002
22 1 3 7 0.267396
23 1 3 8 0.11883599999999997
24 1 3 9 -0.083079
25 1 3 10 -0.025459000000000006
26 1 3 11 -0.030923999999999983
27 1 3 12 0.19590599999999997
28 1 3 13 -0.035266599999999995
29 1 3 14 0.048666
30 1 3 15 0.1497245
31 1 3 16 -0.024613999999999976
32 1 3 17 0.028256000000000014
33 1 3 18 0.35014449999999997
34 1 3 19 0.1367445
35 1 3 20 0.1757588
36 1 4 5 0.039675000000000016
37 1 4 6 -0.2548999999999999
38 1 4 7 -0.07487499999999998
39 1 4 8 -0.00986175
40 1 4 9 -0.377495
41 1 4 10 -0.13614949999999998
42 1 4 11 -0.21393999999999996
43 1 4 12 -0.14479499999999998
44 1 4 13 -0.23424509999999996
45 1 4 14 -0.2396655
46 1 4 15 0.071605
47 1 4 16 -0.17073999999999995
48 1 4 17 -0.06091149999999999
49 1 4 18 0.058185
50 1 4 19 -0.14457499999999998
51 1 4 20 -0.02157399999999999
52 1 5 6 -0.25254
53 1 5 7 -0.03324900000000001
54 1 5 8 -0.04218550000000001
55 1 5 9 -0.33652
56 1 5 10 -0.18025999999999998
57 1 5 11 -0.21827000000000002
58 1 5 12 -0.07312515
59 1 5 13 -0.2878776
60 1 5 14 -0.2711055
61 1 5 15 -0.0332055
62 1 5 16 -0.124825
63 1 5 17 -0.138935
64 1 5 18 0.21191
65 1 5 19 -0.13515999999999997
66 1 5 20 -0.074805
67 1 6 7 0.09596035
68 1 6 8 0.014759999999999995
69 1 6 9 -0.14946949999999998
70 1 6 10 0.112365
71 1 6 11 -0.13733
72 1 6 12 -0.04469000000000001
73 1 6 13 -0.13063260000000002
74 1 6 14 -0.23470549999999998
75 1 6 15 -0.14995999999999998
76 1 6 16 -0.014055000000000005
77 1 6 17 0.09264399999999999
78 1 6 18 0.248216
79 1 6 19 0.08436149999999999
80 1 6 20 0.026405499999999995
81 1 7 8 -0.04890500000000001
82 1 7 9 -0.185489
83 1 7 10 0.025130000000000006
84 1 7 11 -0.1083337
85 1 7 12 0.041200000000000014
86 1 7 13 -0.2791626
87 1 7 14 -0.110275
88 1 7 15 0.03226450000000001
89 1 7 16 -0.10911599999999999
90 1 7 17 -0.002294000000000003
91 1 7 18 0.161724
92 1 7 19 -0.14187999999999998
93 1 7 20 0.011441000000000005
94 1 8 9 -0.11734499999999999
95 1 8 10 -0.09047399999999998
96 1 8 11 -0.11223399999999997
97 1 8 12 0.04935
98 1 8 13 -0.06876259999999998
99 1 8 14 -0.3491405
100 1 8 15 -0.15936499999999995
101 1 8 16 0.19810000000000003
