l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -3.166 -0.6457790000000001 -2.5202210000000007 8.881784197001252e-16
2 1 3 -0.90263 -2.104517 1.201887 0.0
3 2 3 -0.50833 -1.4587379999999999 0.9504079999999999 0.0
4 1 4 -1.2248 -0.05105749999999998 -1.1737425000000001 0.0
5 2 4 2.1274 0.5947215000000001 1.5326785000000005 -4.440892098500626e-16
6 3 4 0.32216 2.0534595 -1.7312995 -4.440892098500626e-16
7 1 5 -1.3467 -0.7055740000000001 -0.6411260000000001 2.220446049250313e-16
8 2 5 2.722 -0.05979499999999999 2.781795 1.6653345369377348e-16
9 3 5 1.7331 1.398943 0.3341570000000001 0.0
10 4 5 -0.71646 -0.6545165000000002 -0.06194350000000018 3.3306690738754696e-16
11 1 6 2.0275 -0.7023595000000002 2.7298595 2.220446049250313e-16
12 2 6 -1.9413 -0.05658050000000009 -1.8847195000000005 6.106226635438361e-16
13 3 6 6.5183 1.4021575 5.1161425 4.440892098500626e-16
14 4 6 -4.3908 -0.6513020000000003 -3.739497999999999 -4.440892098500626e-16
15 5 6 1.9413 0.003214499999999898 1.9380855000000003 -2.220446049250313e-16
16 1 7 0.18617 -1.6843644999999998 1.8705344999999995 2.220446049250313e-16
17 2 7 -3.166 -1.0385854999999997 -2.1274145 -2.220446049250313e-16
18 3 7 2.2136 0.42015250000000026 1.7934475 -3.3306690738754696e-16
19 4 7 -4.2371 -1.6333069999999998 -2.603793 0.0
20 5 7 0.50833 -0.9787904999999997 1.4871205 -4.440892098500626e-16
21 6 7 -3.1163 -0.9820049999999996 -2.1342950000000003 0.0
22 1 8 -2.4496 -1.6829390000000002 -0.766661 0.0
23 2 8 -3.166 -1.03716 -2.1288400000000003 4.440892098500626e-16
24 3 8 -0.59455 0.4215779999999999 -1.0161280000000001 2.220446049250313e-16
25 4 8 -0.32216 -1.6318815000000002 1.3097214999999998 4.440892098500626e-16
26 5 8 -1.4329 -0.977365 -0.45553500000000013 1.1102230246251565e-16
27 6 8 -1.547 -0.9805794999999999 -0.5664204999999999 -1.1102230246251565e-16
28 7 8 2.220446049250313e-16 0.0014254999999996354 -0.0014254999999997464 3.3306690738754696e-16
29 1 9 -3.2025 -1.4828134000000002 -1.7196866000000004 4.440892098500626e-16
30 2 9 -1.2248 -0.8370344000000001 -0.38776560000000027 2.220446049250313e-16
31 3 9 -1.2248 0.6217036 -1.8465036000000001 0.0
32 4 9 1.3388 -1.4317559000000002 2.7705559 0.0
33 5 9 -0.3943 -0.7772394 0.3829394 0.0
34 6 9 -1.9413 -0.7804538999999999 -1.1608460999999999 -2.220446049250313e-16
35 7 9 1.1108 0.2015510999999997 0.9092489000000001 1.6653345369377348e-16
36 8 9 0.50833 0.20012560000000007 0.30820440000000004 -1.6653345369377348e-16
37 1 10 2.4496 0.05479149999999988 2.394808500000001 -4.440892098500626e-16
38 2 10 1.2248 0.7005705 0.5242295000000001 0.0
39 3 10 0.71646 2.1593085 -1.4428485000000002 4.440892098500626e-16
40 4 10 -0.11404 0.10584899999999986 -0.2198890000000001 2.498001805406602e-16
41 5 10 -0.71646 0.7603655 -1.4768255 -1.1102230246251565e-16
42 6 10 4.7851 0.7571510000000001 4.027949 2.220446049250313e-16
43 7 10 0.3943 1.7391559999999997 -1.3448560000000005 6.661338147750939e-16
44 8 10 3.3307e-16 1.7377305 -1.7377305 4.440892098500626e-16
45 9 10 0.44407 1.5376049 -1.0935349 0.0
46 1 11 -1.311 -1.2486720000000002 -0.06232799999999994 2.220446049250313e-16
47 2 11 2.9579 -0.602893 3.5607930000000008 -7.771561172376096e-16
