t i j k u[t]=u_ijk
1 1 2 3 -0.138585
2 1 2 4 0.009310000000000018
3 1 2 5 0.045135
4 1 2 6 -0.35674
5 1 2 7 -0.3259085
6 1 2 8 -0.19412
7 1 2 9 -0.059415
8 1 2 10 -0.21954000000000004
9 1 2 11 0.055145
10 1 2 12 -0.142192
11 1 2 13 -0.06322000000000001
12 1 2 14 -0.316602
13 1 2 15 5.000000000010552e-6
14 1 2 16 -0.09954999999999999
15 1 2 17 -0.300495
16 1 2 18 -0.175295
17 1 2 19 -0.16760850000000002
18 1 2 20 -0.07054500000000001
19 1 3 4 0.0322165
20 1 3 5 0.10885850000000002
21 1 3 6 0.1794085
22 1 3 7 0.056240000000000005
23 1 3 8 0.04762100000000001
24 1 3 9 0.05375350000000001
25 1 3 10 -0.13178850000000003
26 1 3 11 0.2145435
27 1 3 12 0.0440115
28 1 3 13 0.11479349999999999
29 1 3 14 -0.034725000000000006
30 1 3 15 0.21023350000000002
31 1 3 16 0.11068350000000002
32 1 3 17 -0.01540649999999999
33 1 3 18 0.024533500000000007
34 1 3 19 -0.048738500000000004
35 1 3 20 0.09706350000000001
36 1 4 5 -0.029728000000000008
37 1 4 6 -0.382155
38 1 4 7 -0.2824035
39 1 4 8 0.045132000000000005
40 1 4 9 0.165825
41 1 4 10 -0.18942200000000003
42 1 4 11 0.033333499999999995
43 1 4 12 -0.064847
44 1 4 13 0.07575499999999998
45 1 4 14 0.06123799999999999
46 1 4 15 0.035823
47 1 4 16 -0.099555
48 1 4 17 -0.23925999999999997
49 1 4 18 -0.09434
50 1 4 19 -0.10637200000000001
51 1 4 20 -0.06124000000000001
52 1 5 6 -0.071645
53 1 5 7 -0.051227
54 1 5 8 -0.016499999999999994
55 1 5 9 0.073075
56 1 5 10 -0.225638
57 1 5 11 -0.0469165
58 1 5 12 -0.051226999999999995
59 1 5 13 -0.007685000000000009
60 1 5 14 -0.04082050000000001
61 1 5 15 -0.051226499999999994
62 1 5 16 -0.09524
63 1 5 17 -0.18411300000000003
64 1 5 18 0.14452150000000002
65 1 5 19 0.026122999999999997
66 1 5 20 0.08165850000000001
67 1 6 7 -0.0637485
68 1 6 8 0.14650500000000002
69 1 6 9 0.16443500000000003
70 1 6 10 0.21814999999999998
71 1 6 11 0.29981
72 1 6 12 0.030828
73 1 6 13 0.277407
74 1 6 14 0.21023300000000003
75 1 6 15 -0.04081999999999999
76 1 6 16 0.12430199999999998
77 1 6 17 0.11748499999999999
78 1 6 18 0.16533499999999998
79 1 6 19 0.178723
80 1 6 20 0.27008350000000003
81 1 7 8 0.13178850000000003
82 1 7 9 0.22497350000000002
83 1 7 10 -0.09345650000000003
84 1 7 11 0.010013499999999998
85 1 7 12 0.1930265
86 1 7 13 0.21185500000000002
87 1 7 14 0.0809545
88 1 7 15 0.009308499999999997
89 1 7 16 0.1038815
90 1 7 17 0.009308499999999997
91 1 7 18 0.1345085
92 1 7 19 -0.03582350000000001
93 1 7 20 0.2231485
94 1 8 9 0.06306149999999999
95 1 8 10 -0.24496000000000004
96 1 8 11 -0.07664500000000002
97 1 8 12 -0.212742
98 1 8 13 -0.007690000000000019
99 1 8 14 0.024022999999999996
