t i j k u[t]
1 1 2 3 0.1304076111111111
2 1 2 4 0.12487777777777775
3 1 2 5 -0.10022166666666665
4 1 2 6 -0.008831555555555554
5 1 2 7 -0.033474444444444446
6 1 2 8 -0.21177222222222217
7 1 2 9 -0.08777222222222221
8 1 2 10 0.16718888888888883
9 1 2 11 0.008176111111111103
10 1 2 12 0.21736055555555553
11 1 2 13 -0.07542777777777777
12 1 2 14 -0.030377222222222226
13 1 2 15 -0.07022222222222223
14 1 2 16 -0.10719444444444443
15 1 2 17 0.23912222222222218
16 1 2 18 -0.29428722222222214
17 1 3 4 -0.09227427777777777
18 1 3 5 -0.046058166666666664
19 1 3 6 0.1365108333333333
20 1 3 7 -0.04410816666666666
21 1 3 8 -0.002026500000000005
22 1 3 9 -0.26019649999999994
23 1 3 10 0.18007572222222218
24 1 3 11 0.12479966666666666
25 1 3 12 0.14349738888888885
26 1 3 13 -0.13909649999999998
27 1 3 14 0.007859611111111107
28 1 3 15 -0.10574094444444444
29 1 3 16 -0.026874277777777778
30 1 3 17 -0.02808538888888888
31 1 3 18 -0.24138538888888886
32 1 4 5 -0.1608400555555555
33 1 4 6 -0.4465426666666666
34 1 4 7 -0.3439966666666666
35 1 4 8 -0.31616111111111106
36 1 4 9 -0.3790388888888888
37 1 4 10 0.01764999999999999
38 1 4 11 -0.14799444444444443
39 1 4 12 -0.11624888888888886
40 1 4 13 -0.3144888888888889
41 1 4 14 -0.16078111111111107
42 1 4 15 -0.042657777777777774
43 1 4 16 -0.2899677777777777
44 1 4 17 -0.1223611111111111
45 1 4 18 -0.3704916666666666
46 1 5 6 -0.058732111111111096
47 1 5 7 -0.05004722222222222
48 1 5 8 0.07106611111111111
49 1 5 9 -0.07778388888888887
50 1 5 10 0.0603161111111111
51 1 5 11 0.19822166666666666
52 1 5 12 0.09477555555555556
53 1 5 13 0.15779388888888887
54 1 5 14 0.055594444444444446
55 1 5 15 -0.01601166666666668
56 1 5 16 -0.031114999999999993
57 1 5 17 0.13452499999999995
58 1 5 18 -0.2596672222222222
59 1 6 7 0.02778266666666666
60 1 6 8 -0.08777399999999998
61 1 6 9 -0.06757399999999998
62 1 6 10 0.2533593333333333
63 1 6 11 0.024609333333333334
64 1 6 12 0.03551044444444444
65 1 6 13 -0.09707288888888889
66 1 6 14 -0.09529066666666665
67 1 6 15 -0.04154066666666666
68 1 6 16 -0.02196288888888889
69 1 6 17 0.11302322222222222
70 1 6 18 -0.21701677777777773
71 1 7 8 0.017521111111111105
72 1 7 9 0.06958555555555553
73 1 7 10 0.10304999999999997
74 1 7 11 0.12281388888888886
75 1 7 12 0.12807388888888888
76 1 7 13 -0.13338666666666668
77 1 7 14 -0.01813111111111111
78 1 7 15 0.10396777777777774
79 1 7 16 -0.24357555555555555
80 1 7 17 0.1942161111111111
81 1 7 18 -0.12570388888888887
82 1 8 9 0.03183333333333333
83 1 8 10 0.18012888888888884
84 1 8 11 0.047905555555555555
85 1 8 12 0.016655000000000003
86 1 8 13 0.11757777777777774
87 1 8 14 -0.0025911111111111083
88 1 8 15 0.16380266111111108
89 1 8 16 0.018544444444444447
90 1 8 17 0.44112777777777773
91 1 8 18 -0.12861999999999998
92 1 9 10 0.22050166666666662
93 1 9 11 0.3242866666666666
94 1 9 12 0.33497166666666667
95 1 9 13 0.0664461111111111
96 1 9 14 0.0571061111111111
97 1 9 15 0.24898888888888884
98 1 9 16 -0.0067944444444444484
99 1 9 17 0.3073727777777777
100 1 9 18 -0.13080555555555556
101 1 10 11 -0.0887222222222222
102 1 10 12 -0.18036722222222215
103 1 10 13 -0.13679111111111106
104 1 10 14 -0.10053444444444443
105 1 10 15 -0.25951111111111114
106 1 10 16 -0.2109122222222222
107 1 10 17 0.012457222222222217
108 1 10 18 -0.32030222222222215
109 1 11 12 0.12183277777777776
110 1 11 13 -0.2355933333333333
111 1 11 14 -0.1877761111111111
112 1 11 15 0.13595
113 1 11 16 -0.20401555555555553
114 1 11 17 0.04712777777777776
115 1 11 18 -0.348066111111111
116 1 12 13 -0.14685555555555554
117 1 12 14 -0.17297666666666664
118 1 12 15 0.05384833333333331
119 1 12 16 -0.01600500000000001
120 1 12 17 -0.04566611111111113
121 1 12 18 -0.2725272222222222
122 1 13 14 -0.001580555555555554
123 1 13 15 0.16430055555555556
124 1 13 16 -0.08653333333333332
125 1 13 17 -0.0005944444444444405
126 1 13 18 -0.13765888888888886
127 1 14 15 0.2567661111111111
128 1 14 16 -0.04751722222222222
129 1 14 17 0.33792722222222216
130 1 14 18 -0.17189555555555555
131 1 15 16 -0.26914944444444444
132 1 15 17 0.25828888888888885
133 1 15 18 -0.40098333333333325
134 1 16 17 0.4212611111111111
135 1 16 18 -0.06284
136 1 17 18 -0.08174999999999998
137 2 3 4 -0.08674444444444443
138 2 3 5 0.18457111111111107
139 2 3 6 0.27575
140 2 3 7 0.11977388888888889
141 2 3 8 0.34015333333333325
142 2 3 9 -0.04201666666666665
143 2 3 10 0.14329444444444445
