l i j f[l] s[l] h[l]
1 1 2 -1.2462 1.650095 0.0
2 1 3 -1.6594 1.650095 0.0
3 2 3 1.1075 0.5295822222222223 0.0
4 1 4 -0.11965 1.650095 0.0
5 2 4 0.34898 0.5295822222222223 0.0
6 3 4 1.5949 0.4001872222222222 -2.220446049250313e-16
7 1 5 0.83446 1.650095 0.0
8 2 5 -0.25334 0.5295822222222223 0.0
9 3 5 0.39417 0.4001872222222222 -2.220446049250313e-16
10 4 5 -3.421 -0.08717666666666671 4.996003610813204e-16
11 1 6 -2.2287 1.650095 0.0
12 2 6 0.39785 0.5295822222222223 0.0
13 3 6 3.8002 0.4001872222222222 -2.220446049250313e-16
14 4 6 -3.2901 -0.08717666666666671 4.996003610813204e-16
15 5 6 0.43463 -2.514841666666667 4.440892098500626e-16
16 1 7 -4.4856 1.650095 0.0
17 2 7 2.7991 0.5295822222222223 0.0
18 3 7 -5.4729 0.4001872222222222 -2.220446049250313e-16
19 4 7 0.19433 -0.08717666666666671 4.996003610813204e-16
20 5 7 0.11975 -2.514841666666667 4.440892098500626e-16
21 6 7 -3.2492 -0.561608888888889 8.881784197001252e-16
22 1 8 1.6481 1.650095 0.0
23 2 8 -1.5061 0.5295822222222223 0.0
24 3 8 -0.53478 0.4001872222222222 -2.220446049250313e-16
25 4 8 -2.2119 -0.08717666666666671 4.996003610813204e-16
26 5 8 1.4186 -2.514841666666667 4.440892098500626e-16
27 6 8 0.22158 -0.561608888888889 8.881784197001252e-16
28 7 8 0.97591 2.968061111111111 0.0
29 1 9 -4.1415 1.650095 0.0
30 2 9 1.8854 0.5295822222222223 0.0
31 3 9 -0.83583 0.4001872222222222 -2.220446049250313e-16
32 4 9 -3.245 -0.08717666666666671 4.996003610813204e-16
33 5 9 0.52656 -2.514841666666667 4.440892098500626e-16
34 6 9 -0.64186 -0.561608888888889 8.881784197001252e-16
35 7 9 2.9997 2.968061111111111 0.0
36 8 9 3.295 -1.0160338888888891 1.1102230246251565e-16
37 1 10 -4.3372 1.650095 0.0
38 2 10 -2.4273 0.5295822222222223 0.0
39 3 10 -2.8763 0.4001872222222222 -2.220446049250313e-16
40 4 10 -3.7015 -0.08717666666666671 4.996003610813204e-16
41 5 10 -2.0407 -2.514841666666667 4.440892098500626e-16
42 6 10 -3.2947 -0.561608888888889 8.881784197001252e-16
43 7 10 1.022 2.968061111111111 0.0
44 8 10 -0.21195 -1.0160338888888891 1.1102230246251565e-16
45 9 10 0.82725 0.33878888888888903 -1.1102230246251565e-16
46 1 11 -4.9043 1.650095 0.0
47 2 11 0.74811 0.5295822222222223 0.0
48 3 11 -1.8887 0.4001872222222222 -2.220446049250313e-16
49 4 11 -3.8442 -0.08717666666666671 4.996003610813204e-16
50 5 11 1.8939 -2.514841666666667 4.440892098500626e-16
51 6 11 -1.6481 -0.561608888888889 8.881784197001252e-16
52 7 11 0.86108 2.968061111111111 0.0
