l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 -4.1339 -4.7053913888888905 0.5714913888888891 1.7763568394002505e-15
2 1 3 -3.1542 -2.8565188888888895 -0.29768111111111106 4.440892098500626e-16
3 2 3 2.357 1.8488725000000008 0.5081275000000003 -8.881784197001252e-16
4 1 4 -2.1846 -2.104091666666667 -0.0805083333333334 4.440892098500626e-16
5 2 4 -1.5195 2.601299722222223 -4.120799722222223 4.440892098500626e-16
6 3 4 -1.0764 0.7524272222222222 -1.8288272222222226 3.3306690738754696e-16
7 1 5 -1.2716 -2.9765127777777787 1.7049127777777777 8.881784197001252e-16
8 2 5 0.38156 1.7288786111111116 -1.3473186111111115 -2.220446049250313e-16
9 3 5 -0.36926 -0.11999388888888918 -0.24926611111111105 2.498001805406602e-16
10 4 5 -2.8565 -0.8724211111111114 -1.9840788888888894 7.771561172376096e-16
11 1 6 -4.2474 -2.2107147222222228 -2.0366852777777775 4.440892098500626e-16
12 2 6 1.7027 2.4946766666666678 -0.7919766666666669 -8.881784197001252e-16
13 3 6 1.4406 0.6458041666666668 0.7947958333333336 -3.3306690738754696e-16
14 4 6 -3.83 -0.1066230555555554 -3.7233769444444444 -2.220446049250313e-16
15 5 6 -1.1898 0.765798055555556 -1.955598055555556 1.1102230246251565e-16
16 1 7 -4.4697 -5.317218222222223 0.8475182222222228 8.881784197001252e-16
17 2 7 3.0976 -0.6118268333333333 3.7094268333333336 -3.3306690738754696e-16
18 3 7 -3.9087 -2.4606993333333342 -1.4480006666666665 8.881784197001252e-16
19 4 7 -1.4566 -3.213126555555556 1.7565265555555558 4.440892098500626e-16
20 5 7 -1.6724 -2.340705444444445 0.6683054444444444 4.440892098500626e-16
21 6 7 -4.2365 -3.106503500000001 -1.1299965000000003 8.881784197001252e-16
22 1 8 1.475 -3.9810655000000015 5.4560655 1.3322676295501878e-15
23 2 8 -2.6479 0.724325888888889 -3.37222588888889 8.881784197001252e-16
24 3 8 -1.5307 -1.1245466111111118 -0.4061533888888888 6.661338147750939e-16
25 4 8 -0.47272 -1.876973833333334 1.4042538333333334 4.440892098500626e-16
26 5 8 1.1651 -1.0045527222222226 2.169652722222222 4.440892098500626e-16
27 6 8 -0.56388 -1.7703507777777785 1.2064707777777777 6.661338147750939e-16
28 7 8 3.4072 1.3361527222222225 2.0710472777777778 -2.220446049250313e-16
29 1 9 -4.4567 -3.7105469444444457 -0.7461530555555556 1.3322676295501878e-15
30 2 9 2.3692 0.9948444444444448 1.3743555555555558 -3.3306690738754696e-16
31 3 9 0.13762 -0.854028055555556 0.9916480555555555 5.551115123125783e-16
32 4 9 -1.9474 -1.6064552777777783 -0.34094472222222216 4.440892098500626e-16
33 5 9 -0.98801 -0.7340341666666669 -0.25397583333333346 3.3306690738754696e-16
34 6 9 -0.018655 -1.499832222222223 1.4811772222222226 2.220446049250313e-16
