t i j k u[t]
1 1 2 3 0.07651666666666669
2 1 2 4 -0.19271111111111114
3 1 2 5 -0.13781888888888885
4 1 2 6 0.10090000000000002
5 1 2 7 0.19074444444444444
6 1 2 8 -0.4587111111111112
7 1 2 9 0.14955555555555558
8 1 2 10 0.049070166666666706
9 1 2 11 0.21807222222222225
10 1 2 12 0.0958277777777778
11 1 2 13 0.04395622222222222
12 1 2 14 -0.17051666666666665
13 1 2 15 0.15600000000000003
14 1 2 16 0.1941611111111111
15 1 2 17 0.09252111111111115
16 1 2 18 0.1639238888888889
17 1 3 4 -0.11366666666666667
18 1 3 5 -0.12510333333333332
19 1 3 6 0.1407666666666667
20 1 3 7 -0.1440666666666667
21 1 3 8 -0.34221666666666667
22 1 3 9 0.08000666666666667
23 1 3 10 0.02461111111111114
24 1 3 11 0.04955000000000001
25 1 3 12 -0.06474555555555556
26 1 3 13 0.015405555555555537
27 1 3 14 -0.15182777777777778
28 1 3 15 -0.07239444444444443
29 1 3 16 0.28741666666666665
30 1 3 17 0.026938888888888922
31 1 3 18 0.16816111111111115
32 1 4 5 -0.2094166666666667
33 1 4 6 -0.09817777777777781
34 1 4 7 0.04602777777777776
35 1 4 8 -0.22957333333333338
36 1 4 9 0.018038888888888865
37 1 4 10 -0.03406666666666667
38 1 4 11 0.045799999999999993
39 1 4 12 -0.028367222222222228
40 1 4 13 -0.13773888888888894
41 1 4 14 -0.2946388888888889
42 1 4 15 0.12071555555555558
43 1 4 16 0.04632222222222221
44 1 4 17 0.24950000000000006
45 1 4 18 0.1186888888888889
46 1 5 6 0.0992222222222222
47 1 5 7 0.08476111111111108
48 1 5 8 -0.08786111111111111
49 1 5 9 0.12206055555555553
50 1 5 10 0.1199388888888889
51 1 5 11 0.32958333333333334
52 1 5 12 -0.08821666666666668
53 1 5 13 0.22528555555555554
54 1 5 14 -0.05987777777777777
55 1 5 15 0.046566666666666645
56 1 5 16 0.1903833333333333
57 1 5 17 0.17891111111111113
58 1 5 18 0.07181666666666661
59 1 6 7 -0.22301111111111116
60 1 6 8 -0.3492377777777778
61 1 6 9 0.01059138888888888
62 1 6 10 -0.15974999999999998
63 1 6 11 -0.08035555555555554
64 1 6 12 -0.28680555555555554
65 1 6 13 -0.0864277777777778
66 1 6 14 -0.14385
67 1 6 15 -0.35137222222222225
68 1 6 16 -0.023816666666666684
69 1 6 17 -0.21458333333333335
70 1 6 18 0.11464444444444444
71 1 7 8 -0.14097222222222217
72 1 7 9 0.20225
73 1 7 10 0.008191666666666708
74 1 7 11 0.11689722222222226
75 1 7 12 -0.11499955555555554
76 1 7 13 0.13634444444444446
77 1 7 14 -0.05357111111111109
78 1 7 15 -0.12942222222222222
79 1 7 16 0.12755000000000002
80 1 7 17 0.35380000000000006
81 1 7 18 0.2959055555555556
82 1 8 9 0.4787166666666667
83 1 8 10 0.5192111111111112
84 1 8 11 0.40366222222222226
85 1 8 12 0.12272222222222222
86 1 8 13 0.36246333333333336
87 1 8 14 0.2963082777777778
88 1 8 15 0.2112111111111111
89 1 8 16 0.45261666666666667
90 1 8 17 0.526288888888889
91 1 8 18 0.4742927777777778
92 1 9 10 0.14167222222222225
93 1 9 11 0.09107833333333337
94 1 9 12 -0.04032777777777777
95 1 9 13 0.013451666666666662
96 1 9 14 -0.06774944444444443
97 1 9 15 -0.07311111111111111
98 1 9 16 -0.05305000000000001
99 1 9 17 0.029341666666666714
100 1 9 18 0.2737611111111111
101 1 10 11 0.11158888888888886
102 1 10 12 -0.2606611111111112
103 1 10 13 0.11601111111111106
104 1 10 14 -0.020308333333333352
105 1 10 15 -0.24190000000000006
106 1 10 16 0.13204999999999995
107 1 10 17 0.10553333333333335
108 1 10 18 0.1399933333333333
109 1 11 12 -0.22358944444444448
110 1 11 13 -0.3154277777777778
111 1 11 14 -0.22036111111111112
112 1 11 15 0.07162777777777778
113 1 11 16 0.1926222222222222
114 1 11 17 -0.10046666666666665
115 1 11 18 0.19959999999999997
116 1 12 13 0.19521111111111109
117 1 12 14 -0.15477222222222223
