l i j f[l] s[l] h[l]
1 1 2 -0.82731 -0.28096666666666675 2.220446049250313e-16
2 1 3 -1.4117 -0.28096666666666675 2.220446049250313e-16
3 2 3 -3.447 0.4343255555555556 2.220446049250313e-16
4 1 4 2.2594 -0.28096666666666675 2.220446049250313e-16
5 2 4 0.6956 0.4343255555555556 2.220446049250313e-16
6 3 4 1.8131 -2.147317777777778 4.440892098500626e-16
7 1 5 -0.86297 -0.28096666666666675 2.220446049250313e-16
8 2 5 -0.36018 0.4343255555555556 2.220446049250313e-16
9 3 5 1.9253 -2.147317777777778 4.440892098500626e-16
10 4 5 -3.6442 2.2304105555555553 2.220446049250313e-16
11 1 6 -0.42002 -0.28096666666666675 2.220446049250313e-16
12 2 6 -0.30174 0.4343255555555556 2.220446049250313e-16
13 3 6 -0.53879 -2.147317777777778 4.440892098500626e-16
14 4 6 1.3009 2.2304105555555553 2.220446049250313e-16
15 5 6 0.095965 0.12026722222222215 1.1102230246251565e-16
16 1 7 -0.73567 -0.28096666666666675 2.220446049250313e-16
17 2 7 -0.38365 0.4343255555555556 2.220446049250313e-16
18 3 7 -1.5214 -2.147317777777778 4.440892098500626e-16
19 4 7 0.24701 2.2304105555555553 2.220446049250313e-16
20 5 7 0.76632 0.12026722222222215 1.1102230246251565e-16
21 6 7 -0.43236 -0.061915 -4.440892098500626e-16
22 1 8 1.0516 -0.28096666666666675 2.220446049250313e-16
23 2 8 -2.865 0.4343255555555556 2.220446049250313e-16
24 3 8 0.50938 -2.147317777777778 4.440892098500626e-16
25 4 8 1.705 2.2304105555555553 2.220446049250313e-16
26 5 8 -1.3163 0.12026722222222215 1.1102230246251565e-16
27 6 8 -2.2831 -0.061915 -4.440892098500626e-16
28 7 8 2.1847 -0.24390305555555555 2.220446049250313e-16
29 1 9 -2.6093 -0.28096666666666675 2.220446049250313e-16
30 2 9 -2.2225 0.4343255555555556 2.220446049250313e-16
31 3 9 2.6255 -2.147317777777778 4.440892098500626e-16
32 4 9 -2.1082 2.2304105555555553 2.220446049250313e-16
33 5 9 -2.0771 0.12026722222222215 1.1102230246251565e-16
34 6 9 -3.1699 -0.061915 -4.440892098500626e-16
35 7 9 -3.7224 -0.24390305555555555 2.220446049250313e-16
36 8 9 -2.1132 -0.2874563888888888 5.551115123125783e-17
37 1 10 -1.821 -0.28096666666666675 2.220446049250313e-16
38 2 10 -1.9863 0.4343255555555556 2.220446049250313e-16
39 3 10 0.94104 -2.147317777777778 4.440892098500626e-16
40 4 10 -2.6496 2.2304105555555553 2.220446049250313e-16
41 5 10 -1.8051 0.12026722222222215 1.1102230246251565e-16
42 6 10 -2.3884 -0.061915 -4.440892098500626e-16
43 7 10 -3.7134 -0.24390305555555555 2.220446049250313e-16
44 8 10 -1.3616 -0.2874563888888888 5.551115123125783e-17
45 9 10 1.3813 0.6983413888888889 0.0
46 1 11 0.69467 -0.28096666666666675 2.220446049250313e-16
47 2 11 1.8362 0.4343255555555556 2.220446049250313e-16
48 3 11 -5.6794 -2.147317777777778 4.440892098500626e-16
49 4 11 -0.23924 2.2304105555555553 2.220446049250313e-16
50 5 11 -1.7879 0.12026722222222215 1.1102230246251565e-16
51 6 11 -0.53785 -0.061915 -4.440892098500626e-16
52 7 11 -3.2233 -0.24390305555555555 2.220446049250313e-16
53 8 11 1.8251 -0.2874563888888888 5.551115123125783e-17
54 9 11 0.29187 0.6983413888888889 0.0
55 10 11 2.3161 -2.9961436111111106 -5.551115123125783e-16
56 1 12 -1.2821 -0.28096666666666675 2.220446049250313e-16
57 2 12 -0.65446 0.4343255555555556 2.220446049250313e-16
58 3 12 1.7377 -2.147317777777778 4.440892098500626e-16
59 4 12 -0.13009 2.2304105555555553 2.220446049250313e-16
60 5 12 -1.153 0.12026722222222215 1.1102230246251565e-16
61 6 12 1.6539 -0.061915 -4.440892098500626e-16
62 7 12 -3.0137 -0.24390305555555555 2.220446049250313e-16
63 8 12 1.2733 -0.2874563888888888 5.551115123125783e-17
64 9 12 -1.0698 0.6983413888888889 0.0
65 10 12 1.7029 -2.9961436111111106 -5.551115123125783e-16
66 11 12 -2.4864 0.059339722222222155 2.7755575615628914e-16
67 1 13 -3.5253 -0.28096666666666675 2.220446049250313e-16
