l i j f[l] s[l] h[l]
1 1 2 -2.7527 2.034688888888889 0.0
2 1 3 -4.3909 2.034688888888889 0.0
3 2 3 2.022 -1.351853333333334 4.440892098500626e-16
4 1 4 -0.88226 2.034688888888889 0.0
5 2 4 1.2963 -1.351853333333334 4.440892098500626e-16
6 3 4 -0.28157 0.27365777777777767 -2.220446049250313e-16
7 1 5 0.20649 2.034688888888889 0.0
8 2 5 1.2869 -1.351853333333334 4.440892098500626e-16
9 3 5 0.72858 0.27365777777777767 -2.220446049250313e-16
10 4 5 -2.0792 0.9612566666666669 -4.440892098500626e-16
11 1 6 -2.4337 2.034688888888889 0.0
12 2 6 2.8076 -1.351853333333334 4.440892098500626e-16
13 3 6 2.0558 0.27365777777777767 -2.220446049250313e-16
14 4 6 -2.119 0.9612566666666669 -4.440892098500626e-16
15 5 6 -2.273 -1.6475722222222227 0.0
16 1 7 -5.2655 2.034688888888889 0.0
17 2 7 2.1054 -1.351853333333334 4.440892098500626e-16
18 3 7 -3.8566 0.27365777777777767 -2.220446049250313e-16
19 4 7 -1.2561 0.9612566666666669 -4.440892098500626e-16
20 5 7 -1.3006 -1.6475722222222227 0.0
21 6 7 -2.8927 -1.4771000000000005 2.220446049250313e-16
22 1 8 0.64259 2.034688888888889 0.0
23 2 8 -2.495 -1.351853333333334 4.440892098500626e-16
24 3 8 0.48541 0.27365777777777767 -2.220446049250313e-16
25 4 8 -0.91579 0.9612566666666669 -4.440892098500626e-16
26 5 8 0.12014 -1.6475722222222227 0.0
27 6 8 -2.7816 -1.4771000000000005 2.220446049250313e-16
28 7 8 3.4592 2.615890555555556 0.0
29 1 9 -3.9178 2.034688888888889 0.0
30 2 9 2.8771 -1.351853333333334 4.440892098500626e-16
31 3 9 0.78396 0.27365777777777767 -2.220446049250313e-16
32 4 9 -0.97858 0.9612566666666669 -4.440892098500626e-16
33 5 9 0.53786 -1.6475722222222227 0.0
34 6 9 -1.0818 -1.4771000000000005 2.220446049250313e-16
35 7 9 2.4787 2.615890555555556 0.0
36 8 9 2.7635 -1.0910883333333334 0.0
37 1 10 -4.3302 2.034688888888889 0.0
38 2 10 -0.42383 -1.351853333333334 4.440892098500626e-16
39 3 10 -2.154 0.27365777777777767 -2.220446049250313e-16
40 4 10 -3.2993 0.9612566666666669 -4.440892098500626e-16
41 5 10 -3.9557 -1.6475722222222227 0.0
42 6 10 -4.9325 -1.4771000000000005 2.220446049250313e-16
43 7 10 -0.15642 2.615890555555556 0.0
44 8 10 -0.23378 -1.0910883333333334 0.0
45 9 10 0.69029 0.0989338888888889 0.0
46 1 11 -5.0065 2.034688888888889 0.0
47 2 11 1.1154 -1.351853333333334 4.440892098500626e-16
48 3 11 -3.9977 0.27365777777777767 -2.220446049250313e-16
