t i j k u[t]
1 1 2 3 0.2033444444444445
2 1 2 4 -0.03189666666666667
3 1 2 5 -0.09290500000000002
4 1 2 6 0.1382555555555556
5 1 2 7 0.2565666666666667
6 1 2 8 -0.3272383333333334
7 1 2 9 0.22456666666666675
8 1 2 10 0.06409277777777778
9 1 2 11 0.18717777777777786
10 1 2 12 0.2521888888888889
11 1 2 13 0.22071777777777782
12 1 2 14 0.031033333333333343
13 1 2 15 0.1623294444444445
14 1 2 16 0.29127222222222227
15 1 2 17 0.35477777777777786
16 1 2 18 0.10040555555555561
17 1 3 4 -0.21056722222222227
18 1 3 5 -0.21493388888888895
19 1 3 6 0.005477777777777768
20 1 3 7 -0.16566666666666668
21 1 3 8 -0.25267111111111124
22 1 3 9 0.017269999999999997
23 1 3 10 -0.12303888888888895
24 1 3 11 -0.1878944444444445
25 1 3 12 -0.0004261111111111457
26 1 3 13 0.06497777777777777
27 1 3 14 -0.1225444444444445
28 1 3 15 -0.14736666666666673
29 1 3 16 0.04083666666666665
30 1 3 17 0.10542333333333335
31 1 3 18 0.04261500000000001
32 1 4 5 -0.1759972222222223
33 1 4 6 -0.031531111111111135
34 1 4 7 0.1737300000000001
35 1 4 8 -0.13559111111111116
36 1 4 9 0.11427555555555559
37 1 4 10 0.008257777777777748
38 1 4 11 0.09186888888888893
39 1 4 12 0.08007444444444448
40 1 4 13 0.10840777777777777
41 1 4 14 -0.20537000000000005
42 1 4 15 -0.02796444444444449
43 1 4 16 0.1984244444444445
44 1 4 17 0.3360500000000001
45 1 4 18 0.18415777777777786
46 1 5 6 0.020399444444444446
47 1 5 7 0.23174388888888894
48 1 5 8 -0.017553333333333337
49 1 5 9 0.2590083333333334
50 1 5 10 0.03227722222222218
51 1 5 11 0.244205
52 1 5 12 0.10208833333333331
53 1 5 13 0.3619272222222223
54 1 5 14 0.031182777777777764
55 1 5 15 0.06919388888888887
56 1 5 16 0.2684161111111112
57 1 5 17 0.4133605555555556
58 1 5 18 0.115805
59 1 6 7 -0.003383333333333319
60 1 6 8 -0.32543833333333344
61 1 6 9 0.02235000000000001
62 1 6 10 -0.16866666666666674
63 1 6 11 0.05668888888888891
64 1 6 12 -0.03012777777777781
65 1 6 13 0.16526111111111114
66 1 6 14 -0.035377777777777786
67 1 6 15 -0.13210555555555561
68 1 6 16 0.07172222222222224
69 1 6 17 -0.03793333333333331
70 1 6 18 0.10947222222222228
71 1 7 8 -0.1360494444444445
72 1 7 9 0.06283333333333334
73 1 7 10 -0.06065111111111116
74 1 7 11 0.04871666666666666
75 1 7 12 0.07367222222222221
76 1 7 13 0.1549638888888889
77 1 7 14 -0.1083944444444445
78 1 7 15 0.015377777777777763
79 1 7 16 0.07621666666666665
80 1 7 17 0.2689222222222223
81 1 7 18 0.1837055555555556
82 1 8 9 0.40688277777777787
83 1 8 10 0.2632783333333334
84 1 8 11 0.3378716666666668
85 1 8 12 0.09051611111111114
86 1 8 13 0.45754500000000015
87 1 8 14 0.20712166666666673
88 1 8 15 0.2919777777777779
89 1 8 16 0.4035000000000001
90 1 8 17 0.613093888888889
91 1 8 18 0.36002944444444457
92 1 9 10 0.06126055555555555
93 1 9 11 0.013866666666666659
94 1 9 12 0.19489444444444445
95 1 9 13 0.14825500000000003
96 1 9 14 0.05604111111111111
97 1 9 15 -0.014255555555555568
98 1 9 16 -0.011500000000000019
99 1 9 17 0.1197032777777778
100 1 9 18 0.012983333333333338
101 1 10 11 0.11515000000000003
102 1 10 12 -0.022477777777777777
103 1 10 13 0.2920333333333334
104 1 10 14 0.011913888888888904
105 1 10 15 -0.1933777777777778
106 1 10 16 0.23071111111111117
107 1 10 17 0.08461222222222228
108 1 10 18 0.21841666666666673
109 1 11 12 -0.07003333333333335
110 1 11 13 0.006238888888888882
111 1 11 14 -0.17791666666666672
112 1 11 15 0.1823277777777778
113 1 11 16 0.23942222222222223
114 1 11 17 0.005400000000000023
115 1 11 18 0.057912222222222254
116 1 12 13 0.18837777777777784
117 1 12 14 -0.24480000000000005
118 1 12 15 0.09437777777777782
119 1 12 16 -0.06868888888888891
120 1 12 17 -0.10280555555555555
121 1 12 18 0.19767777777777784
122 1 13 14 -0.11973000000000003
123 1 13 15 -0.048049999999999995
124 1 13 16 -0.1356127777777778
125 1 13 17 -0.03116444444444442
126 1 13 18 -0.15990555555555555
127 1 14 15 0.005705000000000004
128 1 14 16 0.023722222222222217
129 1 14 17 0.09434661111111117
130 1 14 18 -0.08274444444444445
131 1 15 16 0.03196611111111111
132 1 15 17 0.2595611111111112
133 1 15 18 0.023073444444444466
134 1 16 17 0.07511666666666672
135 1 16 18 -0.08846666666666667
136 1 17 18 0.18732222222222225
137 2 3 4 0.02467388888888888
138 2 3 5 0.08131555555555557
139 2 3 6 0.07056666666666668
140 2 3 7 -0.21888888888888894
141 2 3 8 0.27791166666666667
142 2 3 9 -0.0039522222222222346
143 2 3 10 0.01621277777777778
144 2 3 11 -0.1717277777777778
145 2 3 12 -0.04927055555555558
146 2 3 13 0.04760444444444445
147 2 3 14 0.049766666666666674
148 2 3 15 -0.10635166666666672
149 2 3 16 -0.047091111111111125
150 2 3 17 -0.04601000000000003
151 2 3 18 0.14555388888888893
152 2 4 5 -0.1149888888888889
153 2 4 6 -0.20168333333333338
154 2 4 7 -0.11473333333333335
155 2 4 8 0.1597505555555556
156 2 4 9 -0.1421877777777778
157 2 4 10 -0.08773166666666671
158 2 4 11 -0.12720555555555557
159 2 4 12 -0.20401111111111114
160 2 4 13 -0.1442066666666667
161 2 4 14 -0.26830000000000004
162 2 4 15 -0.2221905555555556
163 2 4 16 -0.12474444444444448
164 2 4 17 -0.050624444444444465
165 2 4 18 0.051855555555555585
166 2 5 6 -0.21076111111111118
167 2 5 7 -0.1177277777777778
168 2 5 8 0.21678000000000008
169 2 5 9 -0.05846333333333335
170 2 5 10 -0.12472055555555561
171 2 5 11 -0.035877777777777786
172 2 5 12 -0.2430055555555556
173 2 5 13 0.04830444444444444
174 2 5 14 -0.09275555555555558
175 2 5 15 -0.1860405555555556
176 2 5 16 -0.11576111111111113
177 2 5 17 -0.034322222222222254
178 2 5 18 -0.07750555555555559
179 2 6 7 -0.12169444444444448
180 2 6 8 0.14005555555555557
181 2 6 9 -0.06396111111111114
182 2 6 10 -0.09450388888888892
183 2 6 11 0.007766666666666665
184 2 6 12 -0.14406111111111114
185 2 6 13 0.08279888888888892
186 2 6 14 0.07184444444444445
187 2 6 15 -0.1561794444444445
188 2 6 16 -0.08129444444444445
189 2 6 17 -0.2544555555555556
190 2 6 18 0.14732222222222224
191 2 7 8 0.44775555555555563
192 2 7 9 0.09483333333333335
193 2 7 10 0.13182277777777782
194 2 7 11 0.11810555555555556
195 2 7 12 0.07805000000000002
196 2 7 13 0.1908127777777778
197 2 7 14 0.11713888888888893
198 2 7 15 0.10961500000000002
199 2 7 16 0.041511111111111124
200 2 7 17 0.17071111111111115
201 2 7 18 0.3398666666666667
202 2 8 9 -0.14492222222222223
203 2 8 10 -0.1280527777777778
204 2 8 11 -0.1765444444444445
205 2 8 12 -0.48891111111111124
206 2 8 13 -0.09041111111111112
207 2 8 14 -0.15115000000000003
208 2 8 15 -0.19759000000000004
209 2 8 16 -0.21501055555555562
210 2 8 17 -0.06892222222222227
211 2 8 18 -0.06761444444444446
212 2 9 10 0.22173444444444454
213 2 9 11 0.051255555555555575
214 2 9 12 0.16727222222222227
215 2 9 13 0.15210388888888893
216 2 9 14 0.24957444444444454
217 2 9 15 0.04798166666666667
218 2 9 16 -0.07820555555555556
219 2 9 17 -0.010507833333333346
220 2 9 18 0.1371444444444445
221 2 10 11 -0.00793499999999999
222 2 10 12 -0.21057388888888895
223 2 10 13 0.13540833333333335
224 2 10 14 0.044973333333333344
225 2 10 15 -0.2916144444444445
226 2 10 16 0.003531666666666662
227 2 10 17 -0.20607277777777785
228 2 10 18 0.18210388888888893
229 2 11 12 -0.13504444444444447
230 2 11 13 -0.027301111111111116
231 2 11 14 -0.021772222222222238
232 2 11 15 0.20717611111111117
233 2 11 16 0.13532777777777782
234 2 11 17 -0.16220000000000004
235 2 11 18 0.14468444444444448
236 2 12 13 0.21984888888888893
237 2 12 14 -0.02364444444444446
238 2 12 15 0.18423722222222225
239 2 12 16 -0.10777222222222226
240 2 12 17 -0.2053944444444445
241 2 12 18 0.3494611111111112
242 2 13 14 0.06995444444444444
243 2 13 15 0.01033833333333333
244 2 13 16 -0.20616722222222228
245 2 13 17 -0.16522444444444453
246 2 13 18 -0.03959333333333334
247 2 14 15 -0.12559111111111115
248 2 14 16 -0.2365166666666667
249 2 14 17 -0.22939783333333344
250 2 14 18 -0.1521166666666667
251 2 15 16 -0.09697666666666667
252 2 15 17 0.06711277777777779
253 2 15 18 0.08499733333333334
254 2 16 17 0.011611111111111093
255 2 16 18 0.1024
256 2 17 18 0.4416944444444445
257 3 4 5 -0.17163055555555562
258 3 4 6 -0.24757611111111116
259 3 4 7 0.12882944444444447
260 3 4 8 -0.09348722222222225
261 3 4 9 -0.11356166666666669
262 3 4 10 -0.07927055555555558
263 3 4 11 0.06919611111111112
264 3 4 12 -0.13006666666666666
265 3 4 13 -0.16713722222222227
266 3 4 14 -0.29339277777777784
267 3 4 15 -0.09116500000000001
268 3 4 16 -0.05297944444444446
269 3 4 17 0.02005944444444445
270 3 4 18 -0.06902444444444446
271 3 5 6 -0.20001222222222229
272 3 5 7 0.18247666666666668
273 3 5 8 0.020183888888888894
274 3 5 9 0.02680444444444445
275 3 5 10 -0.059617777777777804
276 3 5 11 0.21716555555555564
277 3 5 12 -0.11241944444444449
278 3 5 13 0.08201555555555558
279 3 5 14 -0.061206666666666666
