l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 7.5379 3.0160369999999994 4.521863 4.440892098500626e-16
2 1 3 1.2383 1.1623799999999997 0.07591999999999997 2.220446049250313e-16
3 2 3 -2.3627 -1.8536569999999994 -0.5090429999999999 -4.440892098500626e-16
4 1 4 -0.60588 0.4770660999999998 -1.0829460999999996 -2.220446049250313e-16
5 2 4 -5.285 -2.5389708999999994 -2.7460291 -8.881784197001252e-16
6 3 4 0.18733 -0.6853138999999999 0.8726439000000001 -2.220446049250313e-16
7 1 5 -0.62832 0.6113083499999997 -1.2396283500000003 5.551115123125783e-16
8 2 5 -0.68818 -2.4047286499999996 1.71654865 -4.440892098500626e-16
9 3 5 -3.6197 -0.55107165 -3.0686283500000004 5.551115123125783e-16
10 4 5 -0.59307 0.13424224999999995 -0.7273122500000002 2.7755575615628914e-16
11 1 6 2.6373 0.8890220499999996 1.7482779500000005 1.1102230246251565e-16
12 2 6 -0.91161 -2.1270149499999995 1.21540495 -4.440892098500626e-16
13 3 6 -0.20527 -0.2733579500000002 0.06808794999999992 2.220446049250313e-16
14 4 6 3.0701 0.4119559499999998 2.65814405 5.551115123125783e-17
15 5 6 1.6393 0.27771369999999984 1.3615863000000001 0.0
16 1 7 2.8779 1.7819604499999995 1.0959395500000002 2.220446049250313e-16
17 2 7 -1.8493 -1.2340765499999997 -0.61522345 -2.220446049250313e-16
18 3 7 0.58795 0.6195804499999997 -0.03163044999999999 2.220446049250313e-16
19 4 7 1.2852 1.3048943499999996 -0.01969435000000011 4.440892098500626e-16
20 5 7 0.5196 1.1706520999999999 -0.6510520999999999 0.0
21 6 7 0.028539 0.8929383999999999 -0.8643994000000002 2.220446049250313e-16
22 1 8 1.6784 0.5377004999999997 1.1406994999999998 4.440892098500626e-16
23 2 8 -0.5989 -2.4783364999999997 1.8794365 -4.440892098500626e-16
24 3 8 -3.6235 -0.6246795 -2.9988205 0.0
25 4 8 4.0486 0.060634399999999866 3.9879656 6.661338147750939e-16
26 5 8 -3.7571 -0.07360785000000009 -3.6834921499999997 -5.551115123125783e-17
27 6 8 0.40333 -0.3513215499999999 0.7546515500000001 -1.1102230246251565e-16
28 7 8 -1.3313 -1.2442599499999998 -0.08704004999999995 -2.220446049250313e-16
29 1 9 1.8995 0.4084861949999997 1.4910138050000001 1.1102230246251565e-16
30 2 9 0.65105 -2.6075508049999994 3.258600805 -4.440892098500626e-16
31 3 9 0.58594 -0.7538938050000001 1.3398338050000003 -1.1102230246251565e-16
32 4 9 0.57164 -0.06857990500000011 0.640219905 1.1102230246251565e-16
33 5 9 0.090503 -0.20282215500000006 0.293325155 5.551115123125783e-17
34 6 9 -0.48249 -0.4805358549999999 -0.001954144999999935 -1.6653345369377348e-16
35 7 9 -1.8657 -1.3734742549999999 -0.49222574499999966 -4.440892098500626e-16
36 8 9 1.6379 -0.12921430499999997 1.767114305 -1.1102230246251565e-16
37 1 10 -1.1606 -0.2275312000000002 -0.9330688 1.6653345369377348e-16
38 2 10 -1.4345 -3.2435681999999995 1.8090682 -8.881784197001252e-16
39 3 10 1.2234 -1.3899112 2.6133112 0.0
40 4 10 -2.1989 -0.7045973000000001 -1.4943027000000002 2.220446049250313e-16
41 5 10 1.5771 -0.83883955 2.4159395500000005 -5.551115123125783e-16
42 6 10 0.85501 -1.11655325 1.9715632500000002 -2.220446049250313e-16
43 7 10 -1.5088 -2.0094916499999997 0.5006916500000002 -4.440892098500626e-16
44 8 10 -1.3178 -0.7652317 -0.5525683 -1.1102230246251565e-16
45 9 10 1.3549 -0.6360173949999999 1.9909173950000003 -4.440892098500626e-16
46 1 11 0.93899 -0.12094404500000015 1.0599340449999999 2.636779683484747e-16
47 2 11 -5.9169 -3.1369810449999993 -2.7799189550000007 0.0
48 3 11 0.28262 -1.2833240449999999 1.5659440450000002 -2.220446049250313e-16
49 4 11 -3.71 -0.5980101449999999 -3.1119898549999996 -4.440892098500626e-16
50 5 11 1.8831 -0.732252395 2.615352395 0.0
51 6 11 -3.435 -1.0099660949999998 -2.4250339050000003 0.0
52 7 11 -0.40589 -1.9029044949999996 1.4970144950000002 -4.440892098500626e-16
53 8 11 -2.266 -0.6586445449999998 -1.607355455 -2.220446049250313e-16
54 9 11 0.0067291 -0.5294302399999998 0.53615934 -1.1102230246251565e-16
55 10 11 2.2578 0.10658715500000007 2.1512128450000003 -3.608224830031759e-16
56 1 12 3.0783 0.6397999999999997 2.4385000000000003 0.0
57 2 12 -2.7296 -2.3762369999999997 -0.353363 -4.440892098500626e-16
58 3 12 -2.903 -0.52258 -2.3804200000000004 4.440892098500626e-16
59 4 12 -1.0051 0.16273389999999993 -1.1678339000000002 1.6653345369377348e-16
60 5 12 -1.9744 0.02849164999999998 -2.00289165 1.1102230246251565e-16
61 6 12 -1.6792 -0.24922204999999986 -1.4299779499999998 -3.3306690738754696e-16
62 7 12 0.83094 -1.1421604499999998 1.9731004499999998 0.0
63 8 12 -0.30439 0.10209950000000007 -0.4064894999999999 -1.6653345369377348e-16
64 9 12 1.2852 0.23131380500000004 1.053886195 -1.6653345369377348e-16
65 10 12 2.7643 0.8673312 1.8969687999999996 4.440892098500626e-16
66 11 12 0.92535 0.7607440449999999 0.16460595500000008 0.0
67 1 13 2.3893 0.15145889999999984 2.2378411000000002 -1.1102230246251565e-16
68 2 13 0.56822 -2.8645780999999992 3.4327981 -8.881784197001252e-16
69 3 13 0.11899 -1.0109211 1.1299111 0.0
70 4 13 0.060378 -0.3256072 0.38598520000000003 -5.551115123125783e-17
71 5 13 -0.15292 -0.45984944999999994 0.30692944999999994 0.0
72 6 13 1.7834 -0.7375631499999997 2.52096315 -2.220446049250313e-16
73 7 13 -1.6762 -1.6305015499999997 -0.045698449999999946 -2.220446049250313e-16
74 8 13 -1.3357 -0.38624159999999985 -0.9494584000000001 -1.1102230246251565e-16
75 9 13 0.39759 -0.2570272949999999 0.6546172950000001 -2.220446049250313e-16
76 10 13 1.7552 0.37899010000000005 1.3762099 -5.551115123125783e-17
77 11 13 -3.8039 0.27240294499999995 -4.076302945000001 9.992007221626409e-16
