t i j k u[t]
1 1 2 3 0.196845
2 1 2 4 0.14293899999999998
3 1 2 5 0.373902
4 1 2 6 0.19944949999999995
5 1 2 7 0.14053500000000002
6 1 2 8 0.26303000000000004
7 1 2 9 0.3144725
8 1 2 10 0.3632
9 1 2 11 0.0341005
10 1 2 12 0.0865
11 1 2 13 0.285841
12 1 2 14 0.20388000000000003
13 1 2 15 0.3278935
14 1 2 16 0.17887999999999996
15 1 2 17 0.17180999999999993
16 1 2 18 0.5616249999999999
17 1 2 19 0.28824
18 1 2 20 0.38871999999999995
19 1 3 4 0.1015755
20 1 3 5 -0.08765400000000001
21 1 3 6 -0.08021350000000002
22 1 3 7 -0.0525825
23 1 3 8 -0.20318000000000003
24 1 3 9 -0.003763
25 1 3 10 0.181115
26 1 3 11 0.0290965
27 1 3 12 -0.23715000000000003
28 1 3 13 -0.05160050000000001
29 1 3 14 0.211363
30 1 3 15 -0.06875149999999998
31 1 3 16 0.003385000000000016
32 1 3 17 0.07508999999999998
33 1 3 18 0.239755
34 1 3 19 0.09147000000000001
35 1 3 20 0.12481
36 1 4 5 -0.0285315
37 1 4 6 -0.008654000000000005
38 1 4 7 -0.10992899999999999
39 1 4 8 0.08821600000000002
40 1 4 9 -0.096687
41 1 4 10 -0.082209
42 1 4 11 -0.2627435
43 1 4 12 -0.23446400000000003
44 1 4 13 -0.1467401
45 1 4 14 0.027606
46 1 4 15 -0.12504550000000003
47 1 4 16 -0.067699
48 1 4 17 0.023650999999999988
49 1 4 18 0.20362600000000006
50 1 4 19 -0.013993999999999996
51 1 4 20 -0.004834000000000005
52 1 5 6 -0.08131600000000001
53 1 5 7 -0.149331
54 1 5 8 -0.303191
55 1 5 9 -0.12186585000000001
56 1 5 10 0.10546899999999998
57 1 5 11 0.0157895
58 1 5 12 -0.284051
59 1 5 13 -0.158527
60 1 5 14 0.047289
61 1 5 15 -0.11285750000000003
62 1 5 16 -0.032531
63 1 5 17 0.043073999999999994
64 1 5 18 0.05767400000000005
65 1 5 19 -0.033875999999999996
66 1 5 20 0.026339
67 1 6 7 -0.010603049999999985
68 1 6 8 0.06811150000000002
69 1 6 9 0.012765500000000013
70 1 6 10 0.23264550000000003
71 1 6 11 -0.0868345
72 1 6 12 -0.10601
73 1 6 13 0.10157000000000004
74 1 6 14 0.22676500000000005
75 1 6 15 0.3131185000000001
76 1 6 16 0.27004
77 1 6 17 0.26017049999999997
78 1 6 18 0.28585000000000005
79 1 6 19 0.06468
80 1 6 20 0.14527500000000002
81 1 7 8 -0.006589999999999996
82 1 7 9 -0.044365
83 1 7 10 0.12648500000000001
84 1 7 11 0.07665100000000001
85 1 7 12 0.031527
86 1 7 13 -0.05938
87 1 7 14 0.06547499999999999
88 1 7 15 -0.042736500000000024
89 1 7 16 -0.04759500000000001
90 1 7 17 0.27180750000000004
91 1 7 18 0.39725000000000005
92 1 7 19 -0.10659
93 1 7 20 0.25209000000000004
94 1 8 9 0.07084
95 1 8 10 0.07606
96 1 8 11 -0.07632950000000001
97 1 8 12 -0.08521450000000001
98 1 8 13 -0.10233000000000002
99 1 8 14 0.15600999999999995
100 1 8 15 0.146929
101 1 8 16 0.10846099999999997
102 1 8 17 0.13813499999999998
103 1 8 18 0.31961000000000006
104 1 8 19 -0.015575000000000006
105 1 8 20 0.3105
106 1 9 10 0.22075
107 1 9 11 0.048361955
108 1 9 12 0.005319999999999991
109 1 9 13 -0.004610500000000001
110 1 9 14 0.19538000000000003
111 1 9 15 -0.06861149999999998
112 1 9 16 0.11573850000000001
113 1 9 17 0.21606750000000002
114 1 9 18 0.4570585000000001
115 1 9 19 0.12730000000000002
116 1 9 20 0.3096565
117 1 10 11 0.007910499999999999
118 1 10 12 -0.07373
119 1 10 13 -0.089735
120 1 10 14 0.004664999999999986
121 1 10 15 -0.1350365
122 1 10 16 0.054395
123 1 10 17 0.09925949999999999
124 1 10 18 0.24062300000000003
125 1 10 19 0.0426902
126 1 10 20 0.139405
127 1 11 12 -0.060698000000000016
128 1 11 13 -0.2627105
129 1 11 14 0.1378895
130 1 11 15 0.109958
131 1 11 16 0.09442600000000001
132 1 11 17 0.2217895
133 1 11 18 0.314839
134 1 11 19 0.0585245
135 1 11 20 0.23191850000000003
136 1 12 13 -0.08409
137 1 12 14 0.2888575
138 1 12 15 0.09979350000000001
139 1 12 16 0.097875
140 1 12 17 0.08631000000000003
