t i j k u[t]=u_ijk
1 1 2 3 0.0011150000000000216
2 1 2 4 0.07398350000000004
3 1 2 5 0.09465999999999998
4 1 2 6 0.07075000000000001
5 1 2 7 0.2842490000000001
6 1 2 8 -0.004894999999999983
7 1 2 9 0.13993750000000002
8 1 2 10 0.09184500000000004
9 1 2 11 -0.022594000000000003
10 1 2 12 -0.002454000000000001
11 1 2 13 -0.04793999999999999
12 1 2 14 -0.059454999999999994
13 1 2 15 0.14037000000000002
14 1 2 16 0.0006400000000000184
15 1 2 17 0.19074500000000005
16 1 2 18 0.33658000000000005
17 1 2 19 0.33238000000000006
18 1 2 20 0.074205
19 1 3 4 0.06597850000000001
20 1 3 5 -0.009065000000000012
21 1 3 6 -0.09741500000000002
22 1 3 7 0.065689
23 1 3 8 -0.14920000000000003
24 1 3 9 -0.10620100000000002
25 1 3 10 -0.09670500000000003
26 1 3 11 -0.008779000000000004
27 1 3 12 -0.06396900000000001
28 1 3 13 -0.049835000000000004
29 1 3 14 0.15589550000000002
30 1 3 15 0.019904999999999996
31 1 3 16 0.04044999999999999
32 1 3 17 -0.09312000000000005
33 1 3 18 0.29779
34 1 3 19 0.13848
35 1 3 20 0.0010949999999999795
36 1 4 5 -0.16306850000000003
37 1 4 6 -0.0786835
38 1 4 7 0.003545500000000003
39 1 4 8 -0.10253550000000002
40 1 4 9 -0.07420000000000002
41 1 4 10 -0.0982185
42 1 4 11 -0.22662250000000003
43 1 4 12 -0.17489750000000004
44 1 4 13 -0.3242735
45 1 4 14 0.004706500000000003
46 1 4 15 0.0032015000000000017
47 1 4 16 -0.0702835
48 1 4 17 0.044891500000000015
49 1 4 18 0.19575650000000003
50 1 4 19 0.03362149999999997
51 1 4 20 -0.022963499999999994
52 1 5 6 -0.09852000000000001
53 1 5 7 -0.018011
54 1 5 8 -0.24630500000000002
55 1 5 9 0.008274000000000005
56 1 5 10 -0.0003449999999999953
57 1 5 11 -0.1249375
58 1 5 12 -0.188674
59 1 5 13 -0.1596415
60 1 5 14 0.028776000000000017
61 1 5 15 0.028312500000000015
62 1 5 16 -0.053113499999999994
63 1 5 17 0.06499680000000001
64 1 5 18 0.13642500000000005
65 1 5 19 0.0953745
66 1 5 20 -0.054887000000000005
67 1 6 7 0.057444
68 1 6 8 0.018283
69 1 6 9 0.07008400000000001
70 1 6 10 0.003925000000000001
71 1 6 11 -0.07756400000000001
72 1 6 12 0.003171000000000002
73 1 6 13 -0.005389499999999995
74 1 6 14 0.0024450000000000084
75 1 6 15 0.20489800000000005
76 1 6 16 0.08198000000000001
77 1 6 17 0.20627199999999998
78 1 6 18 0.11995500000000005
79 1 6 19 0.08063999999999996
80 1 6 20 0.12810250000000004
81 1 7 8 -0.254099
82 1 7 9 -0.22628500000000004
83 1 7 10 0.0027259999999999984
84 1 7 11 0.0402295
85 1 7 12 -0.09315800000000002
86 1 7 13 -0.4252190000000001
87 1 7 14 -0.115884
88 1 7 15 -0.01697899999999999
89 1 7 16 -0.191334
90 1 7 17 0.057276
91 1 7 18 0.247896
92 1 7 19 0.05788599999999999
93 1 7 20 -0.02357900000000001
94 1 8 9 -0.035571
95 1 8 10 0.13311350000000002
96 1 8 11 0.014410999999999998
97 1 8 12 -0.08190900000000001
98 1 8 13 -0.056035
99 1 8 14 0.13790000000000002
100 1 8 15 0.14738500000000002
101 1 8 16 0.02479499999999999
102 1 8 17 -0.019830000000000018
103 1 8 18 0.24370000000000006
104 1 8 19 0.05341999999999999
105 1 8 20 0.2160755
106 1 9 10 0.011090999999999997
107 1 9 11 -0.15682300000000002
108 1 9 12 0.006978500000000002
109 1 9 13 -0.13572900000000002
110 1 9 14 0.10199700000000002
111 1 9 15 0.00623100000000001
112 1 9 16 0.031886
113 1 9 17 0.085316
114 1 9 18 0.222486
115 1 9 19 0.07583100000000001
116 1 9 20 -0.05708399999999999
117 1 10 11 -0.0419015
118 1 10 12 -0.035702000000000005
119 1 10 13 -0.021434999999999996
120 1 10 14 -0.054299999999999994
121 1 10 15 0.04795100000000001
122 1 10 16 0.027439250000000002
123 1 10 17 0.036789999999999996
124 1 10 18 0.11221499999999998
125 1 10 19 0.11737
126 1 10 20 -0.08765
127 1 11 12 0.027045000000000007
