l i j f[l] s[l] h[l]
1 1 2 4.0728 2.3609505 6.661338147750939e-16
2 1 3 1.1787 2.3609505 6.661338147750939e-16
3 2 3 -0.6886 0.5548077 2.220446049250313e-16
4 1 4 -1.3646 2.3609505 6.661338147750939e-16
5 2 4 -0.79761 0.5548077 2.220446049250313e-16
6 3 4 -0.074591 0.3993571999999999 -4.440892098500626e-16
7 1 5 -1.1158 2.3609505 6.661338147750939e-16
8 2 5 -2.6652 0.5548077 2.220446049250313e-16
9 3 5 -2.6655 0.3993571999999999 -4.440892098500626e-16
10 4 5 -1.4353 -1.8995648000000003 4.440892098500626e-16
11 1 6 0.40788 2.3609505 6.661338147750939e-16
12 2 6 -1.3791 0.5548077 2.220446049250313e-16
13 3 6 0.50015 0.3993571999999999 -4.440892098500626e-16
14 4 6 0.93414 -1.8995648000000003 4.440892098500626e-16
15 5 6 0.58364 0.37927469999999985 -4.440892098500626e-16
16 1 7 0.91076 2.3609505 6.661338147750939e-16
17 2 7 -1.3726 0.5548077 2.220446049250313e-16
18 3 7 0.51459 0.3993571999999999 -4.440892098500626e-16
19 4 7 -1.0542 -1.8995648000000003 4.440892098500626e-16
20 5 7 -1.7254 0.37927469999999985 -4.440892098500626e-16
21 6 7 -0.87171 0.014336500000000094 -5.551115123125783e-17
22 1 8 1.4766 2.3609505 6.661338147750939e-16
23 2 8 -1.4437 0.5548077 2.220446049250313e-16
24 3 8 0.040142 0.3993571999999999 -4.440892098500626e-16
25 4 8 1.2246 -1.8995648000000003 4.440892098500626e-16
26 5 8 -1.3676 0.37927469999999985 -4.440892098500626e-16
27 6 8 -0.19401 0.014336500000000094 -5.551115123125783e-17
28 7 8 -1.7402 -0.5788589999999999 0.0
29 1 9 -2.6387 2.3609505 6.661338147750939e-16
30 2 9 -1.4438 0.5548077 2.220446049250313e-16
31 3 9 -0.90263 0.3993571999999999 -4.440892098500626e-16
32 4 9 -3.7532 -1.8995648000000003 4.440892098500626e-16
33 5 9 -2.7168 0.37927469999999985 -4.440892098500626e-16
34 6 9 -2.3035 0.014336500000000094 -5.551115123125783e-17
35 7 9 -2.4114 -0.5788589999999999 0.0
36 8 9 -3.7218 -0.41640949999999993 -8.881784197001252e-16
37 1 10 -1.9089 2.3609505 6.661338147750939e-16
38 2 10 -3.4425 0.5548077 2.220446049250313e-16
39 3 10 -5.0599 0.3993571999999999 -4.440892098500626e-16
40 4 10 -3.0039 -1.8995648000000003 4.440892098500626e-16
41 5 10 -2.2289 0.37927469999999985 -4.440892098500626e-16
42 6 10 -3.3331 0.014336500000000094 -5.551115123125783e-17
43 7 10 -1.216 -0.5788589999999999 0.0
44 8 10 -0.45477 -0.41640949999999993 -8.881784197001252e-16
45 9 10 -0.24017 -1.5046667000000002 -2.220446049250313e-16
46 1 11 -0.87504 2.3609505 6.661338147750939e-16
47 2 11 -4.2827 0.5548077 2.220446049250313e-16
48 3 11 -3.1693 0.3993571999999999 -4.440892098500626e-16
