t i j k u[t]=u_ijk
1 1 2 3 0.11027499999999998
2 1 2 4 0.23198950000000002
3 1 2 5 0.12617
4 1 2 6 0.11429100000000002
5 1 2 7 0.08947200000000001
6 1 2 8 0.057625
7 1 2 9 0.263385
8 1 2 10 0.12696
9 1 2 11 0.033257
10 1 2 12 0.013681000000000009
11 1 2 13 -0.027125
12 1 2 14 -0.008995000000000041
13 1 2 15 0.21087499999999998
14 1 2 16 0.17781499999999997
15 1 2 17 0.2765
16 1 2 18 0.20507000000000003
17 1 2 19 0.14681499999999997
18 1 2 20 0.21289
19 1 3 4 0.12343545000000002
20 1 3 5 -0.01855
21 1 3 6 0.06354850000000001
22 1 3 7 0.039126499999999995
23 1 3 8 -0.01288789999999999
24 1 3 9 0.1457385
25 1 3 10 -0.09861499999999998
26 1 3 11 -0.05577799999999997
27 1 3 12 -0.04246399999999999
28 1 3 13 -0.33568499999999996
29 1 3 14 0.18948599999999996
30 1 3 15 0.10887999999999998
31 1 3 16 0.19384314999999996
32 1 3 17 -0.09148999999999997
33 1 3 18 0.29368
34 1 3 19 0.06903
35 1 3 20 0.0937845
36 1 4 5 -0.084205
37 1 4 6 -0.041917
38 1 4 7 -0.166478
39 1 4 8 -0.08082999999999999
40 1 4 9 -0.123955
41 1 4 10 -0.12298
42 1 4 11 -0.165793
43 1 4 12 -0.23910899999999996
44 1 4 13 -0.22593434999999998
45 1 4 14 0.05336799999999999
46 1 4 15 -0.160075
47 1 4 16 -0.15860000000000002
48 1 4 17 0.020635
49 1 4 18 0.07255
50 1 4 19 -0.10629000000000001
51 1 4 20 -0.014526500000000001
52 1 5 6 -0.04700199999999999
53 1 5 7 -0.187598
54 1 5 8 -0.19799999999999995
55 1 5 9 -0.05969499999999999
56 1 5 10 -0.07178999999999999
57 1 5 11 -0.04157699999999999
58 1 5 12 -0.083144
59 1 5 13 -0.27734499999999995
60 1 5 14 0.07623600000000001
61 1 5 15 0.018720000000000004
62 1 5 16 0.010529999999999994
63 1 5 17 0.16726
64 1 5 18 0.22762049999999998
65 1 5 19 -0.07659499999999998
66 1 5 20 -0.013064499999999995
67 1 6 7 -0.0687295
68 1 6 8 -0.06313649999999998
69 1 6 9 0.037154
70 1 6 10 -0.05081599999999999
71 1 6 11 -0.04602399999999999
72 1 6 12 -0.012354999999999998
73 1 6 13 -0.162791
74 1 6 14 0.14816549999999998
75 1 6 15 0.16743349999999999
76 1 6 16 0.04626399999999999
77 1 6 17 0.21140150000000002
78 1 6 18 0.11910899999999999
79 1 6 19 -0.064011
80 1 6 20 0.046945
81 1 7 8 -0.11530199999999999
82 1 7 9 0.056902999999999995
83 1 7 10 0.08018299999999999
84 1 7 11 0.07975049999999999
85 1 7 12 0.0794755
86 1 7 13 -0.277567
87 1 7 14 0.213498
88 1 7 15 0.210539
89 1 7 16 0.07032799999999999
90 1 7 17 0.15341149999999998
91 1 7 18 0.35356849999999995
92 1 7 19 0.16560149999999998
93 1 7 20 0.0699215
94 1 8 9 0.019674999999999977
95 1 8 10 0.1465365
96 1 8 11 0.029696999999999984
97 1 8 12 -0.08142399999999997
98 1 8 13 -0.151425
99 1 8 14 0.17374
100 1 8 15 0.28379
101 1 8 16 0.03493999999999997
102 1 8 17 0.07833500000000003
103 1 8 18 0.35012750000000004
104 1 8 19 -0.037195
105 1 8 20 0.029204999999999988
106 1 9 10 -0.0484985
107 1 9 11 -0.19887800000000003
108 1 9 12 -0.010998999999999991
109 1 9 13 -0.10585500000000003
110 1 9 14 0.07312999999999999
111 1 9 15 -0.07949500000000001
112 1 9 16 0.10568999999999999
113 1 9 17 -0.13466
114 1 9 18 0.1389735
115 1 9 19 -0.100885
116 1 9 20 0.019379999999999998
117 1 10 11 0.0025070000000000036
118 1 10 12 -0.05424099999999999
119 1 10 13 -0.22487549999999995
120 1 10 14 -0.0002450000000000063
121 1 10 15 -0.009650000000000013
122 1 10 16 0.008972999999999986
123 1 10 17 -0.20002
124 1 10 18 0.10583500000000001
125 1 10 19 -0.03534250000000001
126 1 10 20 -0.11797499999999998
127 1 11 12 -0.07282599999999999
128 1 11 13 -0.373697
129 1 11 14 0.12157015
130 1 11 15 0.19150799999999998
131 1 11 16 -0.049752000000000005
