l i j f[l] s[l] h[l]
1 1 2 3.5767 3.44815125 4.440892098500626e-16
2 1 3 1.2922 3.44815125 4.440892098500626e-16
3 2 3 -0.73412 1.4898815 -2.220446049250313e-16
4 1 4 -1.0649 3.44815125 4.440892098500626e-16
5 2 4 -1.5073 1.4898815 -2.220446049250313e-16
6 3 4 0.37779 -0.40788975 -3.885780586188048e-16
7 1 5 -2.7648 3.44815125 4.440892098500626e-16
8 2 5 -1.4496 1.4898815 -2.220446049250313e-16
9 3 5 -2.4749 -0.40788975 -3.885780586188048e-16
10 4 5 -2.9044 -0.22695050000000003 4.440892098500626e-16
11 1 6 0.44234 3.44815125 4.440892098500626e-16
12 2 6 0.097505 1.4898815 -2.220446049250313e-16
13 3 6 -0.512 -0.40788975 -3.885780586188048e-16
14 4 6 2.7372 -0.22695050000000003 4.440892098500626e-16
15 5 6 -0.41598 -0.5408017499999999 -1.1102230246251565e-16
16 1 7 -1.2312 3.44815125 4.440892098500626e-16
17 2 7 -0.13605 1.4898815 -2.220446049250313e-16
18 3 7 -1.4482 -0.40788975 -3.885780586188048e-16
19 4 7 -0.12851 -0.22695050000000003 4.440892098500626e-16
20 5 7 -1.2512 -0.5408017499999999 -1.1102230246251565e-16
21 6 7 -0.64754 1.018058 6.661338147750939e-16
22 1 8 -0.41586 3.44815125 4.440892098500626e-16
23 2 8 -1.3599 1.4898815 -2.220446049250313e-16
24 3 8 -2.6989 -0.40788975 -3.885780586188048e-16
25 4 8 3.7608 -0.22695050000000003 4.440892098500626e-16
26 5 8 -2.5773 -0.5408017499999999 -1.1102230246251565e-16
27 6 8 0.11764 1.018058 6.661338147750939e-16
28 7 8 -0.67441 -1.4678965000000004 2.220446049250313e-16
29 1 9 -2.0828 3.44815125 4.440892098500626e-16
30 2 9 0.73827 1.4898815 -2.220446049250313e-16
31 3 9 -3.3005 -0.40788975 -3.885780586188048e-16
32 4 9 -1.5027 -0.22695050000000003 4.440892098500626e-16
33 5 9 -1.735 -0.5408017499999999 -1.1102230246251565e-16
34 6 9 -2.3301 1.018058 6.661338147750939e-16
35 7 9 -3.8889 -1.4678965000000004 2.220446049250313e-16
36 8 9 -0.70414 -0.024147750000000148 0.0
37 1 10 -2.9751 3.44815125 4.440892098500626e-16
38 2 10 -2.3346 1.4898815 -2.220446049250313e-16
39 3 10 -1.1685 -0.40788975 -3.885780586188048e-16
40 4 10 -1.4216 -0.22695050000000003 4.440892098500626e-16
41 5 10 -0.84915 -0.5408017499999999 -1.1102230246251565e-16
42 6 10 -2.1497 1.018058 6.661338147750939e-16
43 7 10 -0.14729 -1.4678965000000004 2.220446049250313e-16
44 8 10 -0.91096 -0.024147750000000148 0.0
45 9 10 -0.56688 -1.375678 2.220446049250313e-16
46 1 11 -2.1664 3.44815125 4.440892098500626e-16
47 2 11 -5.8083 1.4898815 -2.220446049250313e-16
48 3 11 -3.334 -0.40788975 -3.885780586188048e-16
49 4 11 -6.7978 -0.22695050000000003 4.440892098500626e-16
50 5 11 -1.724 -0.5408017499999999 -1.1102230246251565e-16
51 6 11 -3.7556 1.018058 6.661338147750939e-16
52 7 11 0.83016 -1.4678965000000004 2.220446049250313e-16
53 8 11 -2.4887 -0.024147750000000148 0.0
54 9 11 -2.5103 -1.375678 2.220446049250313e-16
55 10 11 0.081738 -2.4454459999999996 -5.551115123125783e-16
56 1 12 -1.7393 3.44815125 4.440892098500626e-16
57 2 12 -4.8446 1.4898815 -2.220446049250313e-16
58 3 12 -1.5415 -0.40788975 -3.885780586188048e-16
59 4 12 -2.3763 -0.22695050000000003 4.440892098500626e-16
60 5 12 -1.43 -0.5408017499999999 -1.1102230246251565e-16
61 6 12 -2.8976 1.018058 6.661338147750939e-16
62 7 12 0.44054 -1.4678965000000004 2.220446049250313e-16
63 8 12 -4.329 -0.024147750000000148 0.0
64 9 12 1.5542 -1.375678 2.220446049250313e-16
65 10 12 1.8357 -2.4454459999999996 -5.551115123125783e-16
66 11 12 -0.31603 1.0100932499999997 4.440892098500626e-16
67 1 13 0.488 3.44815125 4.440892098500626e-16
68 2 13 -1.5756 1.4898815 -2.220446049250313e-16
69 3 13 -1.0213 -0.40788975 -3.885780586188048e-16
70 4 13 -1.6506 -0.22695050000000003 4.440892098500626e-16
71 5 13 -1.2182 -0.5408017499999999 -1.1102230246251565e-16
72 6 13 0.73824 1.018058 6.661338147750939e-16
73 7 13 -4.77 -1.4678965000000004 2.220446049250313e-16
74 8 13 -1.8985 -0.024147750000000148 0.0
75 9 13 0.78412 -1.375678 2.220446049250313e-16
76 10 13 1.3507 -2.4454459999999996 -5.551115123125783e-16
77 11 13 -0.61107 1.0100932499999997 4.440892098500626e-16
78 12 13 -2.1793 0.7938069999999999 0.0
