t i j k u[t]=u_ijk
1 1 2 3 0.07751900000000002
2 1 2 4 0.15671500000000002
3 1 2 5 0.24459499999999998
4 1 2 6 0.16159325
5 1 2 7 0.23359249999999998
6 1 2 8 0.131633
7 1 2 9 0.3198885
8 1 2 10 0.21086
9 1 2 11 -0.003259999999999996
10 1 2 12 0.023570000000000042
11 1 2 13 0.07565500000000001
12 1 2 14 0.21209999999999998
13 1 2 15 0.29847
14 1 2 16 0.15027499999999996
15 1 2 17 0.25531
16 1 2 18 0.411765
17 1 2 19 0.3596749999999999
18 1 2 20 0.12819499999999998
19 1 3 4 0.1367445
20 1 3 5 0.07910500000000002
21 1 3 6 0.016893000000000002
22 1 3 7 0.05376000000000001
23 1 3 8 -0.04954199999999999
24 1 3 9 0.0037250000000000004
25 1 3 10 0.15494
26 1 3 11 0.00622999999999998
27 1 3 12 0.0745
28 1 3 13 -0.010855000000000004
29 1 3 14 0.19018000000000002
30 1 3 15 0.200115
31 1 3 16 0.046520000000000006
32 1 3 17 -0.013854999999999994
33 1 3 18 0.45130499999999996
34 1 3 19 0.18173999999999998
35 1 3 20 0.04589500000000001
36 1 4 5 -0.06022499999999998
37 1 4 6 0.061498000000000004
38 1 4 7 0.001889500000000005
39 1 4 8 0.155588
40 1 4 9 -0.02423999999999998
41 1 4 10 0.024429999999999997
42 1 4 11 -0.284815
43 1 4 12 -0.08509499999999999
44 1 4 13 -0.160175
45 1 4 14 0.14062
46 1 4 15 0.0775585
47 1 4 16 -0.05928499999999999
48 1 4 17 0.04783500000000001
49 1 4 18 0.199025
50 1 4 19 0.04249499999999999
51 1 4 20 -0.010594999999999999
52 1 5 6 -0.18115599999999998
53 1 5 7 -0.13924
54 1 5 8 -0.246312
55 1 5 9 -0.12084999999999999
56 1 5 10 -0.03194250000000001
57 1 5 11 -0.11612
58 1 5 12 -0.12277499999999998
59 1 5 13 -0.22355
60 1 5 14 0.11339799999999998
61 1 5 15 -0.005691000000000013
62 1 5 16 -0.057175000000000004
63 1 5 17 0.0040519999999999836
64 1 5 18 0.14342499999999997
65 1 5 19 -0.03878500000000002
66 1 5 20 -0.1817
67 1 6 7 0.0513
68 1 6 8 0.048792
