l i j f[l] s[l] h[l]
1 1 2 5.6879 1.8856405000000003 -4.440892098500626e-16
2 1 3 0.8892 1.8856405000000003 -4.440892098500626e-16
3 2 3 -5.1553 0.052963424999999904 0.0
4 1 4 -1.5368 1.8856405000000003 -4.440892098500626e-16
5 2 4 -6.0849 0.052963424999999904 0.0
6 3 4 -0.48737 -2.1892770750000006 4.440892098500626e-16
7 1 5 -1.3531 1.8856405000000003 -4.440892098500626e-16
8 2 5 -5.3316 0.052963424999999904 0.0
9 3 5 -3.2375 -2.1892770750000006 4.440892098500626e-16
10 4 5 -0.20252 -1.5969255 2.220446049250313e-16
11 1 6 1.8569 1.8856405000000003 -4.440892098500626e-16
12 2 6 -0.56358 0.052963424999999904 0.0
13 3 6 0.0011285 -2.1892770750000006 4.440892098500626e-16
14 4 6 2.6731 -1.5969255 2.220446049250313e-16
15 5 6 1.4808 -2.3427660000000006 8.881784197001252e-16
16 1 7 1.1427 1.8856405000000003 -4.440892098500626e-16
17 2 7 -3.3912 0.052963424999999904 0.0
18 3 7 -2.2858 -2.1892770750000006 4.440892098500626e-16
19 4 7 1.2388 -1.5969255 2.220446049250313e-16
20 5 7 -0.93281 -2.3427660000000006 8.881784197001252e-16
21 6 7 0.21382 0.288741075 2.220446049250313e-16
22 1 8 0.70621 1.8856405000000003 -4.440892098500626e-16
23 2 8 -3.3223 0.052963424999999904 0.0
24 3 8 -5.6574 -2.1892770750000006 4.440892098500626e-16
25 4 8 2.7215 -1.5969255 2.220446049250313e-16
26 5 8 -2.0113 -2.3427660000000006 8.881784197001252e-16
27 6 8 -1.6474 0.288741075 2.220446049250313e-16
28 7 8 -2.6128 -0.7800975 0.0
29 1 9 2.4365 1.8856405000000003 -4.440892098500626e-16
30 2 9 -1.3792 0.052963424999999904 0.0
31 3 9 -1.9292 -2.1892770750000006 4.440892098500626e-16
32 4 9 0.47735 -1.5969255 2.220446049250313e-16
33 5 9 0.94905 -2.3427660000000006 8.881784197001252e-16
