l i j f[l] s[l] h[l]
1 1 2 1.4061 0.016405499999999934 0.0
2 1 3 1.3974 0.016405499999999934 0.0
3 2 3 -3.0367 0.8659628999999998 3.3306690738754696e-16
4 1 4 -3.7096 0.016405499999999934 0.0
5 2 4 -1.3186 0.8659628999999998 3.3306690738754696e-16
6 3 4 3.1357 -2.1784425999999995 -6.661338147750939e-16
7 1 5 -1.8974 0.016405499999999934 0.0
8 2 5 -2.8221 0.8659628999999998 3.3306690738754696e-16
9 3 5 1.294 -2.1784425999999995 -6.661338147750939e-16
10 4 5 2.0535 -4.439883999999998 -1.4432899320127035e-15
11 1 6 1.9033 0.016405499999999934 0.0
12 2 6 2.3649 0.8659628999999998 3.3306690738754696e-16
13 3 6 1.0636 -2.1784425999999995 -6.661338147750939e-16
14 4 6 -3.9856 -4.439883999999998 -1.4432899320127035e-15
15 5 6 2.3195 -0.6591894999999995 -3.3306690738754696e-16
16 1 7 0.12026 0.016405499999999934 0.0
17 2 7 -1.5261 0.8659628999999998 3.3306690738754696e-16
18 3 7 0.098188 -2.1784425999999995 -6.661338147750939e-16
19 4 7 -0.76672 -4.439883999999998 -1.4432899320127035e-15
20 5 7 0.55843 -0.6591894999999995 -3.3306690738754696e-16
21 6 7 1.4377 2.936853099999999 8.881784197001252e-16
22 1 8 -0.88511 0.016405499999999934 0.0
23 2 8 -1.0757 0.8659628999999998 3.3306690738754696e-16
24 3 8 -3.1071 -2.1784425999999995 -6.661338147750939e-16
25 4 8 -1.0638 -4.439883999999998 -1.4432899320127035e-15
26 5 8 2.6233 -0.6591894999999995 -3.3306690738754696e-16
27 6 8 2.4961 2.936853099999999 8.881784197001252e-16
28 7 8 1.1306 -1.7266019999999995 -3.885780586188048e-16
29 1 9 0.54317 0.016405499999999934 0.0
30 2 9 -2.7504 0.8659628999999998 3.3306690738754696e-16
31 3 9 -1.3514 -2.1784425999999995 -6.661338147750939e-16
32 4 9 1.3526 -4.439883999999998 -1.4432899320127035e-15
33 5 9 -0.25635 -0.6591894999999995 -3.3306690738754696e-16
34 6 9 1.2052 2.936853099999999 8.881784197001252e-16
35 7 9 -0.54912 -1.7266019999999995 -3.885780586188048e-16
36 8 9 -0.54827 -1.2616074999999995 -2.220446049250313e-16
37 1 10 -1.9459 0.016405499999999934 0.0
38 2 10 -2.9491 0.8659628999999998 3.3306690738754696e-16
39 3 10 -1.8318 -2.1784425999999995 -6.661338147750939e-16
40 4 10 -1.1813 -4.439883999999998 -1.4432899320127035e-15
41 5 10 0.6102 -0.6591894999999995 -3.3306690738754696e-16
42 6 10 0.16065 2.936853099999999 8.881784197001252e-16
43 7 10 -0.066764 -1.7266019999999995 -3.885780586188048e-16
44 8 10 -0.64322 -1.2616074999999995 -2.220446049250313e-16
45 9 10 -2.0327 1.9962350999999992 8.881784197001252e-16
46 1 11 3.6706 0.016405499999999934 0.0
47 2 11 -2.2494 0.8659628999999998 3.3306690738754696e-16
48 3 11 0.88871 -2.1784425999999995 -6.661338147750939e-16
49 4 11 -3.5732 -4.439883999999998 -1.4432899320127035e-15
50 5 11 0.63644 -0.6591894999999995 -3.3306690738754696e-16
51 6 11 -0.69154 2.936853099999999 8.881784197001252e-16
52 7 11 -0.40848 -1.7266019999999995 -3.885780586188048e-16
53 8 11 -0.72125 -1.2616074999999995 -2.220446049250313e-16
54 9 11 0.042856 1.9962350999999992 8.881784197001252e-16
55 10 11 -3.9856 2.9545819999999994 6.661338147750939e-16
56 1 12 -0.51633 0.016405499999999934 0.0
57 2 12 -4.0221 0.8659628999999998 3.3306690738754696e-16
58 3 12 -3.9004 -2.1784425999999995 -6.661338147750939e-16
59 4 12 -4.1091 -4.439883999999998 -1.4432899320127035e-15
60 5 12 -0.36179 -0.6591894999999995 -3.3306690738754696e-16
61 6 12 -1.234 2.936853099999999 8.881784197001252e-16
62 7 12 -2.599 -1.7266019999999995 -3.885780586188048e-16
63 8 12 -1.1366 -1.2616074999999995 -2.220446049250313e-16
64 9 12 -2.4272 1.9962350999999992 8.881784197001252e-16
65 10 12 0.91183 2.9545819999999994 6.661338147750939e-16
66 11 12 -0.87193 2.1541504999999996 4.440892098500626e-16
67 1 13 -2.1063 0.016405499999999934 0.0
68 2 13 -1.1741 0.8659628999999998 3.3306690738754696e-16
69 3 13 -4.3894 -2.1784425999999995 -6.661338147750939e-16
70 4 13 -3.646 -4.439883999999998 -1.4432899320127035e-15
71 5 13 -2.3235 -0.6591894999999995 -3.3306690738754696e-16
72 6 13 -1.3418 2.936853099999999 8.881784197001252e-16
73 7 13 1.9158 -1.7266019999999995 -3.885780586188048e-16
74 8 13 -0.99072 -1.2616074999999995 -2.220446049250313e-16
75 9 13 -2.7541 1.9962350999999992 8.881784197001252e-16
76 10 13 0.5184 2.9545819999999994 6.661338147750939e-16
77 11 13 1.3048 2.1541504999999996 4.440892098500626e-16
78 12 13 -1.7498 4.005444999999998 1.7763568394002505e-15
79 1 14 -0.78746 0.016405499999999934 0.0
