t i j k u[t]
1 1 2 3 -0.15139999999999998
2 1 2 4 0.18985499999999997
3 1 2 5 0.024069999999999987
4 1 2 6 0.09338499999999997
5 1 2 7 -0.012013000000000005
6 1 2 8 0.060775499999999975
7 1 2 9 -0.09437349999999999
8 1 2 10 0.020144999999999982
9 1 2 11 -0.22569499999999992
10 1 2 12 -0.10498349999999998
11 1 2 13 0.11691499999999998
12 1 2 14 0.09224649999999995
13 1 2 15 0.07674999999999994
14 1 2 16 0.08364349999999998
15 1 2 17 -0.16416999999999998
16 1 2 18 -0.23224499999999992
17 1 2 19 0.07138
18 1 2 20 0.17211999999999997
19 1 3 4 0.41213499999999986
20 1 3 5 0.22943999999999995
21 1 3 6 0.027884999999999997
22 1 3 7 0.06876639999999998
23 1 3 8 -0.041229499999999995
24 1 3 9 -0.024858499999999995
25 1 3 10 0.07557499999999999
26 1 3 11 -0.06922449999999998
27 1 3 12 -0.09933349999999998
28 1 3 13 -0.044284999999999984
29 1 3 14 0.029387999999999994
30 1 3 15 0.17657999999999993
31 1 3 16 -0.03234049999999999
32 1 3 17 0.021805
33 1 3 18 -0.10159999999999998
34 1 3 19 -0.009989999999999985
35 1 3 20 0.09584999999999999
36 1 4 5 0.012065
37 1 4 6 -0.4799249999999998
38 1 4 7 -0.22982899999999998
39 1 4 8 -0.19441449999999993
40 1 4 9 -0.14500849999999996
41 1 4 10 -0.14725
42 1 4 11 -0.5476699999999999
43 1 4 12 -0.3651184999999999
44 1 4 13 -0.2624649999999999
45 1 4 14 -0.16301949999999993
46 1 4 15 -0.16099
47 1 4 16 -0.17339899999999997
48 1 4 17 -0.31480499999999995
49 1 4 18 -0.3946899999999999
50 1 4 19 -0.09301499999999999
51 1 4 20 -0.17835999999999996
52 1 5 6 -0.07405999999999997
53 1 5 7 -0.07296149999999997
54 1 5 8 0.08055049999999997
55 1 5 9 -0.13484599999999997
56 1 5 10 0.032934999999999985
57 1 5 11 -0.2465779999999999
58 1 5 12 -0.08714299999999998
59 1 5 13 -0.10572999999999999
60 1 5 14 -0.03767149999999998
61 1 5 15 0.04578799999999998
62 1 5 16 -0.16923549999999996
63 1 5 17 -0.16707999999999995
64 1 5 18 -0.3596749999999999
65 1 5 19 -0.020659999999999994
66 1 5 20 -0.14465999999999998
67 1 6 7 0.16103699999999999
68 1 6 8 0.26422549999999995
69 1 6 9 0.12826649999999995
70 1 6 10 0.20049249999999996
71 1 6 11 -0.12294199999999995
72 1 6 12 0.05928149999999997
73 1 6 13 0.13338999999999995
74 1 6 14 0.09549749999999997
75 1 6 15 0.1879949999999999
76 1 6 16 0.10709399999999998
77 1 6 17 0.14045749999999996
78 1 6 18 -0.015942500000000002
79 1 6 19 0.28918799999999995
80 1 6 20 0.09339499999999995
81 1 7 8 0.10679849999999996
82 1 7 9 -0.048601499999999985
83 1 7 10 0.09996979999999997
84 1 7 11 -0.19794099999999995
85 1 7 12 -0.09812049999999999
86 1 7 13 0.20711799999999994
87 1 7 14 -0.12935899999999997
88 1 7 15 0.10032299999999995
89 1 7 16 0.005866500000000001
90 1 7 17 0.10115749999999998
91 1 7 18 -0.17279199999999997
92 1 7 19 0.08159299999999997
93 1 7 20 0.10210299999999999
94 1 8 9 -0.09882749999999997
95 1 8 10 0.020878499999999987
96 1 8 11 -0.26384799999999986
97 1 8 12 -0.07526899999999999
98 1 8 13 0.011523499999999994
99 1 8 14 -0.11166249999999996
100 1 8 15 -0.05983550000000001
101 1 8 16 0.044340499999999984
102 1 8 17 -0.07242049999999998
103 1 8 18 -0.13512799999999997
104 1 8 19 0.3920394999999999
105 1 8 20 -0.04675049999999999
106 1 9 10 0.02281849999999998
107 1 9 11 -0.15422869999999997
108 1 9 12 -0.06838499999999999
109 1 9 13 -0.00523150000000001
110 1 9 14 0.0362005
111 1 9 15 0.04507849999999999
112 1 9 16 0.04848449999999999
113 1 9 17 0.06191999999999999
114 1 9 18 -0.20094649999999994
115 1 9 19 0.06309349999999998
116 1 9 20 0.05547349999999998
117 1 10 11 -0.4801049999999999
118 1 10 12 -0.02588699999999999
119 1 10 13 0.03393999999999999
120 1 10 14 -0.041671499999999986
121 1 10 15 -0.10351999999999997
122 1 10 16 -0.11659049999999997
123 1 10 17 0.0017350000000000026
124 1 10 18 -0.2896899999999999
125 1 10 19 0.06984649999999998
126 1 10 20 0.016704999999999987
127 1 11 12 0.16574999999999998
128 1 11 13 0.35408499999999987
129 1 11 14 0.18647199999999994
130 1 11 15 0.22948499999999986
131 1 11 16 0.17284949999999996
132 1 11 17 0.22304049999999992
133 1 11 18 0.040989499999999984
134 1 11 19 0.26289499999999993
135 1 11 20 0.17200499999999994
136 1 12 13 -0.007991499999999993
137 1 12 14 0.054700499999999985
138 1 12 15 0.003243499999999998
139 1 12 16 0.03168699999999999
140 1 12 17 -0.002933999999999997
141 1 12 18 -0.09024399999999998
142 1 12 19 0.011203500000000007
143 1 12 20 0.08209349999999997
144 1 13 14 0.04581299999999999
145 1 13 15 0.11705199999999995
146 1 13 16 -0.0084425
147 1 13 17 -0.20889499999999994
148 1 13 18 -0.2880849999999999
149 1 13 19 -0.043605
150 1 13 20 -0.026445
151 1 14 15 0.014591999999999978
152 1 14 16 -0.17380349999999994
153 1 14 17 0.02876599999999999
154 1 14 18 -0.16967749999999995
155 1 14 19 0.2228769999999999
156 1 14 20 0.12637699999999996
157 1 15 16 -0.16891349999999994
158 1 15 17 -0.09873249999999995
159 1 15 18 -0.4951949999999999
160 1 15 19 -0.13374499999999998
161 1 15 20 -0.14067999999999997
162 1 16 17 -0.06342449999999998
163 1 16 18 -0.034004499999999986
164 1 16 19 0.18737549999999997
165 1 16 20 0.054710499999999995
166 1 17 18 0.008599999999999983
167 1 17 19 0.13527649999999997
168 1 17 20 -0.05056000000000001
169 1 18 19 0.21068349999999997
170 1 18 20 0.28840199999999994
171 1 19 20 -0.093165
172 2 3 4 0.07087999999999997
173 2 3 5 0.05396999999999997
174 2 3 6 -0.21689999999999995
175 2 3 7 -0.07062059999999999
176 2 3 8 -0.25340499999999994
177 2 3 9 -0.08188499999999999
178 2 3 10 -0.09596999999999999
179 2 3 11 0.0050704999999999925
180 2 3 12 -0.14574999999999996
181 2 3 13 -0.31259999999999993
182 2 3 14 -0.21425849999999994
183 2 3 15 -0.05156999999999999
184 2 3 16 -0.26738399999999996
185 2 3 17 0.034574999999999995
186 2 3 18 -0.020755
187 2 3 19 -0.23276999999999995
188 2 3 20 -0.22766999999999993
189 2 4 5 0.17784999999999995
190 2 4 6 -0.3834549999999999
191 2 4 7 -0.02796099999999999
192 2 4 8 -0.06533499999999998
193 2 4 9 0.13921999999999995
194 2 4 10 0.022459999999999997
195 2 4 11 -0.13211999999999996
196 2 4 12 -0.07027999999999997
197 2 4 13 -0.18952499999999992
198 2 4 14 -0.06541099999999997
199 2 4 15 -0.04788499999999999
200 2 4 16 -0.06718749999999998
201 2 4 17 0.03921999999999998
202 2 4 18 0.027409999999999993
203 2 4 19 0.02545999999999999
204 2 4 20 -0.16062499999999993
205 2 5 6 -0.14337499999999992
206 2 5 7 -0.03687849999999998
207 2 5 8 0.043845
208 2 5 9 -0.01640249999999999
209 2 5 10 0.03686
210 2 5 11 0.003187000000000011
211 2 5 12 0.041910499999999996
212 2 5 13 -0.19857499999999995
213 2 5 14 -0.10584799999999996
214 2 5 15 -0.006891999999999985
215 2 5 16 -0.22880899999999993
216 2 5 17 0.021159999999999998
217 2 5 18 -0.10335999999999995
218 2 5 19 -0.06796999999999999
219 2 5 20 -0.2927099999999999
220 2 6 7 0.2664349999999999
221 2 6 8 0.29683499999999996
222 2 6 9 0.3160249999999999
223 2 6 10 0.27373249999999993
224 2 6 11 0.19613799999999998
225 2 6 12 0.25764999999999993
226 2 6 13 0.10985999999999994
227 2 6 14 0.09663599999999997
228 2 6 15 0.20462999999999992
229 2 6 16 0.11683549999999997
230 2 6 17 0.3980124999999998
231 2 6 18 0.30968749999999995
232 2 6 19 0.31119299999999994
233 2 6 20 0.014660000000000001
234 2 7 8 0.03401
235 2 7 9 0.03375899999999998
236 2 7 10 0.06781179999999998
237 2 7 11 0.015740999999999998
238 2 7 12 -0.005150000000000009
239 2 7 13 0.07818999999999997
240 2 7 14 -0.23361849999999995
241 2 7 15 0.01156
242 2 7 16 -0.08978999999999997
243 2 7 17 0.2533144999999999
244 2 7 18 0.04743999999999999
245 2 7 19 -0.001800000000000001
246 2 7 20 -0.08202999999999998
247 2 8 9 0.05632149999999998
248 2 8 10 0.06150899999999997
249 2 8 11 0.022622499999999997
250 2 8 12 0.09048999999999996
251 2 8 13 -0.044616
252 2 8 14 -0.1431335
253 2 8 15 -0.07581
254 2 8 16 0.02147249999999999
255 2 8 17 0.15252499999999994
256 2 8 18 0.15789249999999996
257 2 8 19 0.3814349999999999
258 2 8 20 -0.15809499999999999
259 2 9 10 -0.09169999999999998
260 2 9 11 -0.022907199999999985
261 2 9 12 -0.05777499999999998
