t i j k u[t]
1 1 2 3 0.013369999999999972
2 1 2 4 0.112465
3 1 2 5 0.18958499999999998
4 1 2 6 0.1685725
5 1 2 7 0.17686650000000004
6 1 2 8 0.09256299999999998
7 1 2 9 0.145117
8 1 2 10 0.20327000000000003
9 1 2 11 -0.06654500000000003
10 1 2 12 0.00404445
11 1 2 13 0.10429305000000001
12 1 2 14 0.08338499999999997
13 1 2 15 0.294395
14 1 2 16 0.14870999999999998
15 1 2 17 0.30321500000000007
16 1 2 18 0.42618000000000006
17 1 2 19 0.23484
18 1 2 20 0.3145
19 1 3 4 0.19289900000000001
20 1 3 5 0.15042500000000003
21 1 3 6 -0.040745
22 1 3 7 0.04230650000000001
23 1 3 8 -0.18559699999999998
24 1 3 9 -0.027862999999999995
25 1 3 10 0.17798500000000003
26 1 3 11 0.03814000000000002
27 1 3 12 -0.04477555
28 1 3 13 0.02589805000000001
29 1 3 14 0.13462000000000005
30 1 3 15 0.25333500000000003
31 1 3 16 0.07526000000000005
32 1 3 17 0.012115000000000055
33 1 3 18 0.35644000000000003
34 1 3 19 0.077025
35 1 3 20 0.10102000000000004
36 1 4 5 -0.034015
37 1 4 6 -0.04653000000000001
38 1 4 7 -0.09320800000000001
39 1 4 8 -0.022561999999999995
40 1 4 9 -0.148513
41 1 4 10 -0.106175
42 1 4 11 -0.43190000000000006
43 1 4 12 -0.22234555000000003
44 1 4 13 -0.29832195
45 1 4 14 -0.09605500000000002
46 1 4 15 0.008800000000000007
47 1 4 16 -0.10762000000000002
48 1 4 17 0.05106500000000001
49 1 4 18 0.19323500000000002
50 1 4 19 -0.049420000000000006
51 1 4 20 -0.05893499999999999
52 1 5 6 -0.1752225
53 1 5 7 -0.05373650000000002
54 1 5 8 -0.22077700000000003
55 1 5 9 -0.15929900000000002
56 1 5 10 -0.030023500000000015
57 1 5 11 -0.08607000000000001
58 1 5 12 -0.21761055000000004
59 1 5 13 -0.10522695
60 1 5 14 0.0266695
61 1 5 15 0.035925
62 1 5 16 -0.05573500000000001
63 1 5 17 0.132529595
64 1 5 18 0.05641500000000002
65 1 5 19 -0.01980000000000001
66 1 5 20 -0.11723000000000003
67 1 6 7 0.08571200000000002
68 1 6 8 0.16062800000000005
69 1 6 9 0.013932000000000012
70 1 6 10 0.17570000000000002
71 1 6 11 -0.088025
72 1 6 12 0.02481945000000001
73 1 6 13 0.10928890000000001
74 1 6 14 0.14667
75 1 6 15 0.2961015000000001
76 1 6 16 0.24868950000000004
77 1 6 17 0.28825
78 1 6 18 0.24073000000000008
79 1 6 19 0.15564000000000006
80 1 6 20 0.205465
81 1 7 8 -0.19434849999999998
82 1 7 9 -0.17308949999999998
83 1 7 10 0.1250145
84 1 7 11 -0.007345000000000003
85 1 7 12 -0.020188550000000003
86 1 7 13 -0.18001345000000002
87 1 7 14 -0.1311765
88 1 7 15 -0.06654149999999999
89 1 7 16 -0.20449650000000003
90 1 7 17 0.16203350000000002
91 1 7 18 0.29174350000000004
92 1 7 19 -0.052131500000000004
93 1 7 20 0.08416850000000001
94 1 8 9 -0.0512705
95 1 8 10 0.143012
96 1 8 11 -0.10734300000000001
97 1 8 12 -0.07523355000000001
98 1 8 13 -0.14761995000000003
99 1 8 14 0.091167
100 1 8 15 0.15716700000000003
101 1 8 16 -0.02770299999999999
102 1 8 17 0.028872000000000012
103 1 8 18 0.24523200000000003
104 1 8 19 -0.08297299999999999
105 1 8 20 0.19859338
106 1 9 10 0.1610755
107 1 9 11 -0.12185700000000002
108 1 9 12 0.09907745000000001
109 1 9 13 -0.13002395
110 1 9 14 0.1841835
111 1 9 15 0.035963000000000016
112 1 9 16 0.070618
113 1 9 17 0.09317800000000002
114 1 9 18 0.230668
115 1 9 19 0.04271799999999999
116 1 9 20 0.143848
117 1 10 11 -0.16020500000000001
118 1 10 12 -0.03962555
119 1 10 13 -0.04471694999999999
120 1 10 14 -0.046645000000000006
121 1 10 15 -0.106985
122 1 10 16 -0.07229
123 1 10 17 0.0016800000000000148
124 1 10 18 0.1264
125 1 10 19 -0.06556000000000001
126 1 10 20 0.021130000000000003
127 1 11 12 -0.018566549999999998
128 1 11 13 -0.10751195000000001
129 1 11 14 0.1166915
130 1 11 15 0.20186500000000002
131 1 11 16 0.06897800000000001
132 1 11 17 0.23650050000000003
133 1 11 18 0.25633
134 1 11 19 0.009689999999999999
135 1 11 20 0.18012250000000005
136 1 12 13 -0.1309214
137 1 12 14 0.23950555
138 1 12 15 0.04464055000000001
139 1 12 16 0.22178055
140 1 12 17 0.09828555000000003
141 1 12 18 0.43546055
142 1 12 19 0.28442555
143 1 12 20 0.11575555
144 1 13 14 0.22120795
145 1 13 15 0.25463195000000005
146 1 13 16 0.22179195
147 1 13 17 0.16014694999999998
148 1 13 18 0.46043195
149 1 13 19 0.16268195
150 1 13 20 0.15900745
151 1 14 15 0.06864000000000002
152 1 14 16 -0.135995
153 1 14 17 0.13713000000000003
154 1 14 18 0.24348950000000003
155 1 14 19 -0.08405350000000002
156 1 14 20 0.127405
157 1 15 16 -0.15892000000000003
158 1 15 17 0.11976000000000002
159 1 15 18 0.07450000000000001
160 1 15 19 -0.14717000000000002
