l i j f[l]=f_ij g[l]=g_ij s[l]=s_ij h[l]=h_ij
1 1 2 5.4075 1.3714604999999995 4.0360395 0.0
2 1 3 -2.2634 -0.29698800000000036 -1.9664120000000003 7.771561172376096e-16
3 2 3 -2.4496 -1.6684484999999998 -0.7811515000000003 0.0
4 1 4 -3.3307e-16 -0.4917935000000003 0.49179349999999983 1.6653345369377348e-16
5 2 4 -2.5217 -1.863254 -0.658446 0.0
6 3 4 2.220446049250313e-16 -0.19480549999999996 0.19480550000000013 5.551115123125783e-17
7 1 5 0.71646 0.3523879999999995 0.36407199999999995 5.551115123125783e-16
8 2 5 -3.4384 -1.0190725 -2.4193275000000005 4.440892098500626e-16
9 3 5 0.23595 0.6493759999999998 -0.4134260000000001 3.3306690738754696e-16
10 4 5 2.8439 0.8441814999999998 1.9997185000000006 -3.3306690738754696e-16
11 1 6 1.0167 0.0013004999999999267 1.0153995 0.0
12 2 6 -1.4972 -1.3701599999999996 -0.12704000000000026 -2.220446049250313e-16
13 3 6 1.8053 0.2982885000000003 1.5070115000000002 -5.551115123125783e-16
14 4 6 -0.3943 0.49309400000000025 -0.887394 -2.220446049250313e-16
15 5 6 -1.2248 -0.35108749999999955 -0.8737125000000002 -3.3306690738754696e-16
16 1 7 -2.1274 -0.22534250000000022 -1.9020575000000006 6.661338147750939e-16
17 2 7 1.2248 -1.5968029999999998 2.821603 -2.220446049250313e-16
18 3 7 -0.27238 0.07164550000000014 -0.34402550000000004 -1.1102230246251565e-16
19 4 7 1.2969 0.2664510000000001 1.0304490000000002 -3.3306690738754696e-16
20 5 7 0.59455 -0.5777304999999997 1.1722805000000003 -5.551115123125783e-16
21 6 7 -0.71646 -0.22664300000000015 -0.489817 1.6653345369377348e-16
22 1 8 2.220446049250313e-16 -0.17304700000000006 0.17304700000000017 1.1102230246251565e-16
23 2 8 1.6689 -1.5445074999999995 3.213407500000001 -1.5543122344752192e-15
24 3 8 -1.9413 0.1239410000000003 -2.0652410000000003 0.0
25 4 8 2.3853 0.31874650000000027 2.0665535 -2.220446049250313e-16
26 5 8 1.1108 -0.5254349999999995 1.636235 -5.551115123125783e-16
27 6 8 -0.32216 -0.1743475 -0.14781250000000012 1.1102230246251565e-16
28 7 8 2.220446049250313e-16 0.05229550000000016 -0.052295499999999814 -1.249000902703301e-16
29 1 9 -2.3355 -2.2766280000000005 -0.05887200000000008 4.440892098500626e-16
30 2 9 -3.7465 -3.6480885 -0.09841150000000012 0.0
31 3 9 -2.6577 -1.9796399999999998 -0.6780600000000001 -2.220446049250313e-16
32 4 9 -1.1108 -1.7848345 0.6740345000000001 0.0
33 5 9 -0.90263 -2.629016 1.7263860000000004 -4.440892098500626e-16
34 6 9 -1.4972 -2.2779285000000002 0.7807284999999999 4.440892098500626e-16
35 7 9 -1.7053 -2.0512855 0.3459855 0.0
36 8 9 -1.0386 -2.103581 1.0649810000000002 0.0
37 1 10 -0.50833 -1.5222030000000002 1.0138730000000002 0.0
38 2 10 -2.1274 -2.8936634999999997 0.7662635 -4.440892098500626e-16
39 3 10 2.220446049250313e-16 -1.225215 1.2252150000000002 0.0
40 4 10 -4.3411 -1.0304095 -3.3106904999999998 -2.220446049250313e-16
41 5 10 -1.4607 -1.8745909999999997 0.413891 -4.440892098500626e-16
42 6 10 0.90263 -1.5235035000000003 2.4261335 2.220446049250313e-16
43 7 10 -2.1274 -1.2968605000000002 -0.8305395000000003 4.440892098500626e-16
44 8 10 -0.90263 -1.3491560000000002 0.446526 2.220446049250313e-16
45 9 10 1.9413 0.754425 1.1868750000000003 -3.3306690738754696e-16
46 1 11 -1.311 -1.2185315000000003 -0.09246849999999995 2.220446049250313e-16
47 2 11 -2.2136 -2.5899919999999996 0.37639199999999995 -4.440892098500626e-16
48 3 11 -1.7331 -0.9215435 -0.8115565 -1.1102230246251565e-16
49 4 11 1.6191 -0.726738 2.345838 -1.1102230246251565e-16
50 5 11 -1.2248 -1.5709194999999998 0.3461195 -2.220446049250313e-16
51 6 11 -1.547 -1.2198320000000002 -0.32716799999999996 2.220446049250313e-16
52 7 11 0.50833 -0.9931890000000001 1.501519 0.0
53 8 11 -1.9413 -1.0454845000000001 -0.8958155000000002 4.440892098500626e-16
54 9 11 3.5603 1.0580965 2.5022034999999994 4.440892098500626e-16
55 10 11 1.9413 0.3036715 1.6376285000000002 -1.1102230246251565e-16
56 1 12 -2.1274 -1.4980185000000006 -0.6293815000000001 4.440892098500626e-16
57 2 12 -2.0055 -2.869479 0.8639789999999999 0.0
58 3 12 -3.1163 -1.2010305000000001 -1.9152695000000002 4.440892098500626e-16
59 4 12 -1.1029 -1.0062250000000001 -0.09667500000000001 2.220446049250313e-16
60 5 12 -6.1783 -1.8504065 -4.327893500000001 8.881784197001252e-16
61 6 12 0.32216 -1.4993190000000003 1.8214790000000003 0.0
62 7 12 1.0245 -1.2726760000000001 2.2971759999999994 6.661338147750939e-16
63 8 12 -1.9413 -1.3249715000000004 -0.6163285000000001 4.440892098500626e-16
64 9 12 0.98884 0.7786094999999998 0.21023050000000013 1.1102230246251565e-16
65 10 12 -0.3943 0.02418449999999983 -0.41848450000000004 2.220446049250313e-16
66 11 12 1.7053 -0.27948700000000015 1.984787 1.1102230246251565e-16
67 1 13 -0.71646 -0.8324700000000003 0.11601000000000004 2.220446049250313e-16
68 2 13 1.6191 -2.2039305 3.8230305000000007 -8.881784197001252e-16
69 3 13 1.2248 -0.5354819999999999 1.7602820000000001 -1.1102230246251565e-16
70 4 13 -1.1108 -0.34067649999999994 -0.7701235 -1.1102230246251565e-16
71 5 13 -0.4362 -1.1848579999999997 0.748658 -2.220446049250313e-16
72 6 13 -2.2634 -0.8337705000000002 -1.4296294999999999 2.220446049250313e-16
73 7 13 -2.722 -0.6071275 -2.1148725 2.220446049250313e-16
74 8 13 0.50833 -0.6594230000000002 1.1677529999999998 3.3306690738754696e-16
75 9 13 1.2248 1.444158 -0.21935799999999991 0.0
76 10 13 0.8305 0.689733 0.14076700000000011 -1.1102230246251565e-16
77 11 13 -2.8439 0.38606150000000006 -3.229961500000001 6.661338147750939e-16
78 12 13 -1.9413 0.6655485000000002 -2.6068485000000003 1.1102230246251565e-16
79 1 14 -1.9413 -1.5790680000000004 -0.36223199999999994 2.220446049250313e-16
80 2 14 -6.6867 -2.9505285 -3.736171500000001 8.881784197001252e-16
81 3 14 0.90263 -1.28208 2.18471 2.220446049250313e-16
82 4 14 -1.6191 -1.0872745 -0.5318255000000002 0.0
83 5 14 -0.71646 -1.9314559999999998 1.2149960000000002 -4.440892098500626e-16
84 6 14 -1.2248 -1.5803685000000003 0.35556849999999984 2.220446049250313e-16
85 7 14 -0.71646 -1.3537255000000001 0.6372655 2.220446049250313e-16
86 8 14 -1.547 -1.4060210000000004 -0.1409789999999997 2.220446049250313e-16
87 9 14 -1.4972 0.69756 -2.19476 0.0
88 10 14 -1.9413 -0.056865000000000054 -1.8844350000000005 5.551115123125783e-16
89 11 14 -1.9413 -0.36053650000000004 -1.5807635000000002 2.220446049250313e-16
90 12 14 3.166 -0.08104949999999989 3.2470495 -3.3306690738754696e-16
91 13 14 0.18617 -0.7465980000000001 0.9327680000000003 -2.220446049250313e-16
92 1 15 -0.50833 -1.5418235000000005 1.0334935000000003 2.220446049250313e-16
93 2 15 -0.90263 -2.913284 2.010654 0.0
94 3 15 -2.9579 -1.2448355000000002 -1.7130645000000002 4.440892098500626e-16
95 4 15 -1.4329 -1.0500300000000002 -0.3828700000000001 2.220446049250313e-16
96 5 15 -1.9413 -1.8942115 -0.04708850000000006 0.0
97 6 15 -2.9579 -1.5431240000000004 -1.4147760000000003 6.661338147750939e-16
98 7 15 -3.8825 -1.3164810000000002 -2.566019 2.220446049250313e-16
