t i j k u[t]
1 1 2 3 -0.057336499999999985
2 1 2 4 -0.0027190000000000005
3 1 2 5 0.16932999999999998
4 1 2 6 0.10039999999999999
5 1 2 7 -0.00617350000000001
6 1 2 8 0.29884499999999997
7 1 2 9 -0.016319999999999977
8 1 2 10 -0.11817999999999998
9 1 2 11 -0.28824500000000003
10 1 2 12 -0.023297500000000002
11 1 2 13 0.140275
12 1 2 14 0.10639999999999998
13 1 2 15 -0.008528500000000005
14 1 2 16 -0.17742599999999997
15 1 2 17 -0.05206349999999999
16 1 2 18 -0.032991999999999994
17 1 2 19 -0.07953089999999999
18 1 2 20 -0.001297999999999999
19 1 3 4 0.14165
20 1 3 5 0.1629315
21 1 3 6 -0.07449849999999997
22 1 3 7 -0.09981699999999999
23 1 3 8 0.31708649999999994
24 1 3 9 -0.01986349999999999
25 1 3 10 0.10307
26 1 3 11 0.010865499999999997
27 1 3 12 0.013536499999999995
28 1 3 13 0.06322649999999998
29 1 3 14 0.2430964999999999
30 1 3 15 0.05046649999999999
31 1 3 16 -0.1404045
32 1 3 17 0.1363525
33 1 3 18 0.03808349999999999
34 1 3 19 -0.0780834
35 1 3 20 0.19253424999999996
36 1 4 5 0.008009999999999995
37 1 4 6 -0.021259349999999993
38 1 4 7 0.009246500000000001
39 1 4 8 0.08337999999999998
40 1 4 9 -0.18720999999999996
41 1 4 10 -0.021365999999999996
42 1 4 11 -0.077725
43 1 4 12 -0.010521
44 1 4 13 -0.065403
45 1 4 14 0.28453999999999996
46 1 4 15 0.026160499999999996
47 1 4 16 -0.000710999999999995
48 1 4 17 -0.0388805
49 1 4 18 -0.1031395
50 1 4 19 -0.005764900000000006
51 1 4 20 0.05645549999999999
52 1 5 6 0.028265000000000016
53 1 5 7 -0.014923500000000001
54 1 5 8 0.20396099999999998
55 1 5 9 -0.22145
56 1 5 10 -0.300135
57 1 5 11 -0.04796499999999999
58 1 5 12 -0.033353
59 1 5 13 0.005500000000000005
60 1 5 14 0.06986499999999998
61 1 5 15 0.005854999999999999
62 1 5 16 -0.09847099999999999
63 1 5 17 -0.091175
64 1 5 18 -0.10214199999999998
65 1 5 19 -0.06544989999999999
66 1 5 20 -0.17887999999999998
67 1 6 7 0.020921499999999992
68 1 6 8 0.2557735
69 1 6 9 -0.17536999999999997
70 1 6 10 -0.0200023
71 1 6 11 -0.03488
72 1 6 12 -0.22775
73 1 6 13 0.030935999999999988
74 1 6 14 0.35261499999999996
75 1 6 15 -0.06323000000000001
76 1 6 16 -0.148777
77 1 6 17 -0.267715
78 1 6 18 -0.270327
79 1 6 19 -0.012629900000000005
80 1 6 20 0.069821
81 1 7 8 0.3882135
82 1 7 9 -0.2622865
83 1 7 10 0.2216435
84 1 7 11 0.01560849999999999
