t i j k u[t]
1 1 2 3 -0.06441399999999999
2 1 2 4 -0.04640860499999999
3 1 2 5 0.04923949999999999
4 1 2 6 0.07124199999999997
5 1 2 7 -0.028684999999999995
6 1 2 8 0.071897
7 1 2 9 0.15128899999999998
8 1 2 10 -0.056187999999999995
9 1 2 11 0.09355
10 1 2 12 0.07287199999999998
11 1 2 13 0.10014849999999999
12 1 2 14 0.13272699999999998
13 1 2 15 -0.14450149999999998
14 1 2 16 0.1508695
15 1 2 17 0.05998899999999998
16 1 2 18 0.12130399999999998
17 1 2 19 -0.07981799999999997
18 1 2 20 0.1163005
19 1 3 4 0.022358895
20 1 3 5 0.13178849999999998
21 1 3 6 -0.040049000000000015
22 1 3 7 0.02356245
23 1 3 8 0.181306
24 1 3 9 0.08023599999999996
25 1 3 10 0.15395599999999995
26 1 3 11 0.11465899999999998
27 1 3 12 0.1355285
28 1 3 13 0.12068249999999998
29 1 3 14 0.10749849999999997
30 1 3 15 -0.0360805
31 1 3 16 0.080336
32 1 3 17 -0.013743999999999998
33 1 3 18 -0.054506999999999986
34 1 3 19 -0.055133999999999996
35 1 3 20 0.1218045
36 1 4 5 -0.04699439499999999
37 1 4 6 -0.06304689499999999
38 1 4 7 0.08246010499999999
39 1 4 8 -0.12080189499999998
40 1 4 9 0.13678810499999997
41 1 4 10 0.21272310499999997
42 1 4 11 0.060996104999999995
43 1 4 12 0.09411310499999999
44 1 4 13 0.082504605
45 1 4 14 -0.02926689499999999
46 1 4 15 -0.05559239499999999
47 1 4 16 0.233853105
48 1 4 17 -0.07445189499999999
49 1 4 18 0.126950105
50 1 4 19 0.0011531050000000097
51 1 4 20 -0.11266839499999999
52 1 5 6 -0.205949
53 1 5 7 -0.0960205
54 1 5 8 0.1417625
55 1 5 9 -0.03247750000000002
56 1 5 10 -0.1024175
57 1 5 11 -0.1186995
58 1 5 12 0.11222049999999997
59 1 5 13 0.004583999999999999
60 1 5 14 0.04384849999999999
61 1 5 15 -0.19797249999999997
62 1 5 16 -0.03242249999999999
63 1 5 17 0.10265999999999999
64 1 5 18 0.08118449999999998
65 1 5 19 -0.023062500000000003
66 1 5 20 -0.080779
67 1 6 7 0.05206699999999999
68 1 6 8 0.11832499999999999
69 1 6 9 0.17237999999999995
70 1 6 10 0.09553499999999998
71 1 6 11 0.09450049999999999
72 1 6 12 0.18056999999999995
73 1 6 13 0.19280649999999996
74 1 6 14 0.247529
75 1 6 15 -0.07569999999999999
76 1 6 16 0.09154000000000004
77 1 6 17 0.0062150000000000365
78 1 6 18 0.0035519999999999987
79 1 6 19 0.048950500000000015
80 1 6 20 0.0879435
81 1 7 8 0.19327849999999996
82 1 7 9 -0.12254700000000002
83 1 7 10 0.038265499999999994
84 1 7 11 0.08967099999999999
85 1 7 12 0.095513
86 1 7 13 -0.06033549999999999
87 1 7 14 -0.11164699999999998
88 1 7 15 -0.12326499999999999
89 1 7 16 0.059268
90 1 7 17 -0.026542000000000007
91 1 7 18 0.0280805
92 1 7 19 -0.07876699999999998
93 1 7 20 -0.10052349999999997
94 1 8 9 0.09938999999999998
95 1 8 10 0.02717999999999998
96 1 8 11 0.02577799999999999
97 1 8 12 -0.049357500000000006
98 1 8 13 -0.04939350000000004
99 1 8 14 -0.0027150000000000225
100 1 8 15 -0.36596499999999993
101 1 8 16 -0.052313000000000005
102 1 8 17 0.14290999999999995
103 1 8 18 -0.039443
104 1 8 19 -0.23305999999999996
105 1 8 20 -0.20553199999999996
106 1 9 10 0.15018
107 1 9 11 0.04931800000000001
108 1 9 12 -0.009807999999999987
109 1 9 13 -0.10338349999999999
110 1 9 14 -0.2617549999999999
111 1 9 15 -0.4811399999999999
112 1 9 16 -0.19141999999999995
113 1 9 17 -0.22823999999999997
114 1 9 18 -0.09269299999999997
115 1 9 19 0.03905500000000001
116 1 9 20 -0.20774149999999994
117 1 10 11 -0.12744499999999997
118 1 10 12 0.12202449999999998
119 1 10 13 0.009491500000000007
120 1 10 14 0.011799999999999998
121 1 10 15 -0.222655
122 1 10 16 0.16352
123 1 10 17 0.022456999999999994
124 1 10 18 -0.013752499999999994
125 1 10 19 -0.10788999999999999
126 1 10 20 -0.003341499999999997
127 1 11 12 -0.0007779999999999896
