l i j f[l] s[l] h[l]
1 1 2 -5.7772 -3.2629829999999993 -8.881784197001252e-16
2 1 3 1.8477 -3.2629829999999993 -8.881784197001252e-16
3 2 3 2.688 1.6236169999999996 -4.440892098500626e-16
4 1 4 -2.3948 -3.2629829999999993 -8.881784197001252e-16
5 2 4 1.2181 1.6236169999999996 -4.440892098500626e-16
6 3 4 1.366 -0.05029999999999981 -4.440892098500626e-16
7 1 5 0.87077 -3.2629829999999993 -8.881784197001252e-16
8 2 5 0.27957 1.6236169999999996 -4.440892098500626e-16
9 3 5 -0.59704 -0.05029999999999981 -4.440892098500626e-16
10 4 5 0.24582 -1.1480049999999997 -6.661338147750939e-16
11 1 6 -3.4953 -3.2629829999999993 -8.881784197001252e-16
12 2 6 2.765 1.6236169999999996 -4.440892098500626e-16
13 3 6 -2.5448 -0.05029999999999981 -4.440892098500626e-16
14 4 6 0.40471 -1.1480049999999997 -6.661338147750939e-16
15 5 6 0.61863 -0.049321999999999803 0.0
16 1 7 0.13399 -3.2629829999999993 -8.881784197001252e-16
17 2 7 1.0508 1.6236169999999996 -4.440892098500626e-16
18 3 7 -2.6874 -0.05029999999999981 -4.440892098500626e-16
19 4 7 0.19048 -1.1480049999999997 -6.661338147750939e-16
20 5 7 -0.026691 -0.049321999999999803 0.0
21 6 7 -2.2955 2.836878 4.440892098500626e-16
22 1 8 -5.9387 -3.2629829999999993 -8.881784197001252e-16
23 2 8 3.3841 1.6236169999999996 -4.440892098500626e-16
24 3 8 -3.1902 -0.05029999999999981 -4.440892098500626e-16
25 4 8 -5.0211 -1.1480049999999997 -6.661338147750939e-16
26 5 8 -2.3478 -0.049321999999999803 0.0
27 6 8 -1.9704 2.836878 4.440892098500626e-16
28 7 8 -1.7594 1.5755734500000003 -2.220446049250313e-16
29 1 9 -3.083 -3.2629829999999993 -8.881784197001252e-16
30 2 9 2.1312 1.6236169999999996 -4.440892098500626e-16
31 3 9 -2.3046 -0.05029999999999981 -4.440892098500626e-16
32 4 9 -0.10449 -1.1480049999999997 -6.661338147750939e-16
33 5 9 -0.1668 -0.049321999999999803 0.0
34 6 9 0.50104 2.836878 4.440892098500626e-16
35 7 9 -3.2905 1.5755734500000003 -2.220446049250313e-16
36 8 9 3.1863 -1.5298435499999998 2.220446049250313e-16
37 1 10 -0.5363 -3.2629829999999993 -8.881784197001252e-16
38 2 10 -1.075 1.6236169999999996 -4.440892098500626e-16
39 3 10 -3.3562 -0.05029999999999981 -4.440892098500626e-16
40 4 10 -1.2487 -1.1480049999999997 -6.661338147750939e-16
41 5 10 -3.7184 -0.049321999999999803 0.0
42 6 10 -0.7916 2.836878 4.440892098500626e-16
43 7 10 -0.044122 1.5755734500000003 -2.220446049250313e-16
44 8 10 -1.3919 -1.5298435499999998 2.220446049250313e-16
45 9 10 2.8344 0.33184644999999996 6.661338147750939e-16
46 1 11 0.10079 -3.2629829999999993 -8.881784197001252e-16
47 2 11 -3.8115 1.6236169999999996 -4.440892098500626e-16
48 3 11 0.95733 -0.05029999999999981 -4.440892098500626e-16
49 4 11 1.0903 -1.1480049999999997 -6.661338147750939e-16
50 5 11 -1.1553 -0.049321999999999803 0.0
51 6 11 0.49087 2.836878 4.440892098500626e-16
52 7 11 -0.74009 1.5755734500000003 -2.220446049250313e-16
53 8 11 -1.3833 -1.5298435499999998 2.220446049250313e-16
54 9 11 3.8553 0.33184644999999996 6.661338147750939e-16
55 10 11 -2.2308 -0.29617155000000006 3.3306690738754696e-16
56 1 12 -5.2002 -3.2629829999999993 -8.881784197001252e-16
57 2 12 -1.9869 1.6236169999999996 -4.440892098500626e-16
58 3 12 -1.3012 -0.05029999999999981 -4.440892098500626e-16
59 4 12 -0.92062 -1.1480049999999997 -6.661338147750939e-16
60 5 12 -1.3503 -0.049321999999999803 0.0
61 6 12 -2.3002 2.836878 4.440892098500626e-16
62 7 12 0.74808 1.5755734500000003 -2.220446049250313e-16
63 8 12 0.098535 -1.5298435499999998 2.220446049250313e-16
64 9 12 2.5575 0.33184644999999996 6.661338147750939e-16
65 10 12 -2.043 -0.29617155000000006 3.3306690738754696e-16
66 11 12 -1.6421 -2.4132075 0.0
67 1 13 1.1842 -3.2629829999999993 -8.881784197001252e-16
68 2 13 2.4687 1.6236169999999996 -4.440892098500626e-16
69 3 13 -0.8057 -0.05029999999999981 -4.440892098500626e-16
70 4 13 1.6402 -1.1480049999999997 -6.661338147750939e-16
71 5 13 2.6286 -0.049321999999999803 0.0
72 6 13 -2.6337 2.836878 4.440892098500626e-16
73 7 13 -1.8389 1.5755734500000003 -2.220446049250313e-16
74 8 13 0.71218 -1.5298435499999998 2.220446049250313e-16
75 9 13 0.46563 0.33184644999999996 6.661338147750939e-16
