l i j f[l] s[l] h[l]
1 1 2 -4.7074 -0.8677159999999996 0.0
2 1 3 0.28002 -0.8677159999999996 0.0
3 2 3 3.2856 0.9739315000000002 -2.220446049250313e-16
4 1 4 -3.8327 -0.8677159999999996 0.0
5 2 4 -0.74921 0.9739315000000002 -2.220446049250313e-16
6 3 4 -2.2241 0.13982750000000013 0.0
7 1 5 -3.5636 -0.8677159999999996 0.0
8 2 5 1.4134 0.9739315000000002 -2.220446049250313e-16
9 3 5 -3.2137 0.13982750000000013 0.0
10 4 5 -0.67576 0.09587424999999994 0.0
11 1 6 -4.5707 -0.8677159999999996 0.0
12 2 6 2.4777 0.9739315000000002 -2.220446049250313e-16
13 3 6 -1.6708 0.13982750000000013 0.0
14 4 6 1.2427 0.09587424999999994 0.0
15 5 6 0.013073 -0.66031975 -1.1102230246251565e-16
16 1 7 -1.9709 -0.8677159999999996 0.0
17 2 7 3.4825 0.9739315000000002 -2.220446049250313e-16
18 3 7 -3.442 0.13982750000000013 0.0
19 4 7 2.13 0.09587424999999994 0.0
20 5 7 3.2342 -0.66031975 -1.1102230246251565e-16
21 6 7 1.9138 1.01056275 0.0
22 1 8 -6.5131 -0.8677159999999996 0.0
23 2 8 -0.31276 0.9739315000000002 -2.220446049250313e-16
24 3 8 -4.4268 0.13982750000000013 0.0
25 4 8 -2.9138 0.09587424999999994 0.0
26 5 8 -0.60991 -0.66031975 -1.1102230246251565e-16
27 6 8 -3.5167 1.01056275 0.0
28 7 8 -2.4643 0.18821699999999986 0.0
29 1 9 1.9263 -0.8677159999999996 0.0
30 2 9 4.9378 0.9739315000000002 -2.220446049250313e-16
31 3 9 0.61931 0.13982750000000013 0.0
32 4 9 -0.15478 0.09587424999999994 0.0
33 5 9 0.19806 -0.66031975 -1.1102230246251565e-16
34 6 9 0.99442 1.01056275 0.0
35 7 9 -1.0744 0.18821699999999986 0.0
36 8 9 3.9585 1.3255329999999996 3.3306690738754696e-16
37 1 10 -3.2238 -0.8677159999999996 0.0
38 2 10 -1.8009 0.9739315000000002 -2.220446049250313e-16
39 3 10 -3.3459 0.13982750000000013 0.0
40 4 10 0.40017 0.09587424999999994 0.0
41 5 10 -0.7856 -0.66031975 -1.1102230246251565e-16
42 6 10 1.1951 1.01056275 0.0
43 7 10 -0.28544 0.18821699999999986 0.0
44 8 10 -0.43928 1.3255329999999996 3.3306690738754696e-16
45 9 10 -0.9517 -0.1557944999999999 0.0
46 1 11 -0.92216 -0.8677159999999996 0.0
47 2 11 -1.3364 0.9739315000000002 -2.220446049250313e-16
48 3 11 -1.3391 0.13982750000000013 0.0
49 4 11 1.9545 0.09587424999999994 0.0
50 5 11 3.7013 -0.66031975 -1.1102230246251565e-16
51 6 11 2.6778 1.01056275 0.0
52 7 11 0.062865 0.18821699999999986 0.0
53 8 11 1.2638 1.3255329999999996 3.3306690738754696e-16
54 9 11 -4.503 -0.1557944999999999 0.0
55 10 11 -2.155 -0.85251725 0.0
56 1 12 -5.243 -0.8677159999999996 0.0
57 2 12 -0.45303 0.9739315000000002 -2.220446049250313e-16
58 3 12 -4.4921 0.13982750000000013 0.0
59 4 12 1.1036 0.09587424999999994 0.0
